Generation,Entropy
0,0.2948
1,0.2436
2,0.2480
3,0.2514
4,0.2590
5,0.2514
6,0.2761
7,0.2772
8,0.2856
9,0.3060
10,0.3238
11,0.3505
12,0.3458
13,0.3598
14,0.3625
15,0.3468
16,0.3514
17,0.3625
18,0.3496
19,0.3505
20,0.3625
21,0.3579
22,0.3607
23,0.3325
24,0.3662
25,0.3458
26,0.3625
27,0.3420
28,0.3496
29,0.3373
30,0.3570
31,0.3552
32,0.3505
33,0.3671
34,0.3680
35,0.3542
36,0.3644
37,0.3680
38,0.3779
39,0.3885
40,0.3788
41,0.3644
42,0.3859
43,0.3634
44,0.3815
45,0.3788
46,0.3788
47,0.3797
48,0.3716
49,0.3570
50,0.3680
51,0.3607
52,0.3841
53,0.3698
54,0.4169
55,0.3877
56,0.3832
57,0.4007
58,0.3999
59,0.4025
60,0.4033
61,0.4186
62,0.4327
63,0.4135
64,0.4261
65,0.4110
66,0.4101
67,0.4161
68,0.4110
69,0.4135
70,0.4253
71,0.4186
72,0.4400
73,0.4457
74,0.4408
75,0.4335
76,0.4521
77,0.4521
78,0.4693
79,0.4615
80,0.4853
81,0.4521
82,0.4793
83,0.4709
84,0.4943
85,0.4762
86,0.4921
87,0.4913
88,0.4853
89,0.4778
90,0.4876
91,0.4868
92,0.4861
93,0.4823
94,0.4800
95,0.5155
96,0.4823
97,0.4816
98,0.4898
99,0.4995
100,0.4980
101,0.5010
102,0.5226
103,0.5039
104,0.5311
105,0.4943
106,0.4951
107,0.5090
108,0.4838
109,0.4846
110,0.4846
111,0.4943
112,0.5002
113,0.5262
114,0.4988
115,0.4958
116,0.4724
117,0.4838
118,0.4884
119,0.5112
120,0.4898
121,0.4747
122,0.4449
123,0.4497
124,0.4335
125,0.4392
126,0.4473
127,0.4592
128,0.4521
129,0.4592
130,0.4747
131,0.4536
132,0.4592
133,0.4392
134,0.4521
135,0.4592
136,0.4623
137,0.4755
138,0.4739
139,0.4808
140,0.4928
141,0.4576
142,0.4203
143,0.4384
144,0.4343
145,0.4473
146,0.4327
147,0.4568
148,0.4400
149,0.4654
150,0.4584
151,0.4473
152,0.4392
153,0.4384
154,0.4424
155,0.4481
156,0.4607
157,0.4465
158,0.4615
159,0.4505
160,0.4778
161,0.4639
162,0.4732
163,0.4521
164,0.4584
165,0.4457
166,0.4424
167,0.4631
168,0.4678
169,0.4693
170,0.4762
171,0.4592
172,0.4584
173,0.4513
174,0.4693
175,0.4600
176,0.4755
177,0.4584
178,0.4615
179,0.4623
180,0.4678
181,0.4416
182,0.4269
183,0.4277
184,0.4319
185,0.4473
186,0.4473
187,0.4623
188,0.4846
189,0.4631
190,0.4716
191,0.4662
192,0.4755
193,0.4778
194,0.4489
195,0.4755
196,0.4416
197,0.4755
198,0.4646
199,0.4913
200,0.4592
201,0.4831
202,0.4778
203,0.5032
204,0.4980
205,0.5162
206,0.5191
207,0.5422
208,0.5304
209,0.5318
210,0.5332
211,0.5381
212,0.5436
213,0.5470
214,0.5387
215,0.5504
216,0.5611
217,0.5332
218,0.5710
219,0.5456
220,0.5304
221,0.5032
222,0.5262
223,0.5068
224,0.5248
225,0.4995
226,0.5068
227,0.4921
228,0.4853
229,0.4701
230,0.4973
231,0.4965
232,0.4913
233,0.5017
234,0.5083
235,0.4513
236,0.4755
237,0.4670
238,0.4701
239,0.4747
240,0.4747
241,0.4770
242,0.4853
243,0.4973
244,0.4846
245,0.5155
246,0.5024
247,0.4823
248,0.4884
249,0.4800
250,0.4951
251,0.4654
252,0.4747
253,0.4552
254,0.4424
255,0.4631
256,0.4560
257,0.4600
258,0.4568
259,0.4592
260,0.4513
261,0.4685
262,0.4552
263,0.4709
264,0.4724
265,0.4838
266,0.4861
267,0.4732
268,0.4868
269,0.4670
270,0.5148
271,0.4891
272,0.4670
273,0.4211
274,0.4465
275,0.4473
276,0.4670
277,0.4576
278,0.4560
279,0.4576
280,0.4884
281,0.4716
282,0.4906
283,0.5017
284,0.5141
285,0.4884
286,0.5191
287,0.4958
288,0.4838
289,0.4884
290,0.4846
291,0.4906
292,0.4778
293,0.4762
294,0.4778
295,0.4536
296,0.4823
297,0.4762
298,0.4762
299,0.4646
300,0.4615
301,0.4631
302,0.4646
303,0.4368
304,0.4408
305,0.4253
306,0.4359
307,0.4244
308,0.4261
309,0.4118
310,0.4084
311,0.3981
312,0.3859
313,0.4033
314,0.4025
315,0.4177
316,0.3964
317,0.3725
318,0.3806
319,0.3716
320,0.3824
321,0.3752
322,0.3533
323,0.3770
324,0.3653
325,0.3689
326,0.3607
327,0.3598
328,0.3707
329,0.3734
330,0.3598
331,0.3680
332,0.3707
333,0.3533
334,0.3634
335,0.3477
336,0.3344
337,0.3392
338,0.3315
339,0.3325
340,0.3248
341,0.3315
342,0.3477
343,0.3392
344,0.3458
345,0.3411
346,0.3579
347,0.3542
348,0.3770
349,0.3625
350,0.3607
351,0.3524
352,0.3439
353,0.3634
354,0.3505
355,0.3788
356,0.3743
357,0.3947
358,0.4033
359,0.3788
360,0.3832
361,0.3929
362,0.4144
363,0.4025
364,0.4042
365,0.4152
366,0.4319
367,0.4376
368,0.4408
369,0.4127
370,0.4513
371,0.4343
372,0.4536
373,0.4778
374,0.4662
375,0.4584
376,0.4536
377,0.4457
378,0.4416
379,0.4505
380,0.4327
381,0.4400
382,0.4144
383,0.4424
384,0.4152
385,0.4310
386,0.4228
387,0.4465
388,0.4219
389,0.4327
390,0.4335
391,0.4033
392,0.4177
393,0.4033
394,0.4101
395,0.4033
396,0.4253
397,0.4067
398,0.4219
399,0.4244
400,0.4194
401,0.3990
402,0.4186
403,0.3981
404,0.4059
405,0.3921
406,0.4144
407,0.4084
408,0.4211
409,0.4310
410,0.4351
411,0.4319
412,0.4211
413,0.4186
414,0.4194
415,0.3973
416,0.4194
417,0.4135
418,0.3947
419,0.3877
420,0.3859
421,0.4007
422,0.3859
423,0.3929
424,0.3912
425,0.3999
426,0.3761
427,0.3770
428,0.3716
429,0.3929
430,0.3439
431,0.3382
432,0.3228
433,0.3325
434,0.3306
435,0.3344
436,0.3382
437,0.3344
438,0.3335
439,0.3257
440,0.3150
441,0.3209
442,0.3130
443,0.3169
444,0.3335
445,0.3120
446,0.3238
447,0.3120
448,0.3228
449,0.3080
450,0.2979
451,0.3169
452,0.3189
453,0.3257
454,0.3159
455,0.3150
456,0.3228
457,0.3159
458,0.3080
459,0.2938
460,0.3090
461,0.3030
462,0.2969
463,0.3209
464,0.2938
465,0.2907
466,0.3020
467,0.3020
468,0.3050
469,0.3070
470,0.3110
471,0.3020
472,0.3218
473,0.3189
474,0.3579
475,0.3616
476,0.3806
477,0.3716
478,0.3761
479,0.3770
480,0.3788
481,0.3797
482,0.3868
483,0.3903
484,0.3806
485,0.3680
486,0.3797
487,0.3653
488,0.3552
489,0.3514
490,0.3335
491,0.3354
492,0.3458
493,0.3286
494,0.3335
495,0.3382
496,0.3248
497,0.3411
498,0.3325
499,0.3680
