generation,population,mean_A_affinity,mean_B_affinity,genotype_count,lineage_count
1,261,0.5134099616858238,0.4885057471264368,16.0,189.0
2,344,0.5450581395348837,0.5159883720930233,16.0,194.0
3,457,0.5809628008752735,0.5284463894967177,16.0,200.0
4,595,0.5957983193277311,0.5378151260504201,16.0,215.0
5,781,0.6075544174135723,0.5486555697823303,16.0,234.0
6,999,0.6171171171171171,0.561061061061061,16.0,263.0
7,1222,0.6297054009819967,0.5650572831423896,16.0,278.0
8,1441,0.6412213740458015,0.5728660652324774,16.0,315.0
9,1686,0.6530249110320284,0.5785883748517201,16.0,337.0
10,1922,0.6599895941727367,0.5822060353798127,16.0,373.0
11,2183,0.6603298213467705,0.587036188731104,16.0,417.0
12,2432,0.6626233552631579,0.5953947368421053,16.0,447.0
13,2695,0.664378478664193,0.5983302411873841,16.0,477.0
14,2896,0.6654005524861878,0.6027279005524862,16.0,499.0
15,3084,0.6647211413748378,0.607166018158236,16.0,520.0
16,3255,0.6645161290322581,0.6104454685099846,16.0,547.0
17,3380,0.6642011834319527,0.6155325443786982,16.0,565.0
18,3509,0.6669991450555713,0.6174123681960673,16.0,576.0
19,3632,0.6649229074889867,0.6210077092511013,16.0,605.0
20,3719,0.6677870395267546,0.6239580532401183,16.0,621.0
21,3764,0.6679064824654622,0.625,16.0,634.0
22,3781,0.6687384289870405,0.62787622322137,16.0,655.0
23,3817,0.6671469740634006,0.6316478910138853,16.0,659.0
24,3846,0.6649765990639626,0.6326053042121685,16.0,665.0
25,3856,0.664548755186722,0.633558091286307,16.0,675.0
26,3876,0.6648606811145511,0.6349329205366357,16.0,687.0
27,3872,0.6638688016528925,0.6366219008264463,16.0,683.0
28,3882,0.6633178773827924,0.6351107676455435,16.0,696.0
29,3883,0.6646922482616534,0.6390677311357198,16.0,704.0
30,3889,0.6652095654409874,0.6416816662381075,16.0,716.0
31,3881,0.6646482865240917,0.6441638752898737,16.0,717.0
32,3906,0.6656426011264721,0.6475934459805428,16.0,716.0
33,3896,0.6649127310061602,0.6482289527720739,16.0,724.0
34,3896,0.6638860369609856,0.6493839835728953,16.0,724.0
35,3875,0.6656774193548387,0.6521290322580645,16.0,729.0
36,3891,0.6669236700077101,0.6560010280133641,16.0,732.0
37,3899,0.6688894588355989,0.6556809438317517,16.0,745.0
38,3880,0.6689432989690721,0.6582474226804124,16.0,760.0
39,3888,0.6710390946502057,0.6586934156378601,16.0,767.0
40,3916,0.6737742594484167,0.660367722165475,16.0,770.0
41,3897,0.6757762381318964,0.66384398255068,16.0,773.0
42,3896,0.6737679671457906,0.6637577002053389,16.0,775.0
43,3898,0.6718830169317599,0.6667521806054387,16.0,782.0
44,3896,0.6744096509240246,0.6647843942505134,16.0,794.0
45,3900,0.6737179487179488,0.6676923076923077,16.0,791.0
46,3895,0.6758664955070603,0.6658536585365854,16.0,792.0
47,3898,0.6775269368907132,0.6675218060543868,16.0,801.0
48,3881,0.6779180623550631,0.6685132697758309,16.0,797.0
49,3873,0.678285566744126,0.6695068422411568,16.0,802.0
50,3866,0.6789963786859804,0.6690377651319193,16.0,808.0
51,3879,0.6791698891466873,0.668600154679041,16.0,818.0
52,3877,0.6777147278823833,0.6712664431261285,16.0,810.0
53,3868,0.6759307135470527,0.6729576008273009,16.0,811.0
54,3895,0.6757381258023106,0.6717586649550706,16.0,822.0
55,3910,0.6758312020460358,0.6734015345268543,16.0,823.0
56,3907,0.6787816739186077,0.6740465830560533,16.0,826.0
57,3901,0.6817482696744425,0.6763650346065112,16.0,832.0
58,3894,0.6825885978428351,0.6788649203903441,16.0,844.0
59,3918,0.6817253700867789,0.6795558958652373,16.0,859.0
60,3921,0.6827339964294823,0.6798010711553175,16.0,856.0
61,3928,0.6825356415478615,0.6830448065173116,16.0,850.0
62,3910,0.6831202046035806,0.6829923273657289,16.0,850.0
63,3920,0.6855867346938775,0.6838010204081633,16.0,844.0
64,3921,0.6846467737821984,0.6845192552920173,16.0,837.0
65,3920,0.6875,0.6841836734693878,16.0,830.0
66,3916,0.6869254341164454,0.6847548518896833,16.0,830.0
67,3905,0.6880921895006402,0.6873239436619718,16.0,838.0
68,3914,0.6889371486969852,0.6874041900868677,16.0,847.0
69,3912,0.6903118609406953,0.6868609406952966,16.0,843.0
70,3933,0.6900584795321637,0.6880244088482075,16.0,848.0
71,3924,0.6913863404689092,0.6875637104994903,16.0,844.0
72,3919,0.6922684358254657,0.6898443480479715,16.0,844.0
73,3914,0.6904701073071027,0.6931527848748084,16.0,836.0
74,3916,0.6908835546475995,0.6934371807967313,16.0,832.0
75,3915,0.6915708812260536,0.6932311621966795,16.0,832.0
76,3901,0.6884132273775955,0.6972571135606255,16.0,832.0
77,3916,0.6908835546475995,0.7007150153217568,16.0,826.0
78,3936,0.6920731707317073,0.6998221544715447,16.0,832.0
79,3922,0.6922488526262112,0.700790413054564,16.0,834.0
80,3915,0.6954022988505747,0.7015325670498084,16.0,838.0
81,3893,0.697405599794503,0.70010274852299,16.0,835.0
82,3904,0.6985143442622951,0.7015881147540983,16.0,834.0
83,3916,0.70097037793667,0.7030132788559755,16.0,834.0
84,3923,0.7036706602090237,0.7016314045373439,16.0,839.0
85,3925,0.7048407643312102,0.7012738853503184,16.0,836.0
86,3906,0.7095494111623144,0.7012288786482335,16.0,834.0
87,3911,0.7109434927128612,0.7010994630529276,16.0,834.0
88,3913,0.7112190135445949,0.701635573728597,16.0,848.0
89,3903,0.7109915449654112,0.6999743786830643,16.0,855.0
90,3902,0.7119425935417735,0.7033572526909277,16.0,842.0
91,3886,0.712300566134843,0.7031652084405559,16.0,856.0
92,3882,0.714064914992272,0.7065945388974755,16.0,847.0
93,3904,0.7120901639344263,0.7070952868852459,16.0,839.0
94,3924,0.7135575942915392,0.7082059123343527,16.0,835.0
95,3927,0.7125031830914184,0.7074102368220015,16.0,843.0
96,3945,0.7129277566539924,0.7082382762991128,16.0,840.0
97,3921,0.7130833970925784,0.7084927314460597,16.0,843.0
98,3915,0.7130268199233717,0.7098339719029374,16.0,840.0
99,3906,0.71415770609319,0.710957501280082,16.0,846.0
100,3908,0.7164790174002047,0.7126407369498464,16.0,853.0
101,3945,0.7173637515842839,0.7133079847908745,16.0,853.0
102,3923,0.7175630894723426,0.7132296711700229,16.0,853.0
103,3923,0.7197297986235024,0.7134845781289829,16.0,851.0
104,3937,0.7207264414528829,0.7146304292608585,16.0,855.0
105,3943,0.7225462845549074,0.7163327415673345,16.0,860.0
106,3920,0.7234693877551021,0.7159438775510204,16.0,860.0
107,3909,0.7235865950370939,0.7177027372729599,16.0,860.0
108,3906,0.7229902713773682,0.716973886328725,16.0,872.0
109,3898,0.7221652129297076,0.7174191893278604,16.0,879.0
110,3908,0.7222364380757421,0.7175025588536336,16.0,877.0
111,3923,0.7232984960489421,0.7184552638287025,16.0,882.0
112,3931,0.7234800305265836,0.718265072500636,16.0,888.0
113,3930,0.7239185750636132,0.7178117048346055,16.0,890.0
114,3927,0.7230710466004584,0.7184873949579832,16.0,893.0
115,3917,0.7219811079908093,0.7176410518253765,16.0,897.0
116,3924,0.7256625891946993,0.7192915392456677,16.0,903.0
117,3914,0.7248339294839039,0.7227899846704139,16.0,905.0
118,3932,0.7246948118006104,0.7216429298067142,16.0,916.0
119,3904,0.7219518442622951,0.7223360655737705,16.0,906.0
120,3906,0.7222222222222222,0.7246543778801844,16.0,918.0
121,3895,0.7218228498074455,0.7261874197689345,16.0,916.0
122,3895,0.7214377406931964,0.7260590500641848,16.0,916.0
123,3920,0.7220663265306122,0.7252551020408163,16.0,921.0
124,3918,0.7212863705972435,0.7275395610005104,16.0,926.0
125,3929,0.723975566301858,0.7257571901247136,16.0,937.0
126,3930,0.7244274809160305,0.7231552162849872,16.0,928.0
