generation,population,mean_A_affinity,mean_B_affinity,genotype_count,lineage_count
1,530,0.5320754716981132,0.49433962264150944,16.0,404.0
2,714,0.569327731092437,0.523109243697479,16.0,419.0
3,946,0.5961945031712473,0.5454545454545454,16.0,428.0
4,1214,0.6116144975288303,0.564662273476112,16.0,457.0
5,1508,0.6196949602122016,0.5828912466843501,16.0,490.0
6,1794,0.6287625418060201,0.592809364548495,16.0,519.0
7,2106,0.6381766381766382,0.5990028490028491,16.0,560.0
8,2403,0.6404494382022472,0.6117353308364545,16.0,599.0
9,2675,0.6472897196261682,0.616822429906542,16.0,624.0
10,2894,0.6472011057360055,0.6245680718728404,16.0,651.0
11,3116,0.6463414634146342,0.6254813863928113,16.0,685.0
12,3312,0.6468900966183575,0.6283212560386473,16.0,721.0
13,3479,0.6448692152917505,0.6310721471687266,16.0,753.0
14,3559,0.648075302051138,0.6343073897162124,16.0,759.0
15,3652,0.6499178532311063,0.6359529025191676,16.0,771.0
16,3721,0.6494221983337812,0.6378661650094061,16.0,783.0
17,3759,0.653365256717212,0.6383346634743283,16.0,793.0
18,3819,0.6555380989787902,0.6398271798900236,16.0,798.0
19,3836,0.6600625651720542,0.6405109489051095,16.0,799.0
20,3857,0.6608763287529168,0.6394866476536168,16.0,818.0
21,3870,0.6630490956072351,0.6400516795865633,16.0,817.0
22,3844,0.6653225806451613,0.6394380853277836,16.0,817.0
23,3883,0.6673963430337368,0.6395827968065928,16.0,822.0
24,3852,0.6667964693665628,0.643951194184839,16.0,814.0
25,3864,0.6673136645962733,0.6441511387163561,16.0,811.0
26,3883,0.6693278392995107,0.6449909863507597,16.0,810.0
27,3896,0.6679928131416838,0.6475872689938398,16.0,822.0
28,3889,0.6693237336076112,0.651967086654667,16.0,831.0
29,3885,0.6709137709137709,0.6522522522522523,16.0,840.0
30,3900,0.6717948717948717,0.6511538461538462,16.0,855.0
31,3907,0.6716150499104172,0.6522907601740466,16.0,857.0
32,3879,0.6728538283062645,0.6533900489816963,16.0,848.0
33,3886,0.6751158003088008,0.6546577457539887,16.0,840.0
34,3900,0.6770512820512821,0.6544871794871795,16.0,852.0
35,3897,0.6796253528355145,0.6558891454965358,16.0,854.0
36,3878,0.6810211449200619,0.6543321299638989,16.0,859.0
37,3904,0.6841700819672131,0.6559938524590164,16.0,859.0
38,3908,0.6865404298874105,0.6594165813715456,16.0,864.0
39,3917,0.6895583354608118,0.6591779423027827,16.0,868.0
40,3910,0.6900255754475704,0.6615089514066497,16.0,856.0
41,3918,0.6930832057172026,0.6625829504849413,16.0,860.0
42,3908,0.6935772773797338,0.6629989764585466,16.0,866.0
43,3881,0.6918320020613244,0.6682556042257151,16.0,860.0
44,3884,0.691941297631308,0.6656797116374872,16.0,863.0
45,3903,0.6930566231104279,0.6662823469126313,16.0,867.0
46,3894,0.6914483821263482,0.6682074987159733,16.0,874.0
47,3894,0.6941448382126348,0.6673086800205444,16.0,879.0
48,3891,0.6958365458750964,0.6658956566435363,16.0,877.0
