generation,population,mean_A_affinity,mean_B_affinity,genotype_richness,lineage_richness
1,154,0.4653679653679653,0.487012987012987,16,154
2,150,0.4622222222222221,0.5022222222222222,16,150
3,150,0.4511111111111111,0.5288888888888889,16,150
4,144,0.45601851851851855,0.5416666666666666,16,144
5,141,0.46335697399527176,0.5673758865248227,16,141
6,136,0.46568627450980393,0.5833333333333333,16,136
7,138,0.46859903381642504,0.5893719806763285,16,138
8,138,0.4855072463768116,0.5893719806763285,16,138
9,136,0.48039215686274506,0.6078431372549019,16,136
10,143,0.4662004662004661,0.6456876456876457,16,143
11,142,0.4647887323943662,0.6666666666666666,16,142
12,138,0.45652173913043476,0.6956521739130435,16,138
13,143,0.45221445221445217,0.7062937062937062,16,143
14,142,0.45774647887323944,0.7136150234741784,16,142
15,145,0.47586206896551725,0.7241379310344828,16,145
16,151,0.48344370860927144,0.7152317880794702,16,151
17,154,0.4653679653679653,0.7207792207792207,16,154
18,160,0.4729166666666666,0.7416666666666666,16,160
19,165,0.48080808080808085,0.7414141414141415,16,165
20,165,0.4828282828282828,0.7434343434343433,16,165
21,175,0.4876190476190476,0.7542857142857143,16,175
22,175,0.4952380952380952,0.7447619047619048,16,175
23,180,0.48518518518518516,0.7611111111111111,16,180
24,184,0.4873188405797101,0.7626811594202899,16,184
25,186,0.48566308243727596,0.7634408602150538,16,186
26,179,0.4823091247672252,0.7783985102420857,15,179
27,174,0.47509578544061304,0.777777777777778,15,174
28,180,0.46481481481481474,0.7629629629629631,15,180
29,188,0.4609929078014184,0.7730496453900709,15,188
30,200,0.46833333333333327,0.7916666666666667,15,200
31,197,0.4534686971235195,0.7969543147208121,15,197
32,196,0.4591836734693877,0.79421768707483,15,196
33,193,0.4628670120898099,0.8134715025906735,15,193
34,200,0.44666666666666666,0.8233333333333335,15,200
35,199,0.4221105527638191,0.8241206030150754,15,199
36,195,0.43418803418803414,0.829059829059829,15,195
37,191,0.43106457242582896,0.8272251308900523,16,191
38,199,0.43383584589614743,0.8241206030150754,16,199
39,197,0.44331641285956014,0.817258883248731,15,197
40,190,0.44210526315789483,0.8035087719298245,15,190
41,207,0.45732689210950084,0.8003220611916265,15,207
42,208,0.47115384615384615,0.7868589743589743,15,208
43,204,0.4836601307189542,0.7810457516339869,16,204
44,201,0.47927031509121054,0.7860696517412935,16,201
45,199,0.48241206030150746,0.7772194304857623,16,199
46,210,0.48730158730158724,0.7825396825396824,14,210
47,210,0.46825396825396826,0.7746031746031747,14,210
48,212,0.46383647798742134,0.7767295597484277,14,212
49,219,0.441400304414003,0.7899543378995434,14,219
50,220,0.4409090909090909,0.7803030303030304,14,220
51,219,0.4368340943683409,0.771689497716895,15,219
52,218,0.42813455657492344,0.7752293577981652,15,218
53,229,0.4381368267831149,0.7685589519650655,15,229
54,229,0.4366812227074236,0.7714701601164484,16,229
55,221,0.46153846153846156,0.7677224736048266,16,221
56,224,0.4538690476190476,0.7648809523809523,16,224
57,228,0.4488304093567251,0.7646198830409358,16,228
58,222,0.4579579579579579,0.7567567567567568,16,222
59,231,0.4574314574314574,0.7503607503607505,16,231
60,218,0.4541284403669725,0.7675840978593272,15,218
61,216,0.45370370370370366,0.7638888888888888,15,216
62,221,0.46455505279034687,0.7707390648567118,15,221
63,225,0.47259259259259256,0.765925925925926,15,225
64,221,0.46304675716440413,0.7647058823529411,15,221
65,218,0.46483180428134546,0.7507645259938838,15,218
66,223,0.47533632286995514,0.7608370702541106,15,223
67,225,0.4829629629629629,0.76,15,225
68,229,0.48034934497816595,0.7714701601164484,16,229
69,241,0.4868603042876901,0.7773167358229598,15,241
70,240,0.47361111111111115,0.7680555555555556,15,240
71,239,0.47140864714086467,0.7726638772663876,15,239
72,230,0.4681159420289855,0.7695652173913043,15,230
73,235,0.4723404255319149,0.7617021276595745,15,235
74,245,0.4829931972789115,0.7537414965986394,15,245
75,225,0.4829629629629629,0.7644444444444445,15,225
76,236,0.4872881355932203,0.7725988700564971,15,236
77,230,0.48695652173913045,0.755072463768116,15,230
78,236,0.48870056497175135,0.7457627118644068,15,236
79,240,0.48055555555555557,0.7333333333333333,15,240
80,241,0.48824343015214383,0.7413554633471645,15,241
81,242,0.49586776859504134,0.7203856749311294,15,242
