trade_off,barrier_width,sigma_alpha_mean,patch_divergence_mean,survival_rate,genotype_richness_mean,n
0.0,0,0.2922498370855941,0.3227327621389015,1.0,16.0,1
0.0,8,0.21020806130513164,0.17754729272741493,1.0,13.0,1
0.0,16,0.2892787358552502,0.30800404328162134,1.0,15.0,1
0.0,24,0.24801768933264562,0.2569444442666666,1.0,14.0,1
0.0,30,0.22950530796706534,0.26072600474825564,1.0,9.0,1
0.2,0,0.3511184530319857,0.46116368125185025,1.0,15.0,1
0.2,8,0.3373558040995305,0.4922243310685417,1.0,15.0,1
0.2,16,0.329712203333707,0.5107596448053957,1.0,14.0,1
0.2,24,0.3460046082026379,0.551537109762737,1.0,15.0,1
0.2,30,0.20828188634810998,0.12499999997836542,1.0,4.0,1
0.4,0,0.37450181754990547,0.6205891324104953,1.0,15.0,1
0.4,8,0.3402876566971963,0.5537123018643431,1.0,16.0,1
0.4,16,0.3161097545719451,0.404705881926794,1.0,14.0,1
0.4,24,0.11778137496150988,,1.0,3.0,1
0.4,30,0.32384990193418534,0.5261403504653944,1.0,8.0,1
0.6,0,0.42823000564827146,0.6825841446477967,1.0,15.0,1
0.6,8,0.39268243082175885,0.6500020027855833,1.0,15.0,1
0.6,16,0.4024409235870435,0.6336976714402167,1.0,16.0,1
0.6,24,0.4193455524925865,0.8056159409158905,1.0,12.0,1
0.6,30,,,0.0,0.0,1
0.8,0,0.4360692524394728,0.7779805343814781,1.0,15.0,1
0.8,8,0.4454270927766788,0.743150171786667,1.0,14.0,1
0.8,16,0.28245832902102674,0.5974910387024117,1.0,13.0,1
0.8,24,0.3150313989887801,0.4734064779259222,1.0,13.0,1
0.8,30,0.17420655449917385,0.23655913953548383,1.0,5.0,1
