trade_off,barrier,rep,divergence,richness,survival
0.0,0,0,0.4279710144927536,16,0.6325
0.0,0,1,0.6120108914885034,16,0.6375
0.0,0,2,0.23697948823489046,12,0.405
0.0,0,3,0.5522346712632357,16,0.675
0.0,0,4,0.6092659862768841,16,0.69
0.0,8,0,0.6776700347674924,14,0.4125
0.0,8,1,0.3116858237547893,14,0.2475
0.0,8,2,0.4533434139784946,14,0.415
0.0,8,3,0.5993503657604544,16,0.41
0.0,8,4,0.6957368082368083,15,0.3425
0.0,16,0,0.5819940476190477,8,0.1175
0.0,16,1,0.4882832080200502,9,0.1375
0.0,16,2,0.21712962962962962,11,0.1225
0.0,16,3,,4,0.045
0.0,16,4,,6,0.105
0.0,24,0,,0,0.0
0.0,24,1,,0,0.0
0.0,24,2,,0,0.0
0.0,24,3,,0,0.0
0.0,24,4,,0,0.0
0.0,30,0,,0,0.0
0.0,30,1,,1,0.0025
0.0,30,2,,0,0.0
0.0,30,3,,0,0.0
0.0,30,4,,0,0.0
0.2,0,0,0.5745142054611595,16,0.6275
0.2,0,1,0.5859481506313553,16,0.705
0.2,0,2,0.5651818055168571,16,0.64
0.2,0,3,0.5930964052287581,16,0.62
0.2,0,4,0.6727352519408595,15,0.6075
0.2,8,0,0.6799771689497716,15,0.42
0.2,8,1,0.4560755336617406,13,0.19
0.2,8,2,0.6419298245614036,15,0.4275
0.2,8,3,0.6482048374905518,15,0.4525
0.2,8,4,0.673911149825784,13,0.4325
0.2,16,0,0.5196969696969697,10,0.135
0.2,16,1,0.5,2,0.0125
0.2,16,2,,0,0.0
0.2,16,3,0.43390804597701144,9,0.0875
0.2,16,4,0.6802867383512545,7,0.115
0.2,24,0,,0,0.0
0.2,24,1,,0,0.0
0.2,24,2,,0,0.0
0.2,24,3,,0,0.0
0.2,24,4,,0,0.0
0.2,30,0,,0,0.0
0.2,30,1,,0,0.0
0.2,30,2,,0,0.0
0.2,30,3,,0,0.0
0.2,30,4,,0,0.0
0.4,0,0,0.718629312104511,16,0.675
0.4,0,1,0.6157919128722049,15,0.63
0.4,0,2,0.6797868127516336,15,0.6425
0.4,0,3,0.581468253968254,15,0.6425
0.4,0,4,0.6376413474631462,15,0.6875
0.4,8,0,0.6319888069888069,15,0.37
0.4,8,1,0.45258868022952525,13,0.3775
0.4,8,2,0.5998991346817434,15,0.4225
0.4,8,3,0.6795666414714033,13,0.395
0.4,8,4,0.4489825581395348,14,0.28
0.4,16,0,,0,0.0
0.4,16,1,,2,0.0375
0.4,16,2,0.4916666666666668,10,0.1025
0.4,16,3,0.3098039215686275,5,0.1175
0.4,16,4,0.5883333333333334,5,0.065
0.4,24,0,,0,0.0
0.4,24,1,,0,0.0
0.4,24,2,,0,0.0
0.4,24,3,,0,0.0
0.4,24,4,,0,0.0
0.4,30,0,,0,0.0
0.4,30,1,,0,0.0
0.4,30,2,,0,0.0
0.4,30,3,,0,0.0
0.4,30,4,,0,0.0
0.6,0,0,0.76056602234728,14,0.675
0.6,0,1,0.6659279599834984,15,0.595
0.6,0,2,0.7600740055504163,15,0.655
0.6,0,3,0.7199213101990879,15,0.6
0.6,0,4,0.7056737588652482,15,0.65
0.6,8,0,0.7062638580931264,12,0.3575
0.6,8,1,0.6259523809523809,10,0.1975
0.6,8,2,0.42121693121693127,14,0.305
0.6,8,3,0.6367858917039246,11,0.35
0.6,8,4,0.7838368322239291,13,0.395
0.6,16,0,0.4595238095238096,7,0.0775
0.6,16,1,,0,0.0
0.6,16,2,0.11547619047619047,7,0.08
0.6,16,3,,6,0.0875
0.6,16,4,,0,0.0
0.6,24,0,,0,0.0
0.6,24,1,,0,0.0
0.6,24,2,,0,0.0
0.6,24,3,,0,0.0
0.6,24,4,,0,0.0
0.6,30,0,,0,0.0
0.6,30,1,,0,0.0
0.6,30,2,,0,0.0
0.6,30,3,,0,0.0
0.6,30,4,,0,0.0
0.8,0,0,0.612878787878788,12,0.655
0.8,0,1,0.7232259151134068,16,0.7025
0.8,0,2,0.6539419354838709,15,0.6525
0.8,0,3,0.7374169146825397,14,0.6125
0.8,0,4,0.6860722610722612,14,0.6475
0.8,8,0,0.7162172284644195,12,0.43
0.8,8,1,0.6252142386288728,15,0.405
0.8,8,2,0.7638757432350444,13,0.3875
0.8,8,3,0.6400480769230769,10,0.3425
0.8,8,4,0.6967942583732056,13,0.3425
0.8,16,0,,7,0.065
0.8,16,1,,8,0.0525
0.8,16,2,,3,0.0225
0.8,16,3,,3,0.02
0.8,16,4,,0,0.0
0.8,24,0,,0,0.0
0.8,24,1,,0,0.0
0.8,24,2,,0,0.0
0.8,24,3,,0,0.0
0.8,24,4,,0,0.0
0.8,30,0,,0,0.0
0.8,30,1,,0,0.0
0.8,30,2,,0,0.0
0.8,30,3,,0,0.0
0.8,30,4,,0,0.0
