trade_off,barrier,divergence_mean,divergence_std,richness_mean,richness_std,survival_mean,survival_std
0.0,0,0.48769241035125344,0.15876439855857277,15.2,1.7888543819998317,0.608,0.11607379118474591
0.0,8,0.5475572892996079,0.16285010108702155,14.6,0.8944271909999159,0.3655,0.07261628605209715
0.0,16,0.42913562842290914,0.18948703915529233,7.6,2.701851217221259,0.1055,0.03576835193295884
0.0,24,,,0.0,0.0,0.0,0.0
0.0,30,,,0.2,0.447213595499958,0.0005,0.001118033988749895
0.2,0,0.5982951637557978,0.042961701035891024,15.8,0.44721359549995815,0.64,0.038201766974840276
0.2,8,0.6200197028978504,0.09307434079432442,14.2,1.095445115010332,0.38449999999999995,0.10939321276934873
0.2,16,0.5334729385063088,0.10452698946231598,5.6,4.39317652729776,0.06999999999999999,0.060750514401114335
0.2,24,,,0.0,0.0,0.0,0.0
0.2,30,,,0.0,0.0,0.0,0.0
0.4,0,0.6466635278319499,0.05376129228549945,15.2,0.44721359549995804,0.6555,0.02445659420279124
0.4,8,0.5626051643022028,0.10594649668540754,14.0,1.0,0.369,0.05369473903465774
0.4,16,0.46326797385620927,0.14141966843231288,4.4,3.7815340802378077,0.0645,0.04780821059190565
0.4,24,,,0.0,0.0,0.0,0.0
0.4,30,,,0.0,0.0,0.0,0.0
0.6,0,0.7224326113891062,0.039846496043456366,14.8,0.44721359549995804,0.635,0.03553167600887977
0.6,8,0.6348111788380585,0.13511015056938777,12.0,1.5811388300841898,0.321,0.0760879425401949
0.6,16,0.28750000000000003,0.2432784044796575,4.0,3.6742346141747673,0.049,0.04488178918002267
0.6,24,,,0.0,0.0,0.0,0.0
0.6,30,,,0.0,0.0,0.0,0.0
0.8,0,0.6827071628461734,0.05086671400128027,14.2,1.4832396974191326,0.654,0.032093613071762374
0.8,8,0.6884299091249237,0.05672564239933106,12.6,1.8165902124584952,0.38150000000000006,0.038673311210704435
0.8,16,,,4.2,3.271085446759225,0.032,0.02630351687512527
0.8,24,,,0.0,0.0,0.0,0.0
0.8,30,,,0.0,0.0,0.0,0.0
