mutation_sd,dispersal,rep,correlation,maladaptation,trait_variance,survival
0.01,1,0,0.9425160057173939,0.1226551335849529,0.009860033023522381,0.6527777777777778
0.01,1,1,0.9688178577959958,0.10780574480436972,0.011660096814103037,0.71875
0.01,1,2,0.9865087603430759,0.1077495211899534,0.01014337386658024,0.7309027777777778
0.01,2,0,0.9808307453639334,0.10001462973535764,0.012724323373624525,0.6979166666666666
0.01,2,1,0.9830085086006266,0.10287953396156593,0.0108403213138624,0.7378472222222222
0.01,2,2,0.9780270349448865,0.11031775779630139,0.00987553448431464,0.7118055555555556
0.01,4,0,0.9805678434559835,0.1399619195073001,0.014580238471599663,0.6961805555555556
0.01,4,1,0.9904628871276234,0.13254251733123565,0.024597387941315704,0.6996527777777778
0.01,4,2,0.9796999659526224,0.12782616735265648,0.02100801094870919,0.7118055555555556
0.01,8,0,0.9461876736799804,0.18390224239027586,0.04003847093667992,0.6180555555555556
0.01,8,1,0.9520901749376697,0.17510410301027995,0.03309089190171901,0.6180555555555556
0.01,8,2,0.9523234215680838,0.18554926278574096,0.03326921911600505,0.5607638888888888
0.03,1,0,0.9878950848802611,0.09530474148867495,0.013360790083065448,0.7222222222222222
0.03,1,1,0.9930022747302154,0.11413856292391465,0.014347992187958819,0.6545138888888888
0.03,1,2,0.9617173474936878,0.12011014495577084,0.015209889410713202,0.6041666666666666
0.03,2,0,0.9835127950739923,0.12102543730478449,0.012962172821832868,0.6927083333333334
0.03,2,1,0.9633568463478214,0.1105619837872299,0.013930439675837222,0.7152777777777778
0.03,2,2,0.9838851690255954,0.11925212283166237,0.014179279711882807,0.6961805555555556
0.03,4,0,0.9665467416354397,0.14562954179107357,0.018775580667848676,0.6597222222222222
0.03,4,1,0.9817662991928718,0.14008326234772883,0.015327217198970055,0.6736111111111112
0.03,4,2,0.9814223944862678,0.12555197636046614,0.01999353952610383,0.6684027777777778
0.03,8,0,0.9619451094401194,0.18513922837761507,0.040081786879599485,0.5694444444444444
0.03,8,1,0.9242510571562328,0.1954114296225677,0.02554041148713257,0.5659722222222222
0.03,8,2,0.9567454563842487,0.1959918244336543,0.03720055032873398,0.5989583333333334
0.06,1,0,0.9894447217809743,0.1004150490679236,0.013603327220649703,0.7152777777777778
0.06,1,1,0.970404438191883,0.12203333973631705,0.015204241559538126,0.6267361111111112
0.06,1,2,0.9856720641722909,0.10709502498373574,0.014023024241942883,0.6736111111111112
0.06,2,0,0.987520637941779,0.12748337841072682,0.020367810146483614,0.703125
0.06,2,1,0.9803793270326662,0.13034870117124994,0.020614264441879627,0.6892361111111112
0.06,2,2,0.9896448274973287,0.11616281672461141,0.018347872852064528,0.7361111111111112
0.06,4,0,0.9693046677058187,0.14600436461346367,0.027477958078947956,0.6753472222222222
0.06,4,1,0.9717237533063249,0.14836906035899156,0.029851978032056217,0.671875
0.06,4,2,0.9720935636333293,0.14361536570383746,0.0258519109762492,0.6440972222222222
0.06,8,0,0.9601558885766898,0.19474391216882916,0.04415826799921102,0.5451388888888888
0.06,8,1,0.9031582130898549,0.22432292849780405,0.05032445492764271,0.5659722222222222
0.06,8,2,0.9352720688225316,0.20114053007458924,0.044186443004071624,0.5815972222222222
0.12,1,0,0.9802802299310418,0.12628873446966968,0.02136886640495093,0.7152777777777778
0.12,1,1,0.9711465168163713,0.1551080384789839,0.03293377830655967,0.6545138888888888
0.12,1,2,0.9785242423229439,0.14344322008781585,0.02819281833676181,0.6388888888888888
0.12,2,0,0.9811031613760197,0.13370003273539574,0.02627193682453284,0.7065972222222222
0.12,2,1,0.9794731577907788,0.14580464660939266,0.02767628213735562,0.7256944444444444
0.12,2,2,0.9858884486678504,0.12950849111887866,0.02422962602433938,0.7048611111111112
0.12,4,0,0.9549092207787473,0.16823755122461398,0.03519523658030629,0.6475694444444444
0.12,4,1,0.9728743993528157,0.1496699779368622,0.03142389338009566,0.6579861111111112
0.12,4,2,0.9852994251355469,0.14167828045692946,0.026195922607262886,0.65625
0.12,8,0,0.9487348192697604,0.2137811855481171,0.04981845151424144,0.5381944444444444
0.12,8,1,0.9398742160640444,0.21867085830786026,0.05711421389128932,0.5642361111111112
0.12,8,2,0.9462827884256906,0.22106846890735474,0.05630223476929507,0.5920138888888888
