mutation_sd,dispersal,correlation_mean,correlation_std,maladaptation_mean,maladaptation_std,variance_mean,variance_std,survival_mean,survival_std
0.01,1,0.9659475412854887,0.022136387522397032,0.11273679985975867,0.008589574971263034,0.01055450123473522,0.000967898082018158,0.7008101851851851,0.04203875144366672
0.01,2,0.9806220963031489,0.0024972826769576826,0.10440397383107498,0.005318040019298757,0.011146726390600522,0.0014489004752749693,0.7158564814814815,0.020271157277936346
0.01,4,0.9835768988454098,0.0059792080418144,0.1334435347303974,0.006117842295689597,0.020061879120541522,0.005075154672703287,0.7025462962962963,0.008204541017799617
0.01,8,0.9502004233952447,0.003477099539222967,0.18151853606209892,0.005615770880117018,0.035466193984801324,0.0039607117469400545,0.5989583333333334,0.03307735917232237
0.03,1,0.9808715690347215,0.016783444198766807,0.10985114978945348,0.012946561081249176,0.01430622389391249,0.0009252570041169643,0.6603009259259259,0.059240154436275325
0.03,2,0.9769182701491363,0.011746013248294605,0.11694651464122559,0.005599806847058501,0.013690630736517634,0.0006430151949876064,0.701388888888889,0.012152777777777773
0.03,4,0.9765784784381931,0.008689440434895305,0.13708826016642284,0.010368446699221696,0.01803211246430752,0.002420371819046472,0.6672453703703703,0.007016409521401697
0.03,8,0.9476472076602004,0.020427775008027196,0.19218082747794565,0.006105104663436725,0.034274249565155346,0.007699696532679146,0.578125,0.018125532133525305
0.06,1,0.9818404080483827,0.010081879352440527,0.10984780459599214,0.01106891907780645,0.014276864340710238,0.0008300950408967061,0.671875,0.04429635702143424
0.06,2,0.985848264157258,0.004853864467775186,0.12466496543552939,0.0075011611206143285,0.019776649146809256,0.0012434774647126269,0.7094907407407408,0.02407713433184573
0.06,4,0.971040661548491,0.001514742844788116,0.14599626355876424,0.002376857681672502,0.027727282362417793,0.0020116550552925247,0.6637731481481481,0.017128065494153657
0.06,8,0.9328620568296921,0.028575161785716226,0.20673579024707414,0.015563089476250775,0.04622305531030845,0.0035519441962855967,0.564236111111111,0.018291065543147078
0.12,1,0.976650329690119,0.004846631844061544,0.14161333101215648,0.014496532047949668,0.027498487682757474,0.005813636393498517,0.6695601851851851,0.040356026323173935
0.12,2,0.9821549226115497,0.003334462555162732,0.136337723487889,0.008462223722054024,0.02605928166207595,0.0017331405753538093,0.7123842592592592,0.011559597427915581
0.12,4,0.9710276817557033,0.015279034806708967,0.15319526987280188,0.013626058797502541,0.030938350855888277,0.004519261737658468,0.6539351851851852,0.00558081641261169
0.12,8,0.9449639412531652,0.004575160181965784,0.21784017092111072,0.003713981130853267,0.054411633391608615,0.0039984768778335185,0.5648148148148148,0.026914388782947885
