treatment,replicate,generation,population,mean_d,std_d,mean_alpha,maladaptation,trait_variance,trait_env_corr
moving,0,0,900,3.4755555555555557,1.7608275271152805,0.4897048323096375,0.21355781964626766,0.08271329655688081,-0.028218127201188138
moving,0,20,900,3.738888888888889,1.6870878554772322,0.4904673344366798,0.08594076578739815,0.10396245312854233,0.6277034072680971
moving,0,40,900,4.016666666666667,1.485017770189225,0.4964093039467372,0.11382505161973068,0.10707281718716945,0.511111528134745
moving,0,60,900,4.513333333333334,1.311843486599424,0.493150677491119,0.11978466337184067,0.11192748899972134,0.49537741648297673
moving,0,80,900,4.903333333333333,1.1683749398202616,0.48938491065772144,0.12218893290743793,0.11248509072723313,0.4866386340937449
moving,0,100,900,5.078888888888889,1.0431783105751007,0.5043959211307549,0.11140774717871166,0.11042107653126888,0.5278676461279496
moving,0,120,900,5.094444444444444,0.9677994639744001,0.515906012293769,0.12239758178654844,0.11043213540233288,0.48211369247506086
moving,0,140,900,5.127777777777778,0.9418100513582907,0.5046758893308175,0.11063503274047275,0.11641592142718313,0.5421577762363592
moving,0,160,900,5.204444444444444,0.8821578481971367,0.5062907126735845,0.11807621487810603,0.11891674446371664,0.5162387263647475
moving,0,180,900,5.326666666666667,0.7600877142365434,0.4987655804155177,0.11648592009104385,0.12089735619942546,0.5263618035595394
moving,0,200,900,5.243333333333333,0.7569749739001357,0.5018554840589212,0.13057818783832179,0.11264605543351011,0.45115951540883203
moving,1,0,900,3.47,1.7049568257811627,0.48756461218114927,0.21232850496076086,0.08089463688041997,-0.0312220539082318
moving,1,20,900,3.948888888888889,1.5998780817747364,0.47527112871982247,0.09547392376726285,0.10316433686858037,0.586930448607278
moving,1,40,900,4.121111111111111,1.4521244547554337,0.49760532551541714,0.11709825024148111,0.1055148631979112,0.4938065077154913
moving,1,60,900,4.474444444444444,1.2781984814670573,0.4948521628039076,0.12159971829304543,0.10633589387603946,0.47602497679405875
moving,1,80,900,4.854444444444445,1.1728087000502596,0.5074141454513303,0.11692227323554276,0.10746167783546932,0.49868337182076466
moving,1,100,900,5.075555555555556,1.0629425730396949,0.5122179741389729,0.10755734467747244,0.10497058651009389,0.5349816309335643
moving,1,120,900,5.238888888888889,1.0549559700600932,0.5009463165349191,0.11313933484752599,0.11501228566614431,0.5290722544114512
moving,1,140,900,5.4688888888888885,0.869309361178228,0.48975939154869846,0.12351095365569753,0.11979505342663006,0.49599212467735004
moving,1,160,900,5.3933333333333335,0.8046807510504468,0.5021478876758463,0.12174224224461726,0.1166056665237961,0.49643062532092685
moving,1,180,900,5.478888888888889,0.7821614559730469,0.5156347434413516,0.12436536123306158,0.11355668224229007,0.48025338206593093
moving,1,200,900,5.44,0.7984429291509263,0.49519160243338317,0.12187379920139914,0.1073034132015268,0.47685320124711805
moving,2,0,900,3.6155555555555554,1.725296181407774,0.5031255384801544,0.21164297931430803,0.0856520468515544,-0.00474119149032853
moving,2,20,900,3.9955555555555557,1.5412773282148593,0.48693398158597423,0.0859615088491397,0.10857748617056563,0.6342791753188068
moving,2,40,900,4.207777777777777,1.3350595307390918,0.5091486192347644,0.1145716600856854,0.10271832226096259,0.49963623263181794
moving,2,60,900,4.442222222222222,1.3021331027525376,0.5059751694104687,0.11301371075131243,0.10414560343522888,0.5090723709279967
moving,2,80,900,4.601111111111111,1.3147872193243915,0.5078956405610092,0.11953559737634274,0.10941329763670538,0.49141826388278587
moving,2,100,900,4.812222222222222,1.2966904691712307,0.5138106279870566,0.11509591981538093,0.10985121111905262,0.511797820705667
moving,2,120,900,5.232222222222222,1.0211461727749067,0.49511763528858865,0.10535210696419751,0.10568238038930527,0.5453210790496144
moving,2,140,900,5.228888888888889,0.9170295577987349,0.510606335358407,0.12390208920437286,0.11138251233838915,0.47710895239040935
moving,2,160,900,5.341111111111111,0.8642780473955569,0.4985661470427751,0.11639965387182317,0.11179631964014022,0.5092407163935001
moving,2,180,900,5.283333333333333,0.8594248722902492,0.5008521654648868,0.11070738220110068,0.11432118500529238,0.5379497012637943
moving,2,200,900,5.178888888888889,0.9190568165781512,0.4994166742470362,0.11844787527222675,0.11685683144002837,0.5105471087086947
static,0,0,900,3.47,1.7049568257811627,0.48756461218114927,0.21232850496076086,0.08089463688041997,-0.031222053908231778
static,0,20,900,3.9266666666666667,1.6743688694881755,0.47552706084603175,0.04522011702890899,0.11032670559639159,0.8119661446564548
static,0,40,900,4.112222222222222,1.6545108560657757,0.48534043634988683,0.022071759695131782,0.11462624198300296,0.9096405152111952
static,0,60,900,4.263333333333334,1.6521333010518382,0.4914007575401952,0.020021220091378324,0.11505337701098678,0.9176929577296856
