treatment,cost,replicate,generation,population,mean_d,std_d,mean_alpha,maladaptation,trait_variance,trait_env_corr
moving,0.0,0,0,900,3.533333333333333,1.760050504325878,0.5079268132697742,0.2173590184187101,0.08707812434709575,-0.02500745573494297
moving,0.0,0,20,900,3.931111111111111,1.71260973335008,0.4963144580922059,0.09275510021402307,0.10222442274893304,0.5948462782519573
moving,0.0,0,40,900,4.506666666666667,1.4753380027038625,0.5035672308485095,0.11592059909492217,0.10819792971595048,0.5042741605396558
moving,0.0,0,60,900,4.9366666666666665,1.2335089964991923,0.5021963762095366,0.11724999295584682,0.11197530228053917,0.5060079526191748
moving,0.0,0,80,900,5.25,1.0774197572595992,0.4926168760081631,0.11968631582302691,0.11852909942729031,0.5089373534974688
moving,0.0,0,100,900,5.5,0.946924847422786,0.4806985599906516,0.11970011604484124,0.10716739291406592,0.487467941179311
moving,0.0,0,120,900,5.681111111111111,0.7191653255212593,0.47721848114403514,0.12296247252900616,0.11524746749581624,0.4907488743248151
moving,0.0,0,140,900,5.72,0.6711846905948383,0.5067467482915514,0.12469523451023172,0.11653882979720659,0.48423228075115454
moving,0.0,0,160,900,5.612222222222222,0.7525257880819733,0.480679501299627,0.12044386907752798,0.11196483784513911,0.4940459239594154
moving,0.0,0,180,900,5.611111111111111,0.6959317406573154,0.5096203026750104,0.12327035628791091,0.11297115737705456,0.48300090422111414
moving,0.0,0,200,900,5.513333333333334,0.7444908774905618,0.5146673683138286,0.11964191406497593,0.1190265223410628,0.5107522181686416
moving,0.0,1,0,900,3.491111111111111,1.6947398649576115,0.5176159206333326,0.20340260924863932,0.0850726366272122,0.03384520339225678
moving,0.0,1,20,900,3.7511111111111113,1.6486522741280691,0.5001471827825271,0.07891426578250771,0.10420072928644679,0.658414741722037
moving,0.0,1,40,900,4.116666666666666,1.4555449533116835,0.5084813283003392,0.11258829299089118,0.10905789367690268,0.5204885223741799
moving,0.0,1,60,900,4.346666666666667,1.2866148521518697,0.4876439653013562,0.13109308813124917,0.11793386483158214,0.4611989916682149
moving,0.0,1,80,900,4.7011111111111115,1.1511341696532207,0.5014977514454593,0.11807798131660217,0.11157598114249824,0.5017055228360902
moving,0.0,1,100,900,4.9366666666666665,1.0129110962413677,0.5052004093500512,0.11075058834755326,0.11108528876128951,0.5319266523240941
moving,0.0,1,120,900,5.064444444444445,0.9476650968577819,0.5063703675081516,0.10360694704290896,0.11239582695916463,0.5645359909419562
moving,0.0,1,140,900,5.162222222222222,0.8043738458892217,0.5059082366344771,0.11693435629337529,0.11572956341995864,0.5147769762341294
moving,0.0,1,160,900,5.133333333333334,0.8366600265340756,0.4893736684144158,0.122172859971126,0.11122890472174657,0.4841213396622716
moving,0.0,1,180,900,5.153333333333333,0.7908083065938153,0.4915462547766989,0.11638476407495092,0.11465433730175087,0.5151424702954593
moving,0.0,1,200,900,5.174444444444444,0.7800371944281618,0.5039540015095868,0.12486280015922858,0.10807270186639437,0.4655718761655432
moving,0.0,2,0,900,3.5233333333333334,1.7050610937246011,0.5194124979041941,0.21106054537547633,0.08158674066927883,-0.020284620672313153
moving,0.0,2,20,900,3.8577777777777778,1.4620364623647217,0.4928236355819216,0.09033137465193088,0.10149449097568208,0.6046686813798252
moving,0.0,2,40,900,4.334444444444444,1.4953008698446024,0.5064314031911126,0.12032400202392232,0.11251177735714729,0.49425557626313577
moving,0.0,2,60,900,4.747777777777777,1.2770389168156657,0.48873635932881104,0.11165975331606943,0.1074152535052249,0.5216088896149225
moving,0.0,2,80,900,5.0488888888888885,1.048728801342574,0.48723820766482034,0.1294655116330782,0.11031165821477938,0.45138494474778057
moving,0.0,2,100,900,5.124444444444444,1.0435315159070941,0.49339468384495416,0.12177810981406635,0.11666822592302029,0.4965695680619458
moving,0.0,2,120,900,5.224444444444444,0.9813042467509033,0.48778265945159094,0.1208935086509489,0.12451492938713399,0.5160850607129622
moving,0.0,2,140,900,5.328888888888889,0.8985475247982088,0.49969686619880826,0.11406818935504724,0.12207789038209926,0.5383690776274821
moving,0.0,2,160,900,5.434444444444445,0.8172665974809106,0.5037931805156581,0.12891913158576856,0.11605226666443444,0.4655623708315249
moving,0.0,2,180,900,5.445555555555556,0.7089367799914823,0.48780754889039774,0.10898935087957795,0.11048660355907423,0.5388294820641499
moving,0.0,2,200,900,5.352222222222222,0.8037036183649042,0.4931746717691162,0.12143272846712039,0.11104219786961186,0.4865953631716839
moving,0.2,0,0,900,3.5233333333333334,1.7050610937246011,0.5194124979041941,0.21106054537547633,0.08158674066927883,-0.020284620672313153
moving,0.2,0,20,900,3.348888888888889,1.4931134097318222,0.5000997877391613,0.09125093498787301,0.09670291282453547,0.5932611661123656
moving,0.2,0,40,900,3.28,1.4366009265701531,0.5124741287712749,0.12528156437307825,0.10537756209288994,0.4585319872979728
moving,0.2,0,60,900,3.652222222222222,1.381683978804108,0.4892771558619434,0.1279452658547411,0.11492103012646418,0.4676112953387352
moving,0.2,0,80,900,3.7655555555555558,1.3372991945718313,0.46804983932351707,0.12865089428127605,0.1101283500449055,0.45810697120698207
moving,0.2,0,100,900,3.847777777777778,1.3021970987337583,0.5061431049769615,0.13221301613758113,0.11588562696829045,0.4516178498296008
moving,0.2,0,120,900,3.98,1.3472770893752908,0.503883838538447,0.125527202203255,0.11430941439987895,0.4759988923066482
moving,0.2,0,140,900,3.818888888888889,1.371730006188005,0.504571300949855,0.12138365889667294,0.10776875376970342,0.47992913596278314
moving,0.2,0,160,900,3.8733333333333335,1.3010935571450826,0.4978026985175275,0.12883604442677052,0.09655482195679421,0.42200570824820544
moving,0.2,0,180,900,3.9555555555555557,1.254424269102595,0.49943300945790836,0.11628666538260181,0.09856016967343183,0.483234626060425
moving,0.2,0,200,900,3.847777777777778,1.1643527317572702,0.497713410422384,0.11974576172470952,0.10373001668178343,0.47857209107298415
moving,0.2,1,0,900,3.5144444444444445,1.6894483722414058,0.5221935384125003,0.20181861102060544,0.0860505927861077,0.04688208354530843
moving,0.2,1,20,900,3.252222222222222,1.5259771206802237,0.4910263850234893,0.08956329201590098,0.09830630011925062,0.6036105423261205
moving,0.2,1,40,900,3.2555555555555555,1.3586031315788296,0.5020147014065867,0.11323093545591023,0.10829365172815905,0.51598413101379
moving,0.2,1,60,900,3.453333333333333,1.160957459264646,0.5011834696918317,0.13143125289807922,0.10263217737119265,0.4246770529792363
moving,0.2,1,80,900,3.8355555555555556,1.2090686140911304,0.4950473841745515,0.12381256312315123,0.10213835854213613,0.45733285511152943
moving,0.2,1,100,900,3.8144444444444443,1.2454415648106596,0.4928717653649321,0.12057836808568953,0.102837765086722,0.4732381223423556
moving,0.2,1,120,900,3.9155555555555557,1.209950514241628,0.5039158273569013,0.11599861807260718,0.1022534730113968,0.49210161276845243
moving,0.2,1,140,900,3.73,1.1734990413289652,0.5073554541791029,0.12528807664162725,0.10044537054683118,0.4471643270357018
moving,0.2,1,160,900,3.72,1.1611488563774528,0.49490812264983713,0.12178446862263463,0.10372028153566404,0.46969032467203387
moving,0.2,1,180,900,3.86,1.1344896062400336,0.5167262010499664,0.1323541743941708,0.10450270094578969,0.42622245952441196
moving,0.2,1,200,900,4.022222222222222,1.0962337319484967,0.5175172020057753,0.11820761359529257,0.1023603961982361,0.48384138675335775
moving,0.2,2,0,900,3.482222222222222,1.677536406478777,0.5114518273819133,0.21094315138245778,0.08587815851487862,0.0003192369990825662
moving,0.2,2,20,900,3.4788888888888887,1.470675917502217,0.5148844998009157,0.09884963466331467,0.09795184843404708,0.5617755369622376
moving,0.2,2,40,900,3.651111111111111,1.4423934156228315,0.49277890452421275,0.12025148127446016,0.10276193331174852,0.47452613979931
moving,0.2,2,60,900,4.064444444444445,1.4252727700815035,0.502508708687269,0.12137662275781207,0.11382351693905425,0.492338509013274
moving,0.2,2,80,900,4.3566666666666665,1.271267958465965,0.5196656851807301,0.12781349191696206,0.11927107613507147,0.4784703682575634
moving,0.2,2,100,900,4.22,1.1918426443490302,0.4978053425301673,0.11945395669097691,0.11328003001263916,0.4993070169444772
moving,0.2,2,120,900,4.206666666666667,1.1173182178770737,0.49424557224799454,0.11328515872508114,0.10710330287195113,0.5135909321486444
moving,0.2,2,140,900,4.047777777777778,1.0322282023508151,0.48114886983578925,0.13116535499571433,0.10945919221203441,0.44305214406130244
moving,0.2,2,160,900,4.105555555555555,0.9243449465686029,0.48181352823858664,0.11730540902567028,0.11080455808884682,0.5048494702017245
moving,0.2,2,180,900,4.171111111111111,1.0433114422031893,0.4914303754898472,0.11445692502298503,0.10745448421582024,0.5093847733372692
moving,0.2,2,200,900,3.977777777777778,1.1193031341744912,0.4987068119561449,0.12043823637726145,0.0999193439590701,0.467449748002887
moving,0.5,0,0,900,3.533333333333333,1.6679994670929073,0.4963418917515866,0.2101169548263765,0.07976805749343738,-0.026716335083089928
moving,0.5,0,20,900,3.1044444444444443,1.5485413287715573,0.4866127334475194,0.09696492219648746,0.09044255363153902,0.5579835632237085
moving,0.5,0,40,900,2.91,1.3645145656972666,0.48028766731265576,0.12508330250244237,0.098573044755196,0.44538643284296736
moving,0.5,0,60,900,2.9988888888888887,1.233332832832731,0.48012058273662017,0.13149098576239376,0.1004199280927851,0.4209474367796333
moving,0.5,0,80,900,3.1633333333333336,1.023604741424475,0.5008338832866239,0.13205212055297752,0.09753722933050547,0.40974177148336033
moving,0.5,0,100,900,2.8666666666666667,0.9225568335398698,0.5023834511987776,0.13070707070440474,0.09474628929669454,0.409112680375978
moving,0.5,0,120,900,2.6777777777777776,0.8657402455930452,0.506904895310642,0.12439323600786063,0.09559678746029125,0.44025027158193597
moving,0.5,0,140,900,2.5522222222222224,0.7948064443313337,0.507905175000729,0.1279476718377223,0.09362965860067247,0.4194000590864056
moving,0.5,0,160,900,2.408888888888889,0.7799778407741886,0.49622883199898093,0.14436166056866745,0.09384250037428249,0.34390833024599726
moving,0.5,0,180,900,2.5,0.7666666666666666,0.5033581089671009,0.13236686973633763,0.10346397922025788,0.42255349176988466
moving,0.5,0,200,900,2.533333333333333,0.7257180352359082,0.4859452678925671,0.13493259448833564,0.09608113050985266,0.3939476633811275
moving,0.5,1,0,900,3.4922222222222223,1.7012889086270104,0.5072897917705795,0.2234534374597002,0.08639602657448593,-0.05775689820379177
moving,0.5,1,20,900,2.796666666666667,1.481661979745118,0.4937276892961506,0.098159477079882,0.10637765509891935,0.5778052952877668
moving,0.5,1,40,900,2.428888888888889,1.1853030034031564,0.4914274952602677,0.13132126640633415,0.1096774714880935,0.44167367849281663
moving,0.5,1,60,900,2.3255555555555554,0.9919745864924734,0.5013899779827965,0.1409521558318191,0.10119801070301994,0.3789763627828515
