treatment,period,cost,replicate,generation,population,mean_d,std_d,mean_alpha,maladaptation,trait_variance,trait_env_corr
moving,30.0,0.0,0,0,900,3.5011111111111113,1.647556739501418,0.49941817196529426,0.19912315541249356,0.0806204673223944,0.03236299344710689
moving,30.0,0.0,0,20,900,4.174444444444444,1.4558740109647088,0.48071484285581645,0.21742507249178789,0.08941891093652085,-0.012458230265408547
moving,30.0,0.0,0,40,900,4.592222222222222,1.3488042257889663,0.48908830933002806,0.20536758373164493,0.10466765003045012,0.1067428934504883
moving,30.0,0.0,0,60,900,4.673333333333333,1.240949457292905,0.4723245893882718,0.2113352558033208,0.10142069488472853,0.07039121150947321
moving,30.0,0.0,0,80,900,4.767777777777778,1.114782268504859,0.49567135110776045,0.21573163027757292,0.10229511916304672,0.05121292484188104
moving,30.0,0.0,0,100,900,4.898888888888889,1.1555657050836323,0.5067054873604246,0.20584696937621794,0.1083153854016159,0.11822623600638214
moving,30.0,0.0,0,120,900,4.945555555555556,1.0500435029200892,0.5156273930254055,0.20854305869067558,0.10190835024584799,0.08244132812016275
moving,30.0,0.0,0,140,900,5.012222222222222,1.008224818158439,0.5118745225901449,0.19986208705252978,0.10402069515017999,0.1284745179678182
moving,30.0,0.0,0,160,900,4.9911111111111115,1.0055009193260007,0.519794776239151,0.21218612685379012,0.09936157157188755,0.05638284552556925
moving,30.0,0.0,0,180,900,5.14,0.9845247020206699,0.4943594431217538,0.2112529491041575,0.1097152075919095,0.10030900497514504
moving,30.0,0.0,0,200,900,5.272222222222222,0.9311316624621386,0.5050575665500101,0.21912473748793096,0.11618035840150265,0.09161599679769204
moving,30.0,0.0,1,0,900,3.51,1.6822306619485925,0.49314724263613774,0.2137208687850003,0.08111795088262543,-0.03751854825625624
moving,30.0,0.0,1,20,900,3.861111111111111,1.5024568357227028,0.5010778693837615,0.21055352882031425,0.09892060763774198,0.060109880433095605
moving,30.0,0.0,1,40,900,4.221111111111111,1.4114605866457344,0.5078993792062164,0.20164115647489395,0.10136706075508092,0.11010661029730454
moving,30.0,0.0,1,60,900,4.455555555555556,1.3471048058798882,0.49819604267387874,0.1916930529621421,0.10143650364890414,0.15428776524248497
moving,30.0,0.0,1,80,900,4.666666666666667,1.2525529485370626,0.5180620345832244,0.20178695648012743,0.1040071277696914,0.12079485253441855
moving,30.0,0.0,1,100,900,4.717777777777778,1.1861775937652073,0.4890036453735071,0.19370398759925544,0.10252037690975718,0.14989505474240733
moving,30.0,0.0,1,120,900,4.931111111111111,1.0602562001122857,0.5005264672090557,0.21466294140755268,0.10365850858526686,0.06147685240514799
moving,30.0,0.0,1,140,900,4.983333333333333,0.9711104754638143,0.4936617997834545,0.21298677456062112,0.1091958625410034,0.09094016383756193
moving,30.0,0.0,1,160,900,4.944444444444445,1.0062152532149715,0.5063612199808255,0.21690387797486657,0.1085688357853819,0.07170012000617954
moving,30.0,0.0,1,180,900,5.072222222222222,0.9765617438268677,0.4884667362049706,0.21494603584268998,0.10352214434877548,0.060257081665926616
moving,30.0,0.0,1,200,900,5.152222222222222,0.9226444816429419,0.4874177288862349,0.2078926881219402,0.10336052105927909,0.09073101107715147
moving,30.0,0.0,2,0,900,3.5955555555555554,1.7406200115738524,0.4903546423664519,0.20501571277981825,0.08078591197805957,0.0042951147838266
moving,30.0,0.0,2,20,900,4.395555555555555,1.6211046378669023,0.49455157092698243,0.2158406072035659,0.09238219742242244,0.007310939999814027
moving,30.0,0.0,2,40,900,4.706666666666667,1.397044499410571,0.4985036823655186,0.19711045500958108,0.09556204488527413,0.10729661773752756
moving,30.0,0.0,2,60,900,5.075555555555556,1.2251359209048431,0.5038138659744316,0.20576347617669347,0.09828826629778346,0.07911836445321298
moving,30.0,0.0,2,80,900,5.107777777777778,1.1472409199444822,0.4927113715316754,0.20496477296397542,0.09997427399209992,0.0897343304822254
moving,30.0,0.0,2,100,900,5.265555555555555,1.0293105687369484,0.49785869677068567,0.2257470769243303,0.10578158525812086,0.021911009146416666
moving,30.0,0.0,2,120,900,5.368888888888889,0.9366185568243105,0.5198276675475478,0.2082565285779204,0.10104761062275736,0.08089964454172682
moving,30.0,0.0,2,140,900,5.445555555555556,0.8591547669542706,0.5185330348640819,0.20430411266254841,0.103104636358618,0.10633716319481075
moving,30.0,0.0,2,160,900,5.525555555555556,0.8016734041450921,0.4956614636279543,0.21737378397801627,0.10579133958260442,0.05842142810279316
moving,30.0,0.0,2,180,900,5.578888888888889,0.7144530844474977,0.4948771855657551,0.19668106700958712,0.10569747536302634,0.1480832954660206
moving,30.0,0.0,2,200,900,5.5311111111111115,0.7860795046649677,0.49688945451180666,0.20702844223223893,0.10336179163846669,0.09388386376337042
moving,30.0,0.2,0,0,900,3.5955555555555554,1.7406200115738524,0.4903546423664519,0.20501571277981825,0.08078591197805957,0.0042951147838266
moving,30.0,0.2,0,20,900,3.6566666666666667,1.5509531119784232,0.4894186331068791,0.21083413823737415,0.08379433893262314,-0.00941840342699139
moving,30.0,0.2,0,40,900,3.8355555555555556,1.4913313299875617,0.49684108167442725,0.18588792532915838,0.09159801797706545,0.14354701983226759
moving,30.0,0.2,0,60,900,3.84,1.375564530575639,0.49573205827737177,0.19922489948083458,0.09210540549644958,0.08340545293137692
moving,30.0,0.2,0,80,900,3.6133333333333333,1.4092708910796548,0.48223027792817763,0.20262119878124007,0.09664024606927687,0.08795811224058908
moving,30.0,0.2,0,100,900,3.7288888888888887,1.232814705771079,0.4857238645078178,0.21828149137911093,0.09890987034558603,0.026225671856153997
moving,30.0,0.2,0,120,900,3.84,1.0744300814850634,0.5153249042355811,0.19761353616690416,0.1010128433908158,0.12741223847698077
moving,30.0,0.2,0,140,900,3.88,1.146511617424302,0.48686870288388895,0.21108832127557198,0.09979090493704625,0.06211592643272073
moving,30.0,0.2,0,160,900,3.738888888888889,1.0778780022128298,0.4749369136102022,0.20929492312284614,0.09808927631524664,0.06512460861610846
moving,30.0,0.2,0,180,900,3.783333333333333,1.1109305408830323,0.4933285395774146,0.1980542966593885,0.09592647434751617,0.10463996168365867
moving,30.0,0.2,0,200,900,3.6455555555555557,1.1115215908445415,0.4945329040021098,0.21538795753097556,0.10021014763906126,0.04401361531524363
moving,30.0,0.2,1,0,900,3.4233333333333333,1.6685689144360272,0.5011030303716907,0.20818575323438152,0.08462344059792398,0.006995221814198471
moving,30.0,0.2,1,20,900,3.348888888888889,1.5079231077098834,0.502547397485966,0.21945686129993058,0.0920035632740383,-0.01140808389417136
moving,30.0,0.2,1,40,900,3.47,1.3937120697379834,0.5003095171782939,0.20872873229533828,0.09729918177913177,0.06152586133665874
moving,30.0,0.2,1,60,900,3.4266666666666667,1.337559967503015,0.5127545067397637,0.20488598790189985,0.09358036342152196,0.06406097008327276
moving,30.0,0.2,1,80,900,3.4988888888888887,1.2767140499861738,0.49547360768169124,0.2109968370247854,0.09896708260615149,0.05839871587690872
