treatment,period,base_cost,sigma_noise,c_plast,evolvable_plastic,replicate,generation,population,mean_d,std_d,mean_plastic,std_plastic,maladaptation,trait_variance,trait_env_corr
moving,90,0.6,0.0,0.0,False,0,0,900,3.4433333333333334,1.6786601800245338,0.0,0.0,0.2038975650418115,0.07843147573698982,-0.0021979467915716365
moving,90,0.6,0.0,0.0,False,0,20,900,2.898888888888889,1.5032553153772237,0.0,0.0,0.09886846795847105,0.10078239054411957,0.5653812338372138
moving,90,0.6,0.0,0.0,False,0,40,900,2.5877777777777777,1.2675722883421046,0.0,0.0,0.13349816036411785,0.09249084068216096,0.39181095390902515
moving,90,0.6,0.0,0.0,False,0,60,900,2.6366666666666667,1.0253400519935922,0.0,0.0,0.14029281195475993,0.09407696565103263,0.3645996338809204
moving,90,0.6,0.0,0.0,False,0,80,900,2.75,0.803291838485726,0.0,0.0,0.12685378724089696,0.09623287590830586,0.4303276932267632
moving,90,0.6,0.0,0.0,False,0,100,900,2.6911111111111112,0.7645833207185386,0.0,0.0,0.14094948401919624,0.09532532231137227,0.3638800572378713
moving,90,0.6,0.0,0.0,False,0,120,900,2.64,0.7897678983937834,0.0,0.0,0.1284795054125327,0.10373322525359716,0.4402682478037198
moving,90,0.6,0.0,0.0,False,0,140,900,2.6555555555555554,0.8321473041490125,0.0,0.0,0.14547614049504595,0.10308139395986725,0.3654859911287089
moving,90,0.6,0.0,0.0,False,0,160,900,2.66,0.8793684602536578,0.0,0.0,0.14864049849639033,0.09650003158266349,0.33344102266542835
moving,90,0.6,0.0,0.0,False,0,180,900,2.7355555555555555,0.8851002593694131,0.0,0.0,0.13214084488348324,0.09096698953751849,0.39305623418132707
moving,90,0.6,0.0,0.0,False,1,0,900,3.5055555555555555,1.6776214055164276,0.0,0.0,0.22000262560151232,0.08435359737908288,-0.050966333338519604
moving,90,0.6,0.0,0.0,False,1,20,900,2.6977777777777776,1.4876512268806512,0.0,0.0,0.08657345926510178,0.09717527137031456,0.6155594496852528
