treatment,bias,mean_alpha_mean,mean_alpha_std,mean_beta_mean,mean_beta_std,mean_p_base_mean,mean_p_base_std,mal_mean,mal_std,corr_mean,corr_std
moving,-0.3,2.8522832896679318,0.9422346078070074,0.9601841811147903,0.13281383337232705,0.6579893887319334,0.052366213197850696,0.13477998303528124,0.0034849899666140292,0.394080171185804,0.027178244679122554
moving,-0.15,2.9987878476559495,0.43350660458172086,1.2604439484915988,0.08245862926089564,0.651444788004477,0.013039381683011456,0.13462765171961713,0.003737317959783,0.38928311051924985,0.03176375428047568
moving,0.0,2.37907181508889,0.08535800092144981,1.4606323626924873,0.03216927960955768,0.5726618699658005,0.0316841128213728,0.13578315504588778,0.002229539198907986,0.3700751750629044,0.02260991468099946
moving,0.15,2.4961138929046545,0.39501874356024413,1.3868661169302754,0.03290350964899688,0.5298406644990867,0.015750288652495642,0.13465694552636046,0.0025830388527496094,0.38515579066572636,0.008220742842059165
moving,0.3,2.4891108754051827,0.32475328608647674,1.447445558107452,0.05935985563785397,0.4817273045807235,0.007971542070384856,0.12819533734612942,0.005472614778438125,0.42287420314301194,0.024962129267306437
static,-0.3,2.4976719705669055,0.14574071913323366,0.9901462360315026,0.19781933171444482,0.6248304133929224,0.02158393201566253,0.01706773925415458,0.0005129825084456751,0.9300365248527623,0.0019991128132564517
static,-0.15,2.365947532624715,0.11288754596704008,1.0932531555878862,0.031558118004661725,0.5650380755263683,0.03719316026068591,0.01805880357309626,0.0003563926941069821,0.9258101710128893,0.0021559903249749905
static,0.0,2.0488517811647884,0.24288456298854647,1.2529168740536354,0.09736907881755517,0.5559772960254157,0.057240412085332947,0.01826082428474428,0.0008840837218845368,0.925068522737775,0.003534084513811817
static,0.15,2.395832909259993,0.38805599846315303,1.3923174838317862,0.11807075611805255,0.4895372820005635,0.026289857327581934,0.01759396020427473,0.00018701597611850437,0.9273385834672206,0.0008212217007531128
static,0.3,1.6425008490667345,0.38815152213475657,1.4179613463446543,0.02037175408270095,0.4267440897944755,0.04944584072364794,0.017091352912745997,0.0003942869007000215,0.9298966096434523,0.0016425276504903798
