treatment,bias,replicate,mean_d,mean_alpha,mean_beta,mean_p_base,maladaptation,trait_env_corr,population
moving,-0.3,0,2.5473333333333334,3.0327245960415894,1.0600587235705654,0.6050098232827696,0.1318542903341287,0.3958856484531162,900.0
moving,-0.3,1,2.8355555555555556,1.83287656396126,0.809458412715899,0.7097199027909294,0.13863560951182347,0.4203106625979086,900.0
moving,-0.15,0,2.6286666666666667,2.7458907792451357,1.173914480964213,0.6539005236153652,0.1341728151499983,0.3868663403807605,900.0
moving,-0.15,1,2.488888888888889,2.7511237239521593,1.3381167332994317,0.6630816975633061,0.13113856784463718,0.4221862191645682,900.0
moving,0.0,0,2.481777777777778,2.4753917580339713,1.433400922984664,0.5901219089041845,0.13695897641997645,0.3589415231901739,900.0
moving,0.0,1,2.218,2.3490181895922326,1.4961272751543837,0.5360886594891097,0.13717865760666764,0.35519109420116635,900.0
moving,0.15,0,1.8617777777777778,2.763531030896817,1.3489815399347183,0.5463907654967801,0.13313687913573968,0.39062711607843226,900.0
moving,0.15,1,2.0155555555555553,2.0423961623288234,1.4033164049018896,0.5150355136670488,0.13763939595092664,0.37570231123468706,900.0
moving,0.3,0,1.790888888888889,2.799098814642229,1.3815461867957899,0.48573454839613317,0.12570474279430105,0.4441212121219255,900.0
moving,0.3,1,2.004888888888889,2.1513730824446875,1.4967215142159194,0.4869001707230896,0.12441100077881204,0.42911875588149917,900.0
static,-0.3,0,1.9824444444444445,2.5366586041099026,0.9936982596667958,0.6052601952845427,0.01735133420137616,0.9286301796384068,900.0
static,-0.3,1,1.9460000000000002,2.3364028130565484,0.790574811360018,0.6212506040541861,0.016475573616255998,0.9323249724814018,900.0
static,-0.15,0,1.7766666666666666,2.4735394353868374,1.093359877945686,0.5352219850221984,0.017648083258969546,0.9282418295612063,900.0
static,-0.15,1,2.082,2.375882145963261,1.0616418117461177,0.6067151650359988,0.01828646552572768,0.924132203437263,900.0
static,0.0,0,2.062222222222222,2.0962439166957525,1.2503221806054026,0.6110997124427102,0.01732475738676851,0.9287953981649432,900.0
static,0.0,1,1.5859999999999999,2.264547442695659,1.3515573673480754,0.5600009604924263,0.018376099885929125,0.924644721441326,900.0
static,0.15,0,1.8782222222222225,1.9696647273024077,1.3426821813514347,0.5165148685719574,0.017597043124069754,0.9273178471910495,900.0
static,0.15,1,1.5917777777777777,2.4890296845691977,1.5271031122792,0.4639938644821571,0.017779415661538275,0.9265279262787021,900.0
static,0.3,0,1.6573333333333333,1.8857395688366907,1.4066702236913264,0.37063553734562543,0.017392216475168098,0.9282595960571769,900.0
static,0.3,1,1.5611111111111111,1.8468995838314755,1.405735386294371,0.4456461028321616,0.016644993779523318,0.9315445963769065,900.0
