treatment,bias,replicate,generation,population,mean_d,std_d,mean_alpha,std_alpha,mean_beta,std_beta,mean_p_base,std_p_base,maladaptation,trait_variance,trait_env_corr
moving,-0.3,0,0,900,3.4844444444444442,1.6979668306609206,2.524038711136199,1.4292444023046926,1.0130594291434147,0.5895125733255375,0.25417099326984854,0.14097294616653394,0.20532603509186734,0.07756458223306309,-0.013048841115556794
moving,-0.3,0,20,900,2.7933333333333334,1.434325238183059,2.3820430860398916,1.4853362647012331,1.002806049359767,0.575254110700077,0.3503873994650226,0.13832073827028116,0.09271071794882213,0.08918433572471425,0.5763539235153134
moving,-0.3,0,40,900,2.602222222222222,1.2227453425957122,2.5631856373858417,1.4750538694227548,1.0269716649396643,0.5967901484037836,0.42145586485515435,0.14717737314097706,0.14010754244018064,0.09137109541658002,0.35723890187154794
moving,-0.3,0,60,900,2.6911111111111112,1.3132355669570437,2.8219361566048473,1.4229115977069255,1.053039404009888,0.6695892815694546,0.49733010334430017,0.16190613036275525,0.13080536940644227,0.08976318800868203,0.3974847049437498
moving,-0.3,0,80,900,2.687777777777778,1.2370509535699792,3.0075735059441535,1.3046887604114006,1.0800390083688052,0.7090977775619702,0.5692937417450843,0.1559121081889656,0.12192567898299925,0.08843052291023056,0.43646973588545795
moving,-0.3,0,100,900,2.5944444444444446,1.2836459455707585,3.0511151841357664,1.1106341171547534,1.0010065978541616,0.7012721721728848,0.6097608342947038,0.16667346002433156,0.1337805000949683,0.08282403882730217,0.36393277661501383
moving,-0.3,0,120,900,2.43,1.0363343518811334,3.049514638719421,1.2148683416322257,1.034607820157331,0.7114619831148186,0.6506972843826214,0.15981638701404371,0.13038956443531247,0.09399751761647074,0.40976954029361384
moving,-0.3,0,140,900,2.3333333333333335,0.8232726023485646,3.2334834948037594,1.253638830596352,1.1316007874626417,0.6872045283327926,0.6979671526471382,0.16317089695427997,0.14237033875092134,0.10005886942487857,0.37177148452774555
moving,-0.3,1,0,900,3.4566666666666666,1.7163624325881757,2.3862779478572675,1.438241105057986,1.0016243386614212,0.5873603658890917,0.24930107727388334,0.14294289042406794,0.1976807112612584,0.08298938774250265,0.05233651044431931
moving,-0.3,1,20,900,2.7933333333333334,1.448201950312486,2.4082958348134222,1.383499716347275,1.0413918840848784,0.5612529653934337,0.3569294923095343,0.14067501945478597,0.09292266861568534,0.08844038365210873,0.573464825119989
moving,-0.3,1,40,900,2.4988888888888887,1.1571031303738604,2.329906487018018,1.3095171479477874,0.920404213888181,0.5626239676616264,0.44199398361407494,0.14800310808711178,0.13526518967441425,0.09327378172438726,0.38446809089202716
moving,-0.3,1,60,900,2.6455555555555557,1.0455897975264288,2.0255943216376986,1.1675218147514101,0.8920838090918675,0.5215315790536261,0.5497992598615836,0.17079850937294278,0.13498994560961014,0.10450286417036472,0.4138587841695769
moving,-0.3,1,80,900,2.8666666666666667,1.0154364141151877,1.7864010576077205,1.108962252901492,0.8316837700945177,0.4615712058630973,0.6694543681404613,0.19471721045276888,0.15039859748679718,0.11471738453594901,0.3729825842987418
moving,-0.3,1,100,900,2.9033333333333333,0.9641288526148589,1.7709681191125584,1.018108649563501,0.7808300684728386,0.4005411836288671,0.7564843512896163,0.1817922331891405,0.1428702510627397,0.11047995679267085,0.3941623055128655
