treatment,bias,replicate,generation,population,mean_d,std_d,mean_alpha,std_alpha,mean_beta,std_beta,mean_p_base,std_p_base,maladaptation,trait_variance,trait_env_corr
static,-0.3,0,0,900,3.468888888888889,1.6673761452883218,2.541872160485704,1.4539389853560833,0.9722716106546823,0.572768914787236,0.25024438934389215,0.14099122344750184,0.20839389644163267,0.07736482195214639,-0.030559796703878536
static,-0.3,0,20,900,2.901111111111111,1.4507465085599087,2.5049687623416657,1.5430660286800058,1.0417632313803504,0.5837313003887725,0.35271332998383453,0.13969451986025122,0.049646045893503715,0.0973809773852413,0.7828970858876528
static,-0.3,0,40,900,2.4922222222222223,1.1425826279654332,2.637937537137179,1.6027622492322515,1.0341401554002674,0.628071534777909,0.42436943753479567,0.14110244664465477,0.026749068904718037,0.10561367392590998,0.8876193490841153
static,-0.3,0,60,900,2.2488888888888887,1.030775807550846,2.625886917619378,1.6321854253825074,1.0113358232373268,0.6429085436778205,0.48263883270051,0.15032464026887968,0.01898293535423383,0.10954625741007802,0.9211023101148829
static,-0.3,0,80,900,2.1255555555555556,0.9409287505333477,2.6186091264266604,1.6392266760929224,0.9627562745850413,0.6371805178937444,0.5441174365311601,0.17433163159466245,0.017860686604056698,0.11350911653657489,0.9269790787021679
static,-0.3,0,100,900,2.0011111111111113,0.850489329013264,2.5543254839058296,1.6353773972547954,1.00125111893111,0.6306007754859227,0.608806046277918,0.1588049143201006,0.017008004401622534,0.10794248767262972,0.9306101348503104
static,-0.3,0,120,900,1.8166666666666667,0.7547994582816169,2.4511007251113135,1.667238535049034,1.014177650127603,0.6026009558087339,0.6751062611486951,0.16636659264893636,0.017190072537881445,0.11257343357057709,0.9290915183671298
static,-0.3,0,140,900,1.72,0.6744874597302262,2.433370767486331,1.731498627911107,0.978970431452898,0.6010686917073003,0.7156323997644299,0.1611052595332432,0.01571497210908629,0.10784032040114293,0.9353678561575428
static,-0.3,1,0,900,3.4722222222222223,1.6879657564837411,2.5276146959701165,1.4542825058499038,0.997638279902413,0.5890152527275853,0.24562025713312632,0.1466769276387149,0.2020729108155279,0.07858553082854074,0.00763655987522642
static,-0.3,1,20,900,2.6,1.4,2.5944084782868737,1.460374193790046,0.9564037374431222,0.5926415521562338,0.3491785426577702,0.1485854958172317,0.047986658353285326,0.08863938268308817,0.7878351002961655
static,-0.3,1,40,900,2.2511111111111113,1.1231151563045472,2.418123887036795,1.5533459825594378,0.8473282652654871,0.5740923254563622,0.4432986375580042,0.16018209450025053,0.02452732659431513,0.10080150049186865,0.896684594542495
static,-0.3,1,60,900,2.1244444444444444,0.9440234355743401,2.44429601812044,1.5797015475948593,0.8551572044015446,0.5786871616395881,0.5099894208243098,0.15339871821841725,0.01931919538937409,0.10621333571637424,0.9195770363296086
static,-0.3,1,80,900,2.057777777777778,0.8386467641753161,2.346694297253577,1.5957832454970649,0.8037215250602848,0.5641654089700698,0.5648759310757082,0.16186552925029116,0.017523008834723793,0.1120060070174973,0.9275506509153861
static,-0.3,1,100,900,1.9244444444444444,0.7504533609183054,2.303006975300661,1.5527585243660522,0.7868793893779533,0.5603065321765569,0.6206688570766757,0.17057150343428407,0.0156430927356122,0.11672624509245946,0.9359713618386273
static,-0.3,1,120,900,1.8288888888888888,0.6973353161929177,2.283737315155621,1.5885050631284878,0.7723014872819333,0.5482183980168588,0.6820804375339587,0.1803728433934318,0.015060617676914259,0.11948178527231258,0.9388760532616441
static,-0.3,1,140,900,1.7944444444444445,0.6691389344375702,2.3042794594524425,1.5998067168380632,0.7348144506783737,0.5399137170686994,0.7286383737602781,0.1792345062161359,0.014831953444655642,0.11995531660036565,0.9396497600617427
static,-0.3,2,0,900,3.602222222222222,1.6910205845240178,2.516603558864012,1.465478342708714,1.018272515024444,0.5773666500012122,0.24874677513548293,0.14276679621492785,0.21530886811585567,0.08274262892958939,-0.0366280101479383
