treatment,bias,mean_d_mean,mean_d_std,mean_alpha_mean,mean_alpha_std,mean_beta_mean,mean_beta_std,mean_p_base_mean,mean_p_base_std,maladaptation_mean,maladaptation_std,trait_env_corr_mean,trait_env_corr_std
moving,-0.3,2.6914444444444445,0.2038038878219893,2.432800580001425,0.8484206798773352,0.9347585681432322,0.17720117917279138,0.6573648630368496,0.07404120727880231,0.1352449499229761,0.004795116775938344,0.40809815552551243,0.017271093132360044
moving,-0.15,2.558777777777778,0.09883781452585298,2.7485072515986477,0.003700250687910498,1.2560156071318223,0.11610852611233782,0.6584911105893356,0.00649207035784234,0.13265569149731773,0.0021455368454178533,0.40452627977266437,0.024974925798717303
moving,0.0,2.3498888888888887,0.1865190553929848,2.412204973813102,0.08935960720789583,1.4647640990695239,0.04435422897830429,0.5631052841966471,0.03820727707094346,0.13706881701332205,0.00015533805680844812,0.35706630869567013,0.0026519537704858607
moving,0.15,1.9386666666666665,0.10873730946246449,2.40296359661282,0.509919355714498,1.3761489724183038,0.0384205514731423,0.5307131395819145,0.022171511194614912,0.13538813754333318,0.0031837601724251452,0.3831647136565597,0.01055343071289808
moving,0.3,1.897888888888889,0.15132085117392116,2.4752359485434585,0.4580112575859035,1.4391338505058546,0.08144125504415446,0.4863173595596114,0.0008242194516933216,0.12505787178655653,0.0009148137522582229,0.4366199840017123,0.010608338542059885
static,-0.3,1.9642222222222223,0.02577011380324295,2.4365307085832253,0.14160222782570298,0.8921365355134069,0.1436299677157178,0.6132553996693644,0.011306926474959698,0.01691345390881608,0.0006192562484343653,0.9304775760599042,0.0026126130743613332
static,-0.15,1.9293333333333331,0.21590327052229252,2.424710790675049,0.06905413158370828,1.0775008448459018,0.022428059695838488,0.5709685750290986,0.05055331239634877,0.01796727439234861,0.0004514044298139164,0.9261870164992346,0.0029059445003816785
static,0.0,1.824111111111111,0.3367399626850604,2.180395679695706,0.11900856453214037,1.300939773976739,0.07158408704043044,0.5855503364675683,0.03613227401421507,0.017850428636348815,0.0007434114105060849,0.9267200598031347,0.0029349716577828735
static,0.15,1.735,0.20254680909988015,2.229347205935803,0.3672464831940086,1.4348926468153174,0.13040529085175875,0.49025436652705723,0.03713795814662414,0.017688229392804015,0.00012895685794618903,0.9269228867348758,0.0005585584337219246
static,0.3,1.6092222222222223,0.06803938583417231,1.866319576334083,0.027464016778371438,1.4062028049928488,0.0006610298626941253,0.4081408200888935,0.053040479516167326,0.01701860512734571,0.000528366235146917,0.9299020962170417,0.0023228460022807476
