A,sigma_e,rho,replicate,population,active,bank,mean_d,mean_h,maladaptation
0.0,0.0,0.0,0,2593.3333333333335,593.3333333333334,2000.0,3.566018337793494,0.7218299792707691,0.008156638388634051
0.0,0.0,0.0,1,2596.8333333333335,596.8333333333334,2000.0,3.3821179613522823,0.7598040041625662,0.007374199959042448
0.0,0.0,0.8,0,2594.1666666666665,594.1666666666666,2000.0,4.057043302476393,0.7899855907567606,0.007943919740376934
0.0,0.0,0.8,1,2592.8333333333335,592.8333333333334,2000.0,3.3102937648957127,0.7454240081834526,0.007177722037735908
0.0,0.4,0.0,0,2506.6666666666665,564.5,1942.1666666666667,3.102104948179885,0.43152358072743735,0.15831314930054063
0.0,0.4,0.0,1,2521.3333333333335,564.5,1956.8333333333333,3.570597029829006,0.44980975208997154,0.15484682709516992
0.0,0.4,0.8,0,2550.6666666666665,557.6666666666666,1993.0,2.7286244069350736,0.4779875776570504,0.13581689837809788
0.0,0.4,0.8,1,2546.8333333333335,562.0,1984.8333333333333,3.0289662800470047,0.5006397192275706,0.12485963119298733
0.0,0.8,0.0,0,2512.6666666666665,551.5,1961.1666666666667,3.1177361551877074,0.4198030104256258,0.3244491188382575
0.0,0.8,0.0,1,2494.5,547.8333333333334,1946.6666666666667,3.0347638618039823,0.41304628591829856,0.3176972350639429
0.0,0.8,0.8,0,2545.6666666666665,568.8333333333334,1976.8333333333333,3.7682222596695554,0.491052706246036,0.24419089357641136
0.0,0.8,0.8,1,2516.1666666666665,566.1666666666666,1950.0,3.2684850558553147,0.43595075980288955,0.2440798386853038
0.75,0.0,0.0,0,2581.8333333333335,583.6666666666666,1998.1666666666667,4.250274526413111,0.5614553658353795,0.10538064204705405
0.75,0.0,0.0,1,2576.3333333333335,586.5,1989.8333333333333,3.8317145155342693,0.48323633062934945,0.09899469049838376
0.75,0.0,0.8,0,2542.5,589.3333333333334,1953.1666666666667,3.830140859463885,0.43598945861649613,0.12105645396403815
0.75,0.0,0.8,1,2573.0,590.3333333333334,1982.6666666666667,4.608829129828021,0.47149767119940106,0.11647299999267936
0.75,0.4,0.0,0,2569.8333333333335,583.8333333333334,1986.0,3.113148076758341,0.49717575899939037,0.1591821845788379
0.75,0.4,0.0,1,2567.0,581.1666666666666,1985.8333333333333,3.1007665878282515,0.45406546337094156,0.14536788101001316
0.75,0.4,0.8,0,2522.1666666666665,586.1666666666666,1936.0,3.743291497736162,0.4257911425015161,0.15360814549309823
0.75,0.4,0.8,1,2550.0,581.5,1968.5,3.6471613825742466,0.47249924522875036,0.14357926934624402
0.75,0.8,0.0,0,2540.1666666666665,573.5,1966.6666666666667,3.529658183716491,0.4447044739551702,0.2888138743004315
0.75,0.8,0.0,1,2556.5,571.6666666666666,1984.8333333333333,3.518573687143567,0.4724459287553528,0.26692976537486857
0.75,0.8,0.8,0,2546.8333333333335,577.5,1969.3333333333333,2.9828235496974926,0.4340926082730618,0.21079563831297907
0.75,0.8,0.8,1,2557.6666666666665,576.3333333333334,1981.3333333333333,3.3927243603029393,0.49857568455304685,0.19893189785272006
1.5,0.0,0.0,0,2568.6666666666665,590.6666666666666,1978.0,4.585371663116651,0.49226801290901673,0.1269351411419769
1.5,0.0,0.0,1,2540.6666666666665,590.3333333333334,1950.3333333333333,3.6482291492204317,0.4508878137961148,0.12119399158694562
1.5,0.0,0.8,0,2568.6666666666665,588.6666666666666,1980.0,3.6009319410327,0.518101524427982,0.11883496520116799
1.5,0.0,0.8,1,2580.1666666666665,593.1666666666666,1987.0,4.1325904614183075,0.49636390490707366,0.12352878730327356
1.5,0.4,0.0,0,2463.3333333333335,587.1666666666666,1876.1666666666667,3.785910104492292,0.41296512081259745,0.1497452835391441
1.5,0.4,0.0,1,2585.5,590.6666666666666,1994.8333333333333,3.9169950492866854,0.5228827218608041,0.13492441091585486
1.5,0.4,0.8,0,2554.1666666666665,586.0,1968.1666666666667,3.607557807921456,0.4262672684649953,0.13112265336268458
1.5,0.4,0.8,1,2550.3333333333335,590.3333333333334,1960.0,4.113256613468681,0.47429801441661495,0.14640955075991532
1.5,0.8,0.0,0,2578.3333333333335,583.3333333333334,1995.0,3.5486343674067435,0.5552922871231739,0.19811611466789625
1.5,0.8,0.0,1,2571.6666666666665,587.1666666666666,1984.5,4.411207065815141,0.4802715818252457,0.24465065489399726
1.5,0.8,0.8,0,2567.0,583.5,1983.5,3.391018250425496,0.483312916119686,0.18019419785686774
1.5,0.8,0.8,1,2570.1666666666665,585.6666666666666,1984.5,3.6083768471207485,0.4521991396866086,0.15785661458535813
