A,sigma_e,rho,cue_noise,replicate,population,active,bank,mean_d,mean_h0,mean_hb,mean_h_eff,corr_h_cue,maladaptation
0.0,0.0,0.0,0.0,0,2590.5,590.5,2000.0,3.0651514845360706,0.73113955128363,0.40193326295671783,0.73463724403781,0.022870603464782882,0.00891348894599217
0.0,0.0,0.0,0.0,1,2593.6666666666665,593.6666666666666,2000.0,2.7908446570645524,0.7032025949135293,0.42442533415836325,0.7065917839912018,0.0602500658623823,0.008526703771867055
0.0,0.0,0.0,0.0,2,2593.6666666666665,593.6666666666666,2000.0,3.53016990179866,0.741333047798765,0.4604871454492338,0.7446220602074001,0.08372348517680656,0.007679021336618696
0.0,0.0,0.0,0.3,0,2595.5,595.5,2000.0,3.918271020681083,0.7135976675441175,0.5103082068176662,0.7173562631756673,0.039310778075524085,0.008097146784797197
0.0,0.0,0.0,0.3,1,2590.0,590.0,2000.0,3.514241427612196,0.6529275455156025,0.6314756420317805,0.6581606010461231,0.07215611218361052,0.008525623688185328
0.0,0.0,0.0,0.3,2,2593.0,593.0,2000.0,3.6463054266138095,0.7164848629159124,0.44226548336206023,0.7200705330270178,0.07772204572307276,0.008136757455832424
0.0,0.0,0.8,0.0,0,2592.6666666666665,592.6666666666666,2000.0,3.457865654674795,0.712555189674917,0.6313337164015512,0.7174534642146266,0.050233571154372735,0.007804550748030278
0.0,0.0,0.8,0.0,1,2590.3333333333335,590.3333333333334,2000.0,2.8712524419759657,0.7213310901678188,0.6073081303554289,0.7261250200301337,0.07191747614221936,0.008028662038632268
0.0,0.0,0.8,0.0,2,2597.1666666666665,597.1666666666666,2000.0,4.404330953172512,0.732194793102003,0.5926802201011155,0.7365599057699539,0.07425301418118421,0.007492163048718377
0.0,0.0,0.8,0.3,0,2594.0,594.0,2000.0,3.1673684385892167,0.6920547762388091,0.5568796717049005,0.6963033341501382,0.05056569713636111,0.0079119721334455
0.0,0.0,0.8,0.3,1,2592.6666666666665,592.6666666666666,2000.0,3.437374036896346,0.6962599099821672,0.4164937420238721,0.6995657473184211,0.04744250199231919,0.007979212809956232
0.0,0.0,0.8,0.3,2,2592.0,592.0,2000.0,3.2109927864013823,0.6603598501294884,0.4266374102937494,0.6636474891971929,0.04891858504147293,0.008094047213526637
0.0,0.4,0.0,0.0,0,2541.8333333333335,566.5,1975.3333333333333,3.1678693252227976,0.3680679657113735,0.5307138155935148,0.44279197846130147,0.31985323112234404,0.14536382767364445
0.0,0.4,0.0,0.0,1,2478.8333333333335,567.6666666666666,1911.1666666666667,3.379714851649151,0.3454834126913373,0.43908012886154585,0.41224365124165935,0.3295645046022376,0.1562540807959907
0.0,0.4,0.0,0.0,2,2532.8333333333335,550.1666666666666,1982.6666666666667,2.6770866264794293,0.3754940171095127,0.6822582113654273,0.48954845768368466,0.42780632464606777,0.17045897392655726
0.0,0.4,0.0,0.3,0,2523.0,576.1666666666666,1946.8333333333333,4.046935097085421,0.3472185590509313,0.350282681913933,0.3981281597670349,0.30801250384617435,0.1579056800504061
