A,sigma_e,rho,cue_noise,replicate,generation,population,active,bank,mean_z,std_z,mean_d,mean_h0,mean_hb,mean_h_eff,corr_h_cue,maladaptation
0.0,0.0,0.0,0.0,0,0,300,300,0,0.4852087818101866,0.27278909726347306,2.94,0.5037934074464694,0.5280413986590825,0.5431981259055777,0.1872571726640571,0.07463267172135923
0.0,0.0,0.0,0.0,0,10,2350,596,1754,0.5178603393374389,0.10537051700175931,3.640939597315436,0.35575094792334144,0.46473042113725166,0.36105156963922225,0.11963382159901281,0.011421937574466516
0.0,0.0,0.0,0.0,0,20,2587,592,1995,0.514433712947314,0.09351439449970081,3.6841216216216215,0.4916601287793,0.4607733687203865,0.49566205825030085,0.11829708384365531,0.008953274048091136
0.0,0.0,0.0,0.0,0,30,2598,598,2000,0.5019334195425026,0.09558592658279319,3.4648829431438126,0.6107993300878285,0.43946704643179235,0.6149821129274263,0.09166320586168197,0.009140407471818459
0.0,0.0,0.0,0.0,0,40,2600,600,2000,0.5018208263823041,0.09114485845716176,3.495,0.6448796099576389,0.44125064690663796,0.6484326928147106,0.08038244241324523,0.008310700631890548
0.0,0.0,0.0,0.0,0,50,2594,594,2000,0.5006827774685563,0.09218809129628669,3.3434343434343434,0.689179443783426,0.4154295362794478,0.6925935259642093,0.053377177960666364,0.008499110361924059
0.0,0.0,0.0,0.0,0,60,2588,588,2000,0.5052663212145894,0.09649569459804559,3.243197278911565,0.7050981991050743,0.4142645152472289,0.7090565001649881,0.017433311274825603,0.009339153215094521
0.0,0.0,0.0,0.0,0,70,2593,593,2000,0.5036831125313936,0.09531859789452621,3.1129848229342327,0.7357277034025298,0.4165215762664872,0.7396319093784673,-0.00859948443601222,0.009099200422497285
0.0,0.0,0.0,0.0,0,80,2589,589,2000,0.5229784336803082,0.09144796563440663,2.9762308998302207,0.7449165304784349,0.40005995521412097,0.7481300481907178,0.035624637764451746,0.008890738833071938
0.0,0.0,0.0,0.0,0,90,2582,582,2000,0.5114224499148793,0.09446621912574717,2.9261168384879723,0.7553666027834525,0.3796851506414779,0.7586596014987756,0.024810845179761284,0.009054338917971607
0.0,0.0,0.0,0.0,0,100,2597,597,2000,0.49730537264490926,0.09268835368486598,2.7889447236180906,0.7565488281488619,0.3856388440915443,0.7597518790297021,0.014577133045004518,0.008598391925393615
0.0,0.0,0.0,0.0,1,0,300,300,0,0.508076190587352,0.29818727517974963,2.95,0.4747569892437152,0.5034040398288994,0.5177378051963896,0.07379246319366377,0.08898087593352698
0.0,0.0,0.0,0.0,1,10,2046,593,1453,0.5037640142266296,0.09003675482167336,3.763912310286678,0.28520800118583045,0.45082744809617437,0.2889096329415758,0.042726694351206455,0.00812078502191639
0.0,0.0,0.0,0.0,1,20,2528,599,1929,0.5089949417221931,0.09375420055875548,3.385642737896494,0.4441307059386055,0.42799040859789633,0.44758727874715637,0.17616794573710784,0.008870759098996999
0.0,0.0,0.0,0.0,1,30,2596,596,2000,0.5094162092148089,0.0965073588376963,2.9832214765100673,0.5678285051839289,0.4022816491443535,0.5715574770255644,0.08236515449276141,0.009402335305804931
0.0,0.0,0.0,0.0,1,40,2594,594,2000,0.5022823687308073,0.09746328657793693,2.978114478114478,0.6359274391390773,0.40886870865791286,0.6393037247703385,0.05883352948937218,0.009504301437596428
0.0,0.0,0.0,0.0,1,50,2584,584,2000,0.4927964426787284,0.09208917372128013,2.8972602739726026,0.6675344138427156,0.4057937804930304,0.6708993844353018,0.09819223992166108,0.008532307154748956
0.0,0.0,0.0,0.0,1,60,2594,594,2000,0.4938447957541373,0.0956216132744441,2.8367003367003365,0.6890398864419811,0.409814899269873,0.6927885096398941,0.04829457459576433,0.00918137946451563
0.0,0.0,0.0,0.0,1,70,2595,595,2000,0.501295739909834,0.0851754958268436,2.7512605042016807,0.7026667294111707,0.4115330901210048,0.7055090951724436,0.058371674100341935,0.00725654403126259
0.0,0.0,0.0,0.0,1,80,2599,599,2000,0.5016804804674736,0.09269483489031596,2.686143572621035,0.7192665220955065,0.43811368379927296,0.7227049090190072,0.0978930780825959,0.008595156429944496
0.0,0.0,0.0,0.0,1,90,2597,597,2000,0.5004719656163168,0.08748178128728404,2.698492462311558,0.7299823278437695,0.4537339644131366,0.7332088121505461,0.033711219183012,0.007653284808739185
0.0,0.0,0.0,0.0,1,100,2593,593,2000,0.5199171143229193,0.09769779577369811,2.875210792580101,0.7107256898460325,0.42756258685386167,0.7144399935300185,0.025037609290918604,0.009941550741991465
0.0,0.0,0.0,0.0,2,0,300,300,0,0.5384981969876418,0.2655040660673831,3.066666666666667,0.509613987825892,0.5011476330929886,0.5449094185148392,0.13608775513313962,0.07197452026961258
0.0,0.0,0.0,0.0,2,10,2017,591,1426,0.5139486154723941,0.09751089950800305,3.736040609137056,0.28195891546595037,0.48068622990219284,0.28644966220784734,0.31949468196443326,0.009702939396456582
0.0,0.0,0.0,0.0,2,20,2582,597,1985,0.4981523310275593,0.0965734065644338,3.4623115577889445,0.505248420472508,0.46083797804073157,0.5094751806536467,0.10743778388037219,0.009329836736091146
0.0,0.0,0.0,0.0,2,30,2595,595,2000,0.4884871919952347,0.09310445900548975,3.480672268907563,0.6203352436726783,0.41906969412841755,0.6239257567480934,0.09550586525721026,0.008800985034859505
0.0,0.0,0.0,0.0,2,40,2597,597,2000,0.49078930640831875,0.08858288814814087,3.505862646566164,0.6851818810138351,0.436236591973465,0.6885787883184078,0.07605077256550355,0.007931764949105873
0.0,0.0,0.0,0.0,2,50,2590,590,2000,0.5057276134487434,0.08679878337464376,3.483050847457627,0.7051530446646008,0.44340008003939696,0.7085671233682583,0.05725656894663877,0.007566834351136561
0.0,0.0,0.0,0.0,2,60,2599,599,2000,0.498575456178497,0.08970675005661115,3.5375626043405677,0.7178755654500519,0.43361401854013354,0.7213818607265111,0.08380825110902261,0.008049330330818689
0.0,0.0,0.0,0.0,2,70,2595,595,2000,0.49807782128484557,0.08693118325889147,3.578151260504202,0.7409502490827501,0.4368605907707091,0.7438017484825976,0.10492885870250473,0.007560725393803965
0.0,0.0,0.0,0.0,2,80,2590,590,2000,0.5004569652846785,0.08863908866907334,3.5271186440677966,0.7539629764425649,0.4621717342257096,0.7574602522121403,0.07411939139885654,0.00785709685735525
0.0,0.0,0.0,0.0,2,90,2600,600,2000,0.49656860614567755,0.08956237589035744,3.5483333333333333,0.7587450095177212,0.49254709223607385,0.7622860754485394,0.08200268653737644,0.008033193638909161
