=== M13c — Fast PRF-009 verification ===

Fit quality:
K_eff    noise    MSE        max|diff| 
0.50     0.00     0.00001    0.00585   
0.50     0.05     0.00002    0.01232   
0.50     0.10     0.00006    0.01512   
1.00     0.00     0.00000    0.00214   
1.00     0.05     0.00040    0.06278   
1.00     0.10     0.00110    0.10466   
1.50     0.00     0.00000    0.00186   
1.50     0.05     0.00000    0.00292   
1.50     0.10     0.00000    0.00473   

Saved _artifacts/m13c_prf009_verification.png + .json
