r,epsilon,order,entropy,sensitivity,domain_wall_density,largest_cluster_fraction,cluster_count,autocorrelation_length,motif_lifetime_proxy,structure_score
3.84,0.65,0.648566721795288,0.7956331763668618,242928654.48039812,0.20644444444444446,0.187,7.432,2.036,0.0,22475372.66359118
3.84,0.675,0.6495271881379534,0.7625673799542919,229865813.16883278,0.1428888888888889,0.30588888888888893,5.144,2.66,0.0,19379805.258279514
3.84,0.7000000000000001,0.6492319461887346,0.7996068971354737,235469531.52116638,0.20833333333333337,0.14388888888888893,7.5,2.072,0.0,21804822.76128745
3.84,0.7250000000000001,0.6472489417412738,0.7630941981713188,223550905.8676476,0.12155555555555554,0.3501666666666666,4.376,3.164,0.0,18787901.11218974
3.84,0.75,0.6509225167287099,0.7674925673521372,228174634.88887876,0.15366666666666665,0.26994444444444443,5.532,2.54,0.0,19545679.06523922
3.84,0.775,0.6462686822981966,0.7709905236862471,254419743.70608822,0.12300000000000001,0.3377222222222222,4.428,3.144,0.0,21532050.315087542
3.84,0.8,0.6512170348966949,0.764527448028734,260353572.2889932,0.14344444444444443,0.2898888888888889,5.164,2.772,0.0,22251454.917450316
3.84,0.8250000000000001,0.6542693793587125,0.7473358748425144,233954562.31070262,0.11122222222222222,0.3660555555555555,4.004,3.308,0.0,19539828.329227827
3.84,0.8500000000000001,0.6498649912330083,0.767947666077818,237962556.92339134,0.12477777777777778,0.3239444444444445,4.492,3.196,0.0,20371952.436128713
3.84,0.875,0.6424109761832494,0.8345366796133062,227000139.42109784,0.1828888888888889,0.2026666666666667,6.584,2.208,0.0,20976849.230500624
3.84,0.9,0.6458414057352024,0.7802944342402648,249876368.15176898,0.152,0.3365,5.472,3.288,0.0,22721312.245539382
3.85,0.65,0.6493126996114492,0.763063455611381,254329858.37747642,0.15333333333333335,0.28894444444444445,5.52,2.476,0.0,21521097.402010966
3.85,0.675,0.6498528490968615,0.7698508208581759,251047718.45739266,0.154,0.2861666666666667,5.544,2.468,0.0,21470491.011692062
3.85,0.7000000000000001,0.6423953224846286,0.7752434466717767,236892193.1384685,0.1282222222222222,0.3249444444444444,4.616,2.976,0.0,19836891.51080813
3.85,0.7250000000000001,0.6436499394692113,0.7756137244207282,244949228.73217207,0.14133333333333334,0.29144444444444445,5.088,2.756,0.0,20667729.311879165
3.85,0.75,0.6518079659227137,0.7586187725537673,241093887.29870075,0.12988888888888891,0.33205555555555555,4.676,2.94,0.0,20350192.043458913
3.85,0.775,0.6473334935738277,0.7762060797552142,240330247.84846216,0.12922222222222224,0.3293888888888889,4.652,3.048,0.0,20605394.36047044
3.85,0.8,0.64992877752463,0.767394933953403,230492693.64335698,0.13877777777777778,0.3205,4.996,2.848,0.0,19726949.67546508
3.85,0.8250000000000001,0.6344950702635711,0.8552038831741697,226745731.7246647,0.2222222222222223,0.09772222222222224,8.0,2.0,0.0,21569754.683269527
3.85,0.8500000000000001,0.6472166067931414,0.7696476247709356,255917549.59815937,0.13755555555555554,0.3276111111111111,4.952,2.996,0.0,21983602.388518568
3.85,0.875,0.6469558414990825,0.7918137305770736,218693981.3654209,0.15755555555555553,0.2661666666666666,5.672,2.652,0.0,19374978.50125906
3.85,0.9,0.6441865223134043,0.7888994957405389,238723397.1139797,0.17688888888888887,0.3027222222222223,6.368,3.148,0.0,22591450.576422706
3.86,0.65,0.6443409911913826,0.8055654350577334,234327152.26083753,0.19766666666666668,0.20972222222222223,7.116,2.288,0.0,21807079.91128402
3.86,0.675,0.6451482907003059,0.7674098364795297,240531770.7132569,0.13755555555555554,0.3083888888888889,4.952,2.816,0.0,20172581.300694738
3.86,0.7000000000000001,0.6484593257017943,0.7849222669175012,237327008.1549491,0.21011111111111114,0.15394444444444447,7.564,2.0,0.0,21551416.648106933
3.86,0.7250000000000001,0.6415618212894899,0.7725532172469798,254076878.99978384,0.12644444444444444,0.3408888888888889,4.552,3.124,0.0,21331646.66604295
3.86,0.75,0.6409604121849659,0.7742310634036749,239264597.77876598,0.12322222222222223,0.3263333333333333,4.436,3.1,0.0,19919951.184569117
3.86,0.775,0.6472302599941177,0.7593963263728927,240185271.25899604,0.12011111111111111,0.3487777777777778,4.324,3.148,0.0,20015316.76992029
3.86,0.8,0.6412863894534492,0.7847986558322545,248997507.23737508,0.12733333333333333,0.33061111111111113,4.584,3.056,0.0,21127588.964820098
3.86,0.8250000000000001,0.6464098629419084,0.7728273307924183,241771281.88304782,0.12955555555555553,0.32616666666666666,4.664,3.044,0.0,20579054.626467925
3.86,0.8500000000000001,0.6412370574482411,0.7751044361794927,242583699.90893027,0.11988888888888889,0.35455555555555557,4.316,3.28,0.0,20431651.033381652
3.86,0.875,0.6466363238700219,0.7721570820586253,241337466.37653494,0.12655555555555556,0.3377222222222222,4.556,3.304,0.0,20817488.741644327
3.86,0.9,0.6385853776811142,0.7986279080824481,248061305.51825798,0.1791111111111111,0.2701111111111111,6.448,2.928,0.0,22938813.24295066
3.87,0.65,0.6420287769280667,0.791974620895352,248481420.05733347,0.1768888888888889,0.2556666666666667,6.368,2.24,0.0,21818162.292486276
3.87,0.675,0.6390093378946943,0.7828822668792091,239435165.93372667,0.14022222222222222,0.31227777777777777,5.048,2.796,0.0,20162538.234870933
3.87,0.7000000000000001,0.6401237426476964,0.776458434211779,233698120.09489727,0.14988888888888885,0.283,5.396,2.604,0.0,19585333.18336937
3.87,0.7250000000000001,0.6408346185883522,0.7886371907548573,254875456.0378376,0.1318888888888889,0.3238333333333333,4.748,3.028,0.0,21808860.769399494
