r,epsilon,order,entropy,sensitivity,domain_wall_density,largest_cluster_fraction,cluster_count,autocorrelation_length,motif_lifetime_proxy,structure_score,sensitivity_corrected,structure_score_corrected
3.84,0.65,0.648566721795288,0.7956331763668618,242928654.4803981,0.2064444444444444,0.187,7.432,2.036,0.0,22475372.66359118,0.9999965293688342,0.09251808811082794
3.84,0.675,0.6495271881379534,0.7625673799542919,229865813.1688328,0.1428888888888889,0.3058888888888889,5.144,2.66,0.0,19379805.258279517,0.9999965769174011,0.08430892202909379
3.84,0.7000000000000001,0.6492319461887346,0.7996068971354737,235469531.5211664,0.2083333333333333,0.1438888888888889,7.5,2.072,0.0,21804822.76128745,0.9999964926072888,0.09260113672605236
3.84,0.7250000000000001,0.6472489417412738,0.7630941981713188,223550905.8676476,0.1215555555555555,0.3501666666666666,4.376,3.164,0.0,18787901.11218974,0.9999965736908744,0.08404276719932402
3.84,0.75,0.6509225167287099,0.7674925673521372,228174634.8888788,0.1536666666666666,0.2699444444444444,5.532,2.54,0.0,19545679.06523922,0.9999965072036416,0.0856607519309992
3.84,0.775,0.6462686822981966,0.7709905236862471,254419743.70608824,0.123,0.3377222222222222,4.428,3.144,0.0,21532050.315087546,0.9999965110800024,0.08463169908842007
3.84,0.8,0.6512170348966949,0.764527448028734,260353572.2889932,0.1434444444444444,0.2898888888888889,5.164,2.772,0.0,22251454.91745032,0.9999966836986329,0.0854660104306956
3.84,0.8250000000000001,0.6542693793587125,0.7473358748425144,233954562.31070265,0.1112222222222222,0.3660555555555555,4.004,3.308,0.0,19539828.329227827,0.9999964268791007,0.08351945915510353
3.84,0.8500000000000001,0.6498649912330083,0.767947666077818,237962556.9233913,0.1247777777777777,0.3239444444444445,4.492,3.196,0.0,20371952.436128717,0.9999965393254022,0.08560961101955568
3.84,0.875,0.6424109761832494,0.8345366796133062,227000139.42109784,0.1828888888888889,0.2026666666666667,6.584,2.208,0.0,20976849.230500624,0.9999966616053275,0.09240866219287125
3.84,0.9,0.6458414057352024,0.7802944342402648,249876368.15176895,0.152,0.3365,5.472,3.288,0.0,22721312.245539386,0.9999965857159254,0.09092990600345405
3.85,0.65,0.6493126996114492,0.763063455611381,254329858.3774764,0.1533333333333333,0.2889444444444444,5.52,2.476,0.0,21521097.40201097,0.9999966312594744,0.08461855418908967
3.85,0.675,0.6498528490968615,0.7698508208581759,251047718.45739263,0.154,0.2861666666666667,5.544,2.468,0.0,21470491.011692066,0.99999662326688,0.08552325686727112
3.85,0.7000000000000001,0.6423953224846286,0.7752434466717767,236892193.1384685,0.1282222222222222,0.3249444444444444,4.616,2.976,0.0,19836891.51080813,0.9999964224692174,0.08373775547817683
3.85,0.7250000000000001,0.6436499394692113,0.7756137244207282,244949228.73217207,0.1413333333333333,0.2914444444444444,5.088,2.756,0.0,20667729.311879165,0.9999967647779002,0.08437529097012428
3.85,0.75,0.6518079659227137,0.7586187725537673,241093887.29870075,0.1298888888888889,0.3320555555555555,4.676,2.94,0.0,20350192.043458916,0.9999966023428516,0.0844074610455423
3.85,0.775,0.6473334935738277,0.7762060797552142,240330247.84846216,0.1292222222222222,0.3293888888888889,4.652,3.048,0.0,20605394.36047044,0.9999964038012181,0.08573752344469274
3.85,0.8,0.64992877752463,0.767394933953403,230492693.64335695,0.1387777777777777,0.3205,4.996,2.848,0.0,19726949.67546508,0.9999966037816248,0.08558571799659583
3.85,0.8250000000000001,0.6344950702635711,0.8552038831741697,226745731.7246647,0.2222222222222223,0.0977222222222222,8.0,2.0,0.0,21569754.683269527,0.9999967418622635,0.09512719045238612
3.85,0.8500000000000001,0.6472166067931414,0.7696476247709356,255917549.59815937,0.1375555555555555,0.3276111111111111,4.952,2.996,0.0,21983602.388518568,0.9999964875313738,0.08590081143838442
3.85,0.875,0.6469558414990825,0.7918137305770736,218693981.3654209,0.1575555555555555,0.2661666666666666,5.672,2.652,0.0,19374978.50125906,0.9999965392247154,0.088593711303094
3.85,0.9,0.6441865223134043,0.7888994957405389,238723397.1139797,0.1768888888888888,0.3027222222222223,6.368,3.148,0.0,22591450.576422703,0.999996736681422,0.09463411264433358
3.86,0.65,0.6443409911913826,0.8055654350577334,234327152.26083755,0.1976666666666666,0.2097222222222222,7.116,2.288,0.0,21807079.91128402,0.9999966064684891,0.09306222389455343
3.86,0.675,0.6451482907003059,0.7674098364795297,240531770.7132569,0.1375555555555555,0.3083888888888889,4.952,2.816,0.0,20172581.300694738,0.9999966026141087,0.08386631298989489
3.86,0.7000000000000001,0.6484593257017943,0.7849222669175012,237327008.1549491,0.2101111111111111,0.1539444444444444,7.564,2.0,0.0,21551416.648106933,0.9999965977411225,0.09080864201742096
3.86,0.7250000000000001,0.6415618212894899,0.7725532172469798,254076878.99978384,0.1264444444444444,0.3408888888888889,4.552,3.124,0.0,21331646.66604295,0.9999965189920574,0.08395715696125824
3.86,0.75,0.6409604121849659,0.7742310634036749,239264597.778766,0.1232222222222222,0.3263333333333333,4.436,3.1,0.0,19919951.18456912,0.9999964507482106,0.08325460878280659
3.86,0.775,0.6472302599941177,0.7593963263728927,240185271.25899604,0.1201111111111111,0.3487777777777778,4.324,3.148,0.0,20015316.76992029,0.9999964896856077,0.08333253077905418
3.86,0.8,0.6412863894534492,0.7847986558322545,248997507.23737508,0.1273333333333333,0.3306111111111111,4.584,3.056,0.0,21127588.964820094,0.9999968195574455,0.08485033446377326
3.86,0.8250000000000001,0.6464098629419084,0.7728273307924183,241771281.88304785,0.1295555555555555,0.3261666666666666,4.664,3.044,0.0,20579054.626467925,0.9999965912587334,0.08511757193623136
3.86,0.8500000000000001,0.6412370574482411,0.7751044361794927,242583699.90893027,0.1198888888888888,0.3545555555555555,4.316,3.28,0.0,20431651.03338165,0.9999966918521237,0.08422488176299155
3.86,0.875,0.6466363238700219,0.7721570820586253,241337466.3765349,0.1265555555555555,0.3377222222222222,4.556,3.304,0.0,20817488.741644327,0.999996360663237,0.0862585212828616
3.86,0.9,0.6385853776811142,0.7986279080824481,248061305.518258,0.1791111111111111,0.2701111111111111,6.448,2.928,0.0,22938813.24295066,0.9999966200665757,0.09247204300309833
3.87,0.65,0.6420287769280667,0.791974620895352,248481420.05733347,0.1768888888888889,0.2556666666666667,6.368,2.24,0.0,21818162.29248628,0.9999967612712214,0.08780572657843776
3.87,0.675,0.6390093378946943,0.7828822668792091,239435165.93372667,0.1402222222222222,0.3122777777777777,5.048,2.796,0.0,20162538.234870933,0.9999967367869523,0.08420848442034562
3.87,0.7000000000000001,0.6401237426476964,0.776458434211779,233698120.09489727,0.1498888888888888,0.283,5.396,2.604,0.0,19585333.18336937,0.9999965914636678,0.08380583642733919
3.87,0.7250000000000001,0.6408346185883522,0.7886371907548573,254875456.0378376,0.1318888888888889,0.3238333333333333,4.748,3.028,0.0,21808860.76939949,0.9999965324151898,0.08556643893591517
3.87,0.75,0.6483291939708817,0.7632402782219524,243611171.5150445,0.126,0.3386111111111111,4.536,3.036,0.0,20494080.818137404,0.9999965761752287,0.08412590655240208
3.87,0.775,0.640931213063857,0.7682167502450434,244090925.6596915,0.1163333333333333,0.3672777777777777,4.188,3.26,0.0,20238916.631228585,0.9999967315689555,0.08291521049800071
3.87,0.8,0.6413379258152094,0.7704901812130568,257833860.0672173,0.1106666666666666,0.3743333333333333,3.984,3.388,0.0,21470956.79889652,0.9999966984688704,0.08327411266412722
3.87,0.8250000000000001,0.6365650948333089,0.7864526493867464,247022189.36689773,0.1237777777777777,0.3379444444444444,4.456,3.148,0.0,20696217.410800066,0.9999967101815354,0.08378255158795571
3.87,0.8500000000000001,0.6424504134856381,0.7835598629472184,246597743.166928,0.1275555555555555,0.320111111111111,4.592,3.088,0.0,20995188.740281437,0.9999967016857256,0.0851391388336373
3.87,0.875,0.6380680882026397,0.8033174298529868,246528531.82234967,0.1531111111111111,0.2797777777777778,5.512,2.796,0.0,21622659.854178067,0.9999966875474651,0.08770825863565773
3.87,0.9,0.6395349297066325,0.8038302187263747,234938880.2901364,0.1865555555555555,0.2924444444444444,6.716,3.04,0.0,22556719.167051625,0.9999967112531002,0.09601069416801168
3.88,0.65,0.6360015865086927,0.7815887977442051,253823518.14521068,0.1438888888888889,0.3202777777777778,5.18,2.768,0.0,21245384.676889326,0.9999966341525226,0.0837011216431513
3.88,0.675,0.6354030169786127,0.7745535403698284,249029003.81762215,0.1246666666666666,0.3516111111111111,4.488,3.252,0.0,20669616.22589147,0.9999965533538782,0.08300055281984875
3.88,0.7000000000000001,0.6423004752672979,0.7718365005072461,243055083.74557257,0.1416666666666667,0.3139444444444444,5.1,2.744,0.0,20383039.61979907,0.9999967215263053,0.08386153657199999
3.88,0.7250000000000001,0.6323852555419567,0.7852652256133542,249605963.65914783,0.1208888888888888,0.3519444444444444,4.352,3.296,0.0,20710004.99384345,0.9999966402533984,0.08297051524680409
3.88,0.75,0.6411099492397961,0.770503351016539,245523770.41109535,0.1346666666666666,0.322611111111111,4.848,2.856,0.0,20403025.802745,0.9999967840248511,0.08309973471391033
3.88,0.775,0.6468831453096792,0.766149471325115,239941105.78052664,0.1337777777777777,0.3243888888888889,4.816,2.812,0.0,20103193.849738643,0.999996679757881,0.08378358946405774
3.88,0.8,0.6416201584029725,0.7737945662176802,250297063.1192777,0.1222222222222222,0.3486111111111111,4.4,3.1,0.0,20889923.17999123,0.9999967570651979,0.08346024989265409
3.88,0.8250000000000001,0.6372047965565503,0.8260382033525603,245614070.5605787,0.1655555555555555,0.2686111111111111,5.96,2.556,0.0,22194673.93313498,0.9999966365009042,0.09036371259477645
3.88,0.8500000000000001,0.6398326941393733,0.7844282755754058,250233580.2859702,0.141,0.3035,5.076,2.816,0.0,21202238.9623962,0.9999965628010309,0.08472949978117318
3.88,0.875,0.6421196053439706,0.7827415174929531,240862015.92124835,0.1366666666666666,0.316,4.92,3.008,0.0,20662129.30603197,0.9999965518527439,0.0857837960914647
3.88,0.9,0.6353665107942813,0.7895346864899084,264778719.8347856,0.1788888888888888,0.3507777777777777,6.44,3.476,0.0,25246746.371693816,0.9999967134578021,0.09535004706174917
3.89,0.65,0.6328147426501041,0.7766664819559838,247459431.3900727,0.1342222222222222,0.3229444444444445,4.832,2.952,0.0,20262164.06265103,0.999996797212014,0.08188048866602321
3.89,0.675,0.6395653689929884,0.7787794270833626,253323939.71756956,0.1326666666666666,0.3274444444444445,4.776,2.992,0.0,21303066.66155992,0.9999967272530715,0.08409389560956858
3.89,0.7000000000000001,0.6379282953594204,0.7768271119756306,250584568.73617244,0.1342222222222222,0.3260555555555555,4.832,2.884,0.0,20806176.419376872,0.9999967529950046,0.08303028780484796
3.89,0.7250000000000001,0.6316824073055518,0.7836984413789942,256146859.87594533,0.1265555555555555,0.3409444444444444,4.556,3.212,0.0,21212409.16813617,0.9999967148739055,0.0828131935444012
3.89,0.75,0.6396208883368671,0.7803425487038415,257691174.75152257,0.1479999999999999,0.3151666666666667,5.328,2.628,0.0,21740626.718577888,0.9999967463159052,0.08436670756152105
3.89,0.775,0.6375909858350358,0.7760181103070393,259043965.1742717,0.1276666666666666,0.3440555555555555,4.596,3.1,0.0,21578383.54883053,0.9999966488555616,0.08329980288108124
