r,epsilon,order,entropy,sensitivity,domain_wall_density,largest_cluster_fraction,cluster_count,autocorrelation_length,motif_lifetime_proxy,structure_score,ftle_proxy,sensitivity_renormalized,structure_score_renormalized
3.84,0.65,0.648566721795288,0.7956331763668618,242928654.4803981,0.2064444444444444,0.187,7.432,2.036,0.0,22475372.66359118,0.2999373114268085,0.574427191997383,0.05314509000947506
3.84,0.675,0.6495271881379534,0.7625673799542919,229865813.1688328,0.1428888888888889,0.3058888888888889,5.144,2.66,0.0,19379805.258279517,0.2959498424361154,0.5734521248783044,0.048347295980570706
3.84,0.7000000000000001,0.6492319461887346,0.7996068971354737,235469531.5211664,0.2083333333333333,0.1438888888888889,7.5,2.072,0.0,21804822.76128745,0.2838198129120571,0.5704824521142535,0.05282750883486505
3.84,0.7250000000000001,0.6472489417412738,0.7630941981713188,223550905.8676476,0.1215555555555555,0.3501666666666666,4.376,3.164,0.0,18787901.11218974,0.20012157515046455,0.549864088994698,0.046212257960130954
3.84,0.75,0.6509225167287099,0.7674925673521372,228174634.8888788,0.1536666666666666,0.2699444444444444,5.532,2.54,0.0,19545679.06523922,0.2901481527639832,0.5720324027941477,0.04900089690239716
3.84,0.775,0.6462686822981966,0.7709905236862471,254419743.70608824,0.123,0.3377222222222222,4.428,3.144,0.0,21532050.315087546,0.2975870191618652,0.5738525378991395,0.04856628475248822
3.84,0.8,0.6512170348966949,0.764527448028734,260353572.2889932,0.1434444444444444,0.2898888888888889,5.164,2.772,0.0,22251454.91745032,0.29200707444766344,0.5724874268294441,0.04892837865409637
3.84,0.8250000000000001,0.6542693793587125,0.7473358748425144,233954562.31070265,0.1112222222222222,0.3660555555555555,4.004,3.308,0.0,19539828.329227827,0.20511445710236784,0.5510995848818382,0.04602770373248335
3.84,0.8500000000000001,0.6498649912330083,0.767947666077818,237962556.9233913,0.1247777777777777,0.3239444444444445,4.492,3.196,0.0,20371952.436128717,0.2862482509990334,0.571077395575161,0.04888988288922627
3.84,0.875,0.6424109761832494,0.8345366796133062,227000139.42109784,0.1828888888888889,0.2026666666666667,6.584,2.208,0.0,20976849.230500624,0.27323468423806924,0.5678868422340765,0.05247783855952181
3.84,0.9,0.6458414057352024,0.7802944342402648,249876368.15176895,0.152,0.3365,5.472,3.288,0.0,22721312.245539386,0.24994326593978458,0.5621625366506716,0.051117561146183814
3.85,0.65,0.6493126996114492,0.763063455611381,254329858.3774764,0.1533333333333333,0.2889444444444444,5.52,2.476,0.0,21521097.40201097,0.2872823197598116,0.5713306700159799,0.04834533812353587
3.85,0.675,0.6498528490968615,0.7698508208581759,251047718.45739263,0.154,0.2861666666666667,5.544,2.468,0.0,21470491.011692066,0.29210621446114166,0.5725116907344552,0.04896322972195796
3.85,0.7000000000000001,0.6423953224846286,0.7752434466717767,236892193.1384685,0.1282222222222222,0.3249444444444444,4.616,2.976,0.0,19836891.51080813,0.31206572549625283,0.5773894010446617,0.04834946545206985
3.85,0.7250000000000001,0.6436499394692113,0.7756137244207282,244949228.73217207,0.1413333333333333,0.2914444444444444,5.088,2.756,0.0,20667729.311879165,0.2833073450070017,0.5703568764307332,0.048124183098075014
3.85,0.75,0.6518079659227137,0.7586187725537673,241093887.29870075,0.1298888888888889,0.3320555555555555,4.676,2.94,0.0,20350192.043458916,0.29442856339565904,0.5730799712320406,0.04837238970054461
3.85,0.775,0.6473334935738277,0.7762060797552142,240330247.84846216,0.1292222222222222,0.3293888888888889,4.652,3.048,0.0,20605394.36047044,0.18106689039453924,0.5451434534397825,0.046739417704251135
3.85,0.8,0.64992877752463,0.767394933953403,230492693.64335695,0.1387777777777777,0.3205,4.996,2.848,0.0,19726949.67546508,0.29670939945320113,0.5736379057855817,0.04909537877535013
3.85,0.8250000000000001,0.6344950702635711,0.8552038831741697,226745731.7246647,0.2222222222222223,0.0977222222222222,8.0,2.0,0.0,21569754.683269527,0.2877560713982624,0.5714466935237514,0.05436029556155055
3.85,0.8500000000000001,0.6472166067931414,0.7696476247709356,255917549.59815937,0.1375555555555555,0.3276111111111111,4.952,2.996,0.0,21983602.388518568,0.29402438573897577,0.572981082482725,0.049219712806806974
3.85,0.875,0.6469558414990825,0.7918137305770736,218693981.3654209,0.1575555555555555,0.2661666666666666,5.672,2.652,0.0,19374978.50125906,0.2188111474583092,0.5544855703482497,0.04912410454865116
3.85,0.9,0.6441865223134043,0.7888994957405389,238723397.1139797,0.1768888888888888,0.3027222222222223,6.368,3.148,0.0,22591450.576422703,0.2529310481396699,0.5628977997635441,0.05326950762544464
3.86,0.65,0.6443409911913826,0.8055654350577334,234327152.26083755,0.1976666666666666,0.2097222222222222,7.116,2.288,0.0,21807079.91128402,0.3044778540605077,0.5755367988558588,0.05356091619533537
3.86,0.675,0.6451482907003059,0.7674098364795297,240531770.7132569,0.1375555555555555,0.3083888888888889,4.952,2.816,0.0,20172581.300694738,0.2186949493102097,0.5544568655843373,0.0465004110083324
3.86,0.7000000000000001,0.6484593257017943,0.7849222669175012,237327008.1549491,0.2101111111111111,0.1539444444444444,7.564,2.0,0.0,21551416.648106933,0.2861875275945947,0.5710625214342644,0.051857588511430776
