r,epsilon,seed,global_activity_mean,global_activity_std,wall_density_mean,wall_density_std,mean_wall_velocity,global_period,global_period_power,global_spectral_entropy,global_lowfreq_power,wall_period,wall_period_power,wall_spectral_entropy,wall_lowfreq_power,global_ac_peak_lag,global_ac_peak_value,wall_ac_peak_lag,wall_ac_peak_value,wall_ac_late_mean,max_cluster_lifetime,mean_cluster_lifetime,wall_ac,frame_10,motif_10,comp_10,frame_20,motif_20,comp_20,frame_50,motif_50,comp_50,frame_100,motif_100,comp_100,frame_150,motif_150,comp_150,long_memory_score
3.55,0.04,101,0.6125,0.1505199322349037,0.4625,0.0960143218483576,0.5062589413447783,2.0,0.9965397923875432,0.003944491309355525,9.998815738126202e-34,2.0,0.9074074074074074,0.05287154369404765,4.638273068650605e-34,4,0.9942857142857141,4,0.9942857142857144,0.0070838252656435915,698.0,1.192888725128961,"[ 1.         -0.83014528  0.65912833 -0.82612591  0.99428571 -0.82539952
  0.65535109 -0.82138015  0.98857143 -0.82065375  0.65157385 -0.81663438
  0.98285714 -0.81590799  0.64779661 -0.81188862  0.97714286 -0.81116223
  0.64401937 -0.80714286  0.97142857 -0.80641646  0.64024213 -0.80239709
  0.96571429 -0.8016707   0.63646489 -0.79765133  0.96       -0.79692494
  0.63268765 -0.79290557  0.95428571 -0.79217918  0.62891041 -0.78815981
  0.94857143 -0.78743341  0.62513317 -0.78341404  0.94285714 -0.78268765
  0.62135593 -0.77866828  0.93714286 -0.77794189  0.61757869 -0.77392252
  0.93142857 -0.77319613  0.61380145 -0.76917676  0.92571429 -0.76845036
  0.61002421 -0.76443099  0.92       -0.7637046   0.60624697 -0.75968523
  0.91428571 -0.75895884  0.60246973 -0.75493947  0.90857143 -0.75421308
  0.59869249 -0.7501937   0.90285714 -0.74946731  0.59491525 -0.74544794
  0.89714286 -0.74472155  0.59113801 -0.74070218  0.89142857 -0.73997579
  0.58736077 -0.73595642  0.88571429 -0.73523002  0.58358354 -0.73121065
  0.88       -0.73048426  0.5798063  -0.72646489  0.87428571 -0.7257385
  0.57602906 -0.72171913  0.86857143 -0.72099274  0.57225182 -0.71697337
  0.86285714 -0.71624697  0.56847458 -0.7122276   0.85714286 -0.71150121
  0.56469734 -0.70748184  0.85142857 -0.70675545  0.5609201  -0.70273608
  0.84571429 -0.70200969  0.55714286 -0.69799031  0.84       -0.69726392
  0.55336562 -0.69324455  0.83428571 -0.69251816  0.54958838 -0.68849879
  0.82857143 -0.6877724   0.54581114 -0.68375303  0.82285714 -0.68302663
  0.5420339  -0.67900726  0.81714286 -0.67828087  0.53825666 -0.6742615
  0.81142857 -0.67353511  0.53447942 -0.66951574  0.80571429 -0.66878935
  0.53070218 -0.66476998  0.8        -0.66404358  0.52692494 -0.66002421
  0.79428571 -0.65929782  0.5231477  -0.65527845  0.78857143 -0.65455206
  0.51937046 -0.65053269  0.78285714 -0.6498063   0.51559322 -0.64578692
  0.77714286 -0.64506053  0.51181598 -0.64104116  0.77142857]",0.775,0.2875,0.0,1.0,1.0,0.0,0.775,0.2875,0.0,1.0,1.0,0.0,0.775,0.2875,0.0,0.0
3.55,0.04,707,0.59375,0.10364452469860624,0.575,0.08291561975888498,0.4834287076776347,2.0,0.9,0.05617569346195534,3.46401824628627e-34,2.0,0.8999999999999999,0.055494483262008724,1.4300822655005116e-33,4,0.9942857142857143,4,0.9942857142857141,0.007083825265643253,3.0,1.0453187897675627,"[ 1.         -0.81623377  0.63454545 -0.81545455  0.99428571 -0.81155844
  0.63090909 -0.81077922  0.98857143 -0.80688312  0.62727273 -0.8061039
  0.98285714 -0.80220779  0.62363636 -0.80142857  0.97714286 -0.79753247
  0.62       -0.79675325  0.97142857 -0.79285714  0.61636364 -0.79207792
  0.96571429 -0.78818182  0.61272727 -0.7874026   0.96       -0.78350649
  0.60909091 -0.78272727  0.95428571 -0.77883117  0.60545455 -0.77805195
  0.94857143 -0.77415584  0.60181818 -0.77337662  0.94285714 -0.76948052
  0.59818182 -0.7687013   0.93714286 -0.76480519  0.59454545 -0.76402597
  0.93142857 -0.76012987  0.59090909 -0.75935065  0.92571429 -0.75545455
  0.58727273 -0.75467532  0.92       -0.75077922  0.58363636 -0.75
  0.91428571 -0.7461039   0.58       -0.74532468  0.90857143 -0.74142857
  0.57636364 -0.74064935  0.90285714 -0.73675325  0.57272727 -0.73597403
  0.89714286 -0.73207792  0.56909091 -0.7312987   0.89142857 -0.7274026
  0.56545455 -0.72662338  0.88571429 -0.72272727  0.56181818 -0.72194805
  0.88       -0.71805195  0.55818182 -0.71727273  0.87428571 -0.71337662
  0.55454545 -0.7125974   0.86857143 -0.7087013   0.55090909 -0.70792208
  0.86285714 -0.70402597  0.54727273 -0.70324675  0.85714286 -0.69935065
  0.54363636 -0.69857143  0.85142857 -0.69467532  0.54       -0.6938961
  0.84571429 -0.69        0.53636364 -0.68922078  0.84       -0.68532468
  0.53272727 -0.68454545  0.83428571 -0.68064935  0.52909091 -0.67987013
  0.82857143 -0.67597403  0.52545455 -0.67519481  0.82285714 -0.6712987
  0.52181818 -0.67051948  0.81714286 -0.66662338  0.51818182 -0.66584416
  0.81142857 -0.66194805  0.51454545 -0.66116883  0.80571429 -0.65727273
  0.51090909 -0.65649351  0.8        -0.6525974   0.50727273 -0.65181818
  0.79428571 -0.64792208  0.50363636 -0.64714286  0.78857143 -0.64324675
  0.5        -0.64246753  0.78285714 -0.63857143  0.49636364 -0.63779221
  0.77714286 -0.6338961   0.49272727 -0.63311688  0.77142857]",0.8125,0.4125,0.0,1.0,1.0,0.0,0.8125,0.4125,0.0,1.0,1.0,0.0,0.8125,0.4125,0.0,0.0
3.55,0.04,1313,0.5687500000000001,0.044633927678392804,0.6125,0.06495190528383286,0.159631141390798,4.0,0.9615384615384619,0.02811192012408544,2.298128820842878e-34,4.0,0.9285714285714287,0.044100597626817326,5.805290826141658e-34,4,0.9942857142857144,4,0.9942857142857142,0.007083825265643402,3.0,1.0887506348400202,"[ 1.         -0.03624339 -0.92328042 -0.03761905  0.99428571 -0.03603175
 -0.91798942 -0.03740741  0.98857143 -0.03582011 -0.91269841 -0.03719577
  0.98285714 -0.03560847 -0.90740741 -0.03698413  0.97714286 -0.03539683
 -0.9021164  -0.03677249  0.97142857 -0.03518519 -0.8968254  -0.03656085
  0.96571429 -0.03497354 -0.89153439 -0.03634921  0.96       -0.0347619
 -0.88624339 -0.03613757  0.95428571 -0.03455026 -0.88095238 -0.03592593
  0.94857143 -0.03433862 -0.87566138 -0.03571429  0.94285714 -0.03412698
 -0.87037037 -0.03550265  0.93714286 -0.03391534 -0.86507937 -0.03529101
  0.93142857 -0.0337037  -0.85978836 -0.03507937  0.92571429 -0.03349206
 -0.85449735 -0.03486772  0.92       -0.03328042 -0.84920635 -0.03465608
  0.91428571 -0.03306878 -0.84391534 -0.03444444  0.90857143 -0.03285714
 -0.83862434 -0.0342328   0.90285714 -0.0326455  -0.83333333 -0.03402116
  0.89714286 -0.03243386 -0.82804233 -0.03380952  0.89142857 -0.03222222
 -0.82275132 -0.03359788  0.88571429 -0.03201058 -0.81746032 -0.03338624
  0.88       -0.03179894 -0.81216931 -0.0331746   0.87428571 -0.0315873
 -0.80687831 -0.03296296  0.86857143 -0.03137566 -0.8015873  -0.03275132
  0.86285714 -0.03116402 -0.7962963  -0.03253968  0.85714286 -0.03095238
 -0.79100529 -0.03232804  0.85142857 -0.03074074 -0.78571429 -0.0321164
  0.84571429 -0.0305291  -0.78042328 -0.03190476  0.84       -0.03031746
 -0.77513228 -0.03169312  0.83428571 -0.03010582 -0.76984127 -0.03148148
  0.82857143 -0.02989418 -0.76455026 -0.03126984  0.82285714 -0.02968254
 -0.75925926 -0.0310582   0.81714286 -0.0294709  -0.75396825 -0.03084656
  0.81142857 -0.02925926 -0.74867725 -0.03063492  0.80571429 -0.02904762
 -0.74338624 -0.03042328  0.8        -0.02883598 -0.73809524 -0.03021164
  0.79428571 -0.02862434 -0.73280423 -0.03        0.78857143 -0.0284127
 -0.72751323 -0.02978836  0.78285714 -0.02820106 -0.72222222 -0.02957672
  0.77714286 -0.02798942 -0.71693122 -0.02936508  0.77142857]",0.8625,0.425,0.0,1.0,1.0,0.0,0.8625,0.425,0.0,1.0,1.0,0.0,0.8625,0.425,0.0,0.0
3.55,0.04,2029,0.5750000000000001,0.11592023119369631,0.5000000000000001,0.08660254037844387,0.27694630913515045,2.0,0.5901639344262296,0.11599327814176154,3.0235166920076537e-34,4.0,0.5,0.12628075142059988,6.34453549461599e-34,4,0.9942857142857143,4,0.9942857142857141,0.007083825265643603,1.0,1.0,"[ 1.         -0.33190476 -0.33238095 -0.33285714  0.99428571 -0.33
 -0.33047619 -0.33095238  0.98857143 -0.32809524 -0.32857143 -0.32904762
  0.98285714 -0.32619048 -0.32666667 -0.32714286  0.97714286 -0.32428571
 -0.3247619  -0.3252381   0.97142857 -0.32238095 -0.32285714 -0.32333333
  0.96571429 -0.32047619 -0.32095238 -0.32142857  0.96       -0.31857143
 -0.31904762 -0.31952381  0.95428571 -0.31666667 -0.31714286 -0.31761905
  0.94857143 -0.3147619  -0.3152381  -0.31571429  0.94285714 -0.31285714
 -0.31333333 -0.31380952  0.93714286 -0.31095238 -0.31142857 -0.31190476
  0.93142857 -0.30904762 -0.30952381 -0.31        0.92571429 -0.30714286
 -0.30761905 -0.30809524  0.92       -0.3052381  -0.30571429 -0.30619048
  0.91428571 -0.30333333 -0.30380952 -0.30428571  0.90857143 -0.30142857
 -0.30190476 -0.30238095  0.90285714 -0.29952381 -0.3        -0.30047619
  0.89714286 -0.29761905 -0.29809524 -0.29857143  0.89142857 -0.29571429
 -0.29619048 -0.29666667  0.88571429 -0.29380952 -0.29428571 -0.2947619
  0.88       -0.29190476 -0.29238095 -0.29285714  0.87428571 -0.29
 -0.29047619 -0.29095238  0.86857143 -0.28809524 -0.28857143 -0.28904762
  0.86285714 -0.28619048 -0.28666667 -0.28714286  0.85714286 -0.28428571
 -0.2847619  -0.2852381   0.85142857 -0.28238095 -0.28285714 -0.28333333
  0.84571429 -0.28047619 -0.28095238 -0.28142857  0.84       -0.27857143
 -0.27904762 -0.27952381  0.83428571 -0.27666667 -0.27714286 -0.27761905
  0.82857143 -0.2747619  -0.2752381  -0.27571429  0.82285714 -0.27285714
 -0.27333333 -0.27380952  0.81714286 -0.27095238 -0.27142857 -0.27190476
  0.81142857 -0.26904762 -0.26952381 -0.27        0.80571429 -0.26714286
 -0.26761905 -0.26809524  0.8        -0.2652381  -0.26571429 -0.26619048
  0.79428571 -0.26333333 -0.26380952 -0.26428571  0.78857143 -0.26142857
 -0.26190476 -0.26238095  0.78285714 -0.25952381 -0.26       -0.26047619
  0.77714286 -0.25761905 -0.25809524 -0.25857143  0.77142857]",0.85,0.625,0.0,1.0,1.0,0.0,0.85,0.625,0.0,1.0,1.0,0.0,0.85,0.625,0.0,0.0
3.55,0.04,3001,0.6124999999999999,0.054486236794258396,0.425,0.05590169943749475,0.41923552921407004,2.0,0.6428571428571429,0.11262625172363538,3.155648330951251e-34,2.0,0.8888888888888887,0.0601528750492922,8.091035369016703e-36,4,0.9942857142857143,4,0.9942857142857142,0.007083825265643389,700.0,1.4462809917355373,"[ 1.         -0.79914286  0.59828571 -0.79628571  0.99428571 -0.79457143
  0.59485714 -0.79171429  0.98857143 -0.79        0.59142857 -0.78714286
  0.98285714 -0.78542857  0.588      -0.78257143  0.97714286 -0.78085714
  0.58457143 -0.778       0.97142857 -0.77628571  0.58114286 -0.77342857
  0.96571429 -0.77171429  0.57771429 -0.76885714  0.96       -0.76714286
  0.57428571 -0.76428571  0.95428571 -0.76257143  0.57085714 -0.75971429
  0.94857143 -0.758       0.56742857 -0.75514286  0.94285714 -0.75342857
  0.564      -0.75057143  0.93714286 -0.74885714  0.56057143 -0.746
  0.93142857 -0.74428571  0.55714286 -0.74142857  0.92571429 -0.73971429
  0.55371429 -0.73685714  0.92       -0.73514286  0.55028571 -0.73228571
  0.91428571 -0.73057143  0.54685714 -0.72771429  0.90857143 -0.726
  0.54342857 -0.72314286  0.90285714 -0.72142857  0.54       -0.71857143
  0.89714286 -0.71685714  0.53657143 -0.714       0.89142857 -0.71228571
  0.53314286 -0.70942857  0.88571429 -0.70771429  0.52971429 -0.70485714
  0.88       -0.70314286  0.52628571 -0.70028571  0.87428571 -0.69857143
  0.52285714 -0.69571429  0.86857143 -0.694       0.51942857 -0.69114286
  0.86285714 -0.68942857  0.516      -0.68657143  0.85714286 -0.68485714
  0.51257143 -0.682       0.85142857 -0.68028571  0.50914286 -0.67742857
  0.84571429 -0.67571429  0.50571429 -0.67285714  0.84       -0.67114286
  0.50228571 -0.66828571  0.83428571 -0.66657143  0.49885714 -0.66371429
  0.82857143 -0.662       0.49542857 -0.65914286  0.82285714 -0.65742857
  0.492      -0.65457143  0.81714286 -0.65285714  0.48857143 -0.65
  0.81142857 -0.64828571  0.48514286 -0.64542857  0.80571429 -0.64371429
  0.48171429 -0.64085714  0.8        -0.63914286  0.47828571 -0.63628571
  0.79428571 -0.63457143  0.47485714 -0.63171429  0.78857143 -0.63
  0.47142857 -0.62714286  0.78285714 -0.62542857  0.468      -0.62257143
  0.77714286 -0.62085714  0.46457143 -0.618       0.77142857]",0.775,0.3625,0.0,1.0,1.0,0.0,0.775,0.3625,0.0,1.0,1.0,0.0,0.775,0.3625,0.0,0.0
3.55,0.04,4099,0.6312500000000002,0.10661701318269988,0.425,0.024999999999999994,0.8417878715625497,2.0,0.7347826086956523,0.09893949613533154,6.90930994872098e-34,2.0,1.0,5.569619796175983e-32,1.2875365577805874e-34,4,0.9942857142857143,2,0.9971428571428572,0.007083825265642903,3.0,1.0965720604496867,"[ 1.         -0.99857143  0.99714286 -0.99571429  0.99428571 -0.99285714
  0.99142857 -0.99        0.98857143 -0.98714286  0.98571429 -0.98428571
  0.98285714 -0.98142857  0.98       -0.97857143  0.97714286 -0.97571429
  0.97428571 -0.97285714  0.97142857 -0.97        0.96857143 -0.96714286
  0.96571429 -0.96428571  0.96285714 -0.96142857  0.96       -0.95857143
  0.95714286 -0.95571429  0.95428571 -0.95285714  0.95142857 -0.95
  0.94857143 -0.94714286  0.94571429 -0.94428571  0.94285714 -0.94142857
  0.94       -0.93857143  0.93714286 -0.93571429  0.93428571 -0.93285714
  0.93142857 -0.93        0.92857143 -0.92714286  0.92571429 -0.92428571
  0.92285714 -0.92142857  0.92       -0.91857143  0.91714286 -0.91571429
  0.91428571 -0.91285714  0.91142857 -0.91        0.90857143 -0.90714286
  0.90571429 -0.90428571  0.90285714 -0.90142857  0.9        -0.89857143
  0.89714286 -0.89571429  0.89428571 -0.89285714  0.89142857 -0.89
  0.88857143 -0.88714286  0.88571429 -0.88428571  0.88285714 -0.88142857
  0.88       -0.87857143  0.87714286 -0.87571429  0.87428571 -0.87285714
  0.87142857 -0.87        0.86857143 -0.86714286  0.86571429 -0.86428571
  0.86285714 -0.86142857  0.86       -0.85857143  0.85714286 -0.85571429
  0.85428571 -0.85285714  0.85142857 -0.85        0.84857143 -0.84714286
  0.84571429 -0.84428571  0.84285714 -0.84142857  0.84       -0.83857143
  0.83714286 -0.83571429  0.83428571 -0.83285714  0.83142857 -0.83
  0.82857143 -0.82714286  0.82571429 -0.82428571  0.82285714 -0.82142857
  0.82       -0.81857143  0.81714286 -0.81571429  0.81428571 -0.81285714
  0.81142857 -0.81        0.80857143 -0.80714286  0.80571429 -0.80428571
  0.80285714 -0.80142857  0.8        -0.79857143  0.79714286 -0.79571429
  0.79428571 -0.79285714  0.79142857 -0.79        0.78857143 -0.78714286
  0.78571429 -0.78428571  0.78285714 -0.78142857  0.78       -0.77857143
  0.77714286 -0.77571429  0.77428571 -0.77285714  0.77142857]",0.7375,0.275,0.0,1.0,1.0,0.0,0.7375,0.275,0.0,1.0,1.0,0.0,0.7375,0.275,0.0,0.0
3.55,0.04,5003,0.59375,0.10661701318269985,0.5125,0.0649519052838329,0.26971792315139953,2.0,0.996551724137931,0.003981891417807289,5.839850265148186e-34,2.0,0.9615384615384617,0.027829547588741767,5.658817207188605e-34,4,0.9942857142857142,4,0.9942857142857142,0.007083825265643809,3.0,1.1081081081081081,"[ 1.         -0.92407407  0.84941799 -0.92248677  0.99428571 -0.91878307
  0.84455026 -0.91719577  0.98857143 -0.91349206  0.83968254 -0.91190476
  0.98285714 -0.90820106  0.83481481 -0.90661376  0.97714286 -0.90291005
  0.82994709 -0.90132275  0.97142857 -0.89761905  0.82507937 -0.89603175
  0.96571429 -0.89232804  0.82021164 -0.89074074  0.96       -0.88703704
  0.81534392 -0.88544974  0.95428571 -0.88174603  0.81047619 -0.88015873
  0.94857143 -0.87645503  0.80560847 -0.87486772  0.94285714 -0.87116402
  0.80074074 -0.86957672  0.93714286 -0.86587302  0.79587302 -0.86428571
  0.93142857 -0.86058201  0.79100529 -0.85899471  0.92571429 -0.85529101
  0.78613757 -0.8537037   0.92       -0.85        0.78126984 -0.8484127
  0.91428571 -0.84470899  0.77640212 -0.84312169  0.90857143 -0.83941799
  0.77153439 -0.83783069  0.90285714 -0.83412698  0.76666667 -0.83253968
  0.89714286 -0.82883598  0.76179894 -0.82724868  0.89142857 -0.82354497
  0.75693122 -0.82195767  0.88571429 -0.81825397  0.75206349 -0.81666667
  0.88       -0.81296296  0.74719577 -0.81137566  0.87428571 -0.80767196
  0.74232804 -0.80608466  0.86857143 -0.80238095  0.73746032 -0.80079365
  0.86285714 -0.79708995  0.73259259 -0.79550265  0.85714286 -0.79179894
  0.72772487 -0.79021164  0.85142857 -0.78650794  0.72285714 -0.78492063
  0.84571429 -0.78121693  0.71798942 -0.77962963  0.84       -0.77592593
  0.71312169 -0.77433862  0.83428571 -0.77063492  0.70825397 -0.76904762
  0.82857143 -0.76534392  0.70338624 -0.76375661  0.82285714 -0.76005291
  0.69851852 -0.75846561  0.81714286 -0.7547619   0.69365079 -0.7531746
  0.81142857 -0.7494709   0.68878307 -0.7478836   0.80571429 -0.74417989
  0.68391534 -0.74259259  0.8        -0.73888889  0.67904762 -0.73730159
  0.79428571 -0.73359788  0.67417989 -0.73201058  0.78857143 -0.72830688
  0.66931217 -0.72671958  0.78285714 -0.72301587  0.66444444 -0.72142857
  0.77714286 -0.71772487  0.65957672 -0.71613757  0.77142857]",0.8125,0.4375,0.0,1.0,1.0,0.0,0.8125,0.4375,0.0,1.0,1.0,0.0,0.8125,0.4375,0.0,0.0
3.55,0.06,101,0.5812499999999999,0.1493475393168565,0.5,0.09354143466934854,0.1961685191298925,2.0,0.8715415019762845,0.06612169470761496,2.0329973541603743e-34,2.0,0.782608695652174,0.09028763095870342,1.268106002875966e-34,4,0.9942857142857142,4,0.9942857142857142,0.007083825265643379,3.0,1.0526315789473684,"[ 1.         -0.64285714  0.28489796 -0.63918367  0.99428571 -0.63918367
  0.28326531 -0.6355102   0.98857143 -0.6355102   0.28163265 -0.63183673
  0.98285714 -0.63183673  0.28       -0.62816327  0.97714286 -0.62816327
  0.27836735 -0.6244898   0.97142857 -0.6244898   0.27673469 -0.62081633
  0.96571429 -0.62081633  0.27510204 -0.61714286  0.96       -0.61714286
  0.27346939 -0.61346939  0.95428571 -0.61346939  0.27183673 -0.60979592
  0.94857143 -0.60979592  0.27020408 -0.60612245  0.94285714 -0.60612245
  0.26857143 -0.60244898  0.93714286 -0.60244898  0.26693878 -0.59877551
  0.93142857 -0.59877551  0.26530612 -0.59510204  0.92571429 -0.59510204
  0.26367347 -0.59142857  0.92       -0.59142857  0.26204082 -0.5877551
  0.91428571 -0.5877551   0.26040816 -0.58408163  0.90857143 -0.58408163
  0.25877551 -0.58040816  0.90285714 -0.58040816  0.25714286 -0.57673469
  0.89714286 -0.57673469  0.2555102  -0.57306122  0.89142857 -0.57306122
  0.25387755 -0.56938776  0.88571429 -0.56938776  0.2522449  -0.56571429
  0.88       -0.56571429  0.25061224 -0.56204082  0.87428571 -0.56204082
  0.24897959 -0.55836735  0.86857143 -0.55836735  0.24734694 -0.55469388
  0.86285714 -0.55469388  0.24571429 -0.55102041  0.85714286 -0.55102041
  0.24408163 -0.54734694  0.85142857 -0.54734694  0.24244898 -0.54367347
  0.84571429 -0.54367347  0.24081633 -0.54        0.84       -0.54
  0.23918367 -0.53632653  0.83428571 -0.53632653  0.23755102 -0.53265306
  0.82857143 -0.53265306  0.23591837 -0.52897959  0.82285714 -0.52897959
  0.23428571 -0.52530612  0.81714286 -0.52530612  0.23265306 -0.52163265
  0.81142857 -0.52163265  0.23102041 -0.51795918  0.80571429 -0.51795918
  0.22938776 -0.51428571  0.8        -0.51428571  0.2277551  -0.51061224
  0.79428571 -0.51061224  0.22612245 -0.50693878  0.78857143 -0.50693878
  0.2244898  -0.50326531  0.78285714 -0.50326531  0.22285714 -0.49959184
  0.77714286 -0.49959184  0.22122449 -0.49591837  0.77142857]",0.8375,0.475,0.0,1.0,1.0,0.0,0.8375,0.475,0.0,1.0,1.0,0.0,0.8375,0.475,0.0,0.0
3.55,0.06,707,0.58125,0.0958106857297243,0.55,0.06123724356957944,0.21242467594398926,2.0,0.9782608695652174,0.018098202232221278,9.117911711118197e-35,2.0,0.7999999999999997,0.08762959792947804,3.853209949236094e-34,4,0.9942857142857142,4,0.9942857142857144,0.007083825265643315,3.0,1.1575466025255563,"[ 1.         -0.6647619   0.33238095 -0.6647619   0.99428571 -0.66095238
  0.33047619 -0.66095238  0.98857143 -0.65714286  0.32857143 -0.65714286
  0.98285714 -0.65333333  0.32666667 -0.65333333  0.97714286 -0.64952381
  0.3247619  -0.64952381  0.97142857 -0.64571429  0.32285714 -0.64571429
  0.96571429 -0.64190476  0.32095238 -0.64190476  0.96       -0.63809524
  0.31904762 -0.63809524  0.95428571 -0.63428571  0.31714286 -0.63428571
  0.94857143 -0.63047619  0.3152381  -0.63047619  0.94285714 -0.62666667
  0.31333333 -0.62666667  0.93714286 -0.62285714  0.31142857 -0.62285714
  0.93142857 -0.61904762  0.30952381 -0.61904762  0.92571429 -0.6152381
  0.30761905 -0.6152381   0.92       -0.61142857  0.30571429 -0.61142857
  0.91428571 -0.60761905  0.30380952 -0.60761905  0.90857143 -0.60380952
  0.30190476 -0.60380952  0.90285714 -0.6         0.3        -0.6
  0.89714286 -0.59619048  0.29809524 -0.59619048  0.89142857 -0.59238095
  0.29619048 -0.59238095  0.88571429 -0.58857143  0.29428571 -0.58857143
  0.88       -0.5847619   0.29238095 -0.5847619   0.87428571 -0.58095238
  0.29047619 -0.58095238  0.86857143 -0.57714286  0.28857143 -0.57714286
  0.86285714 -0.57333333  0.28666667 -0.57333333  0.85714286 -0.56952381
  0.2847619  -0.56952381  0.85142857 -0.56571429  0.28285714 -0.56571429
  0.84571429 -0.56190476  0.28095238 -0.56190476  0.84       -0.55809524
  0.27904762 -0.55809524  0.83428571 -0.55428571  0.27714286 -0.55428571
  0.82857143 -0.55047619  0.2752381  -0.55047619  0.82285714 -0.54666667
  0.27333333 -0.54666667  0.81714286 -0.54285714  0.27142857 -0.54285714
  0.81142857 -0.53904762  0.26952381 -0.53904762  0.80571429 -0.5352381
  0.26761905 -0.5352381   0.8        -0.53142857  0.26571429 -0.53142857
  0.79428571 -0.52761905  0.26380952 -0.52761905  0.78857143 -0.52380952
  0.26190476 -0.52380952  0.78285714 -0.52        0.26       -0.52
  0.77714286 -0.51619048  0.25809524 -0.51619048  0.77142857]",0.8375,0.4625,0.0,1.0,1.0,0.0,0.8375,0.4625,0.0,1.0,1.0,0.0,0.8375,0.4625,0.0,0.0
3.55,0.06,1313,0.56875,0.048007160924178796,0.5874999999999999,0.04145780987944249,0.1658996701915157,4.0,0.7352941176470584,0.09986729616871276,8.92801492985813e-34,4.0,0.8333333333333329,0.07769512158419202,5.151249126097136e-34,4,0.9942857142857144,4,0.9942857142857141,0.007083825265643641,3.0,1.1460220147694022,"[ 1.         -0.08896104 -0.81584416 -0.09233766  0.99428571 -0.08844156
 -0.81116883 -0.09181818  0.98857143 -0.08792208 -0.80649351 -0.0912987
  0.98285714 -0.0874026  -0.80181818 -0.09077922  0.97714286 -0.08688312
 -0.79714286 -0.09025974  0.97142857 -0.08636364 -0.79246753 -0.08974026
  0.96571429 -0.08584416 -0.78779221 -0.08922078  0.96       -0.08532468
 -0.78311688 -0.0887013   0.95428571 -0.08480519 -0.77844156 -0.08818182
  0.94857143 -0.08428571 -0.77376623 -0.08766234  0.94285714 -0.08376623
 -0.76909091 -0.08714286  0.93714286 -0.08324675 -0.76441558 -0.08662338
  0.93142857 -0.08272727 -0.75974026 -0.0861039   0.92571429 -0.08220779
 -0.75506494 -0.08558442  0.92       -0.08168831 -0.75038961 -0.08506494
  0.91428571 -0.08116883 -0.74571429 -0.08454545  0.90857143 -0.08064935
 -0.74103896 -0.08402597  0.90285714 -0.08012987 -0.73636364 -0.08350649
  0.89714286 -0.07961039 -0.73168831 -0.08298701  0.89142857 -0.07909091
 -0.72701299 -0.08246753  0.88571429 -0.07857143 -0.72233766 -0.08194805
  0.88       -0.07805195 -0.71766234 -0.08142857  0.87428571 -0.07753247
 -0.71298701 -0.08090909  0.86857143 -0.07701299 -0.70831169 -0.08038961
  0.86285714 -0.07649351 -0.70363636 -0.07987013  0.85714286 -0.07597403
 -0.69896104 -0.07935065  0.85142857 -0.07545455 -0.69428571 -0.07883117
  0.84571429 -0.07493506 -0.68961039 -0.07831169  0.84       -0.07441558
 -0.68493506 -0.07779221  0.83428571 -0.0738961  -0.68025974 -0.07727273
  0.82857143 -0.07337662 -0.67558442 -0.07675325  0.82285714 -0.07285714
 -0.67090909 -0.07623377  0.81714286 -0.07233766 -0.66623377 -0.07571429
  0.81142857 -0.07181818 -0.66155844 -0.07519481  0.80571429 -0.0712987
 -0.65688312 -0.07467532  0.8        -0.07077922 -0.65220779 -0.07415584
  0.79428571 -0.07025974 -0.64753247 -0.07363636  0.78857143 -0.06974026
 -0.64285714 -0.07311688  0.78285714 -0.06922078 -0.63818182 -0.0725974
  0.77714286 -0.0687013  -0.63350649 -0.07207792  0.77142857]",0.8625,0.5125,0.0,1.0,1.0,0.0,0.8625,0.5125,0.0,1.0,1.0,0.0,0.8625,0.5125,0.0,0.0
