r,epsilon,long_memory_score,motif_100,motif_150,comp_100,comp_150,wall_period,wall_period_power,wall_spectral_entropy,wall_ac_late_mean,mean_wall_velocity,max_cluster_lifetime,global_period
3.58,0.08,2.6795853765403935e-08,0.8697142857142858,0.5602272727272727,0.0,0.0005649350649350649,2.2857142857142856,0.797676736504423,0.16143975014339063,0.006664717049237234,0.2656681568085615,3.0,2.0
3.6,0.08,9.177875580555862e-09,0.807797619047619,0.598025974025974,5.9523809523809525e-06,0.00018181818181818183,2.5714285714285716,0.6875813158342959,0.22958929826345043,0.006767550528355767,0.3451203005387555,700.0,2.0
3.7,0.08,6.487890426174221e-09,0.48630357142857145,0.29922727272727273,0.00011309523809523809,8.441558441558442e-05,2.857142857142857,0.31257566177284024,0.6809056497869934,0.023532036292901886,0.5244763980087401,231.0,2.0
3.62,0.08,3.4801268781023784e-09,0.7563035714285714,0.37318831168831174,0.00020833333333333332,0.000512987012987013,2.5714285714285716,0.512407875314645,0.42287672807171856,0.0038831233726767723,0.7403111311219833,11.0,2.5714285714285716
3.58,0.04,1.6818327797205202e-09,0.8418154761904761,0.2869545454545455,0.0,0.00031818181818181815,2.5714285714285716,0.625635573280437,0.24784962673343486,0.006516551027402856,0.7740044528671138,700.0,2.5714285714285716
3.6,0.06,1.234183638208138e-09,0.7931309523809524,0.3327402597402597,0.0001964285714285714,9.09090909090909e-05,3.098901098901099,0.5538069621712624,0.3743468837439908,0.004445023603422494,0.7625063074174049,698.0,2.2857142857142856
3.65,0.06,4.4184027489129475e-10,0.6069285714285714,0.20694805194805196,0.0002976190476190476,0.0002142857142857143,2.2857142857142856,0.5625735856563358,0.41527672548739514,0.009777302356635528,0.8821963821427341,75.0,2.0
3.65,0.04,1.9045987411028173e-10,0.4263630952380952,0.10757142857142857,0.00025,0.0003116883116883117,2.0,0.490834201842299,0.4902391523523965,0.004867818019816563,1.0659345253152732,63.0,2.0
3.58,0.06,1.4995818128943483e-10,0.777517857142857,0.4469415584415585,0.0,3.896103896103896e-05,2.5714285714285716,0.7024463825171746,0.17246105110030413,0.006660606094367438,0.5450895282363707,697.0,2.2857142857142856
3.6,0.04,7.271458860335522e-11,0.7197738095238095,0.14259740259740258,0.0001964285714285714,2.5974025974025972e-05,2.5714285714285716,0.7037764377651785,0.21116878793417682,0.007084090908757268,1.066518651773097,36.0,2.5714285714285716
3.7,0.06,3.9669767502199275e-11,0.3301845238095238,0.11470779220779222,5.9523809523809525e-06,1.2987012987012986e-05,102.56818181818183,0.36802717972827914,0.6204297670502644,0.02620354508203635,0.7377240456026477,25.0,2.8604269293924465
3.62,0.04,1.8597953403118975e-11,0.6551964285714286,0.08555194805194806,2.380952380952381e-05,0.0001233766233766234,2.2857142857142856,0.6668389644717713,0.26560449743913994,0.006712811723475466,1.2158515502936105,18.0,2.5714285714285716
