r,epsilon,n,horizon,seed,motif_size,frame_even,frame_odd,motif_even,motif_odd,comp_even,comp_odd,parity,smooth,resonance,wall_spectral_entropy,max_cluster_lifetime,atlas_score,class
3.8625,0.132,20,120,101,4,,,,,,,,,,0.0,0,,low motif memory
3.8625,0.132,20,120,101,6,,,,,,,,,,0.0,0,,low motif memory
3.8625,0.132,20,120,707,4,,,,,,,,,,0.0,0,,low motif memory
3.8625,0.132,20,120,707,6,,,,,,,,,,0.0,0,,low motif memory
3.8625,0.132,20,120,1313,4,,,,,,,,,,0.0,0,,low motif memory
3.8625,0.132,20,120,1313,6,,,,,,,,,,0.0,0,,low motif memory
3.8625,0.132,20,360,101,4,0.9400000000000001,0.1,0.85,0.0,0.0,0.6,0.85,1.3847109278119065e-70,0.6666666666666667,0.0,0,0.0,resonant phase-memory
3.8625,0.132,20,360,101,6,0.9400000000000001,0.1,0.82,0.0,0.0,0.45,0.82,9.074233870640824e-103,0.7,0.0,0,0.0,resonant phase-memory
3.8625,0.132,20,360,707,4,0.9400000000000001,0.1,0.85,0.0,0.0,0.6,0.85,1.3847109278119065e-70,0.6666666666666667,0.0,0,0.0,resonant phase-memory
3.8625,0.132,20,360,707,6,0.9400000000000001,0.1,0.7899999999999999,0.0,0.0,0.41251433405961996,0.7899999999999999,4.8836332082218496e-141,0.7333333333333334,0.0,0,0.0,resonant phase-memory
3.8625,0.132,20,360,1313,4,0.9400000000000001,0.1,0.85,0.0,0.0,0.6,0.85,1.3847109278119065e-70,0.6666666666666667,0.0,0,0.0,resonant phase-memory
3.8625,0.132,20,360,1313,6,0.9400000000000001,0.1,0.82,0.0,0.0,0.45,0.82,9.074233870640824e-103,0.7,0.0,0,0.0,resonant phase-memory
3.8625,0.132,20,720,101,4,0.9400000000000001,0.1,0.85,0.0,0.0,0.6,0.85,1.3847109278119065e-70,0.6666666666666667,0.0,0,0.0,resonant phase-memory
3.8625,0.132,20,720,101,6,0.9400000000000001,0.1,0.82,0.0,0.0,0.45,0.82,9.074233870640824e-103,0.7,0.0,0,0.0,resonant phase-memory
