n,horizon,motif_size,runs,score_mean,score_std,motif_even_mean,parity_mean,smooth_mean,resonance_mean,frame_even_mean,wall_entropy_mean,cluster_lifetime_mean
20,120,4,3,,,,,,,,0.0,0.0
20,120,6,3,,,,,,,,0.0,0.0
20,360,4,3,0.0,0.0,0.85,0.85,1.3847109278119065e-70,0.6666666666666666,0.9400000000000001,0.0,0.0
20,360,6,3,0.0,0.0,0.8099999999999999,0.8099999999999999,6.049489247093883e-103,0.7111111111111111,0.9400000000000001,0.0,0.0
20,720,4,3,0.0,0.0,0.85,0.85,1.3847109278119065e-70,0.6666666666666666,0.9400000000000001,0.0,0.0
20,720,6,3,0.0,0.0,0.8099999999999999,0.8099999999999999,6.049489247093883e-103,0.7111111111111111,0.9400000000000001,0.0,0.0
40,120,4,3,,,,,,,,0.5741446716379244,0.3333333333333333
40,120,6,3,,,,,,,,0.5741446716379244,0.3333333333333333
40,360,4,3,0.06114617105387116,0.10590827495360225,0.8161076156146722,0.8159321421462957,7.499501096754458e-21,0.648299120234604,0.9276877251332897,0.512726154707554,20.333333333333332
40,360,6,3,0.05750172634436762,0.09959591155136652,0.7479309913876446,0.7479309913876446,1.209001413147937e-32,0.6998756798756798,0.9276877251332897,0.512726154707554,20.333333333333332
40,720,4,3,0.0,0.0,0.8430638151719246,0.8429889243168175,1.049840121951385e-38,0.647884564821739,0.9356748919362232,0.48322061932862503,0.0
40,720,6,3,0.0,0.0,0.7858834997957923,0.7858834997957923,1.694780214318673e-66,0.7002245862884161,0.9356748919362232,0.48322061932862503,0.0
80,120,4,3,,,,,,,,0.7362679768683035,2.6666666666666665
80,120,6,3,,,,,,,,0.7362679768683035,2.6666666666666665
80,360,4,3,0.002266625840854039,0.003925911118107724,0.7873303601080819,0.7869208991437162,3.3220460641060432e-59,0.6948785936285935,0.9149142580649636,0.5325410001262374,0.3333333333333333
80,360,6,3,0.002378265962174587,0.004119277480398067,0.7263217723137078,0.7263021373316091,6.369486102167874e-100,0.7466676379176379,0.9149142580649636,0.5325410001262374,0.3333333333333333
80,720,4,3,0.05491182699580599,0.08981576696501385,0.8043072388255664,0.8041510412456371,1.8697277103819183e-64,0.6952670060245558,0.9186318000470534,0.38339042569983645,101.33333333333333
80,720,6,3,0.057473868046614585,0.09399428215623255,0.749173757780606,0.7491666536362791,3.7384696382303677e-109,0.7480068443529323,0.9186318000470534,0.38339042569983645,101.33333333333333
