r,epsilon,n,horizon,seed,motif_size,frame_even,frame_odd,motif_even,motif_odd,comp_even,comp_odd,parity,smooth,resonance,wall_spectral_entropy,max_cluster_lifetime,atlas_score,class
3.8625,0.132,20,260,101,4,0.9400000000000001,0.1,0.85,0.0,0.0,0.6,0.85,1.3847109278119065e-70,0.6666666666666667,0.0,0,0.0,resonant phase-memory
3.8625,0.132,20,260,101,6,0.9400000000000001,0.1,0.82,0.0,0.0,0.45023064043840016,0.82,9.074233870640824e-103,0.7,0.0,0,0.0,resonant phase-memory
3.8625,0.132,20,260,707,4,0.9400000000000001,0.1,0.85,0.0,0.0,0.6,0.85,1.3847109278119065e-70,0.6666666666666667,0.0,0,0.0,resonant phase-memory
3.8625,0.132,20,260,707,6,0.9400000000000001,0.1,0.7899999999999999,0.0,0.0,0.41255766010960004,0.7899999999999999,4.883633208221849e-141,0.7333333333333334,0.0,0,0.0,resonant phase-memory
3.8625,0.132,20,260,1313,4,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9999999999989999,0.5,0.0,0,0.0,smooth even-lag motif memory
3.8625,0.132,20,260,1313,6,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9999999999989999,0.5,0.0,0,0.0,smooth even-lag motif memory
3.8625,0.132,20,360,101,4,0.9400000000000001,0.1,0.85,0.0,0.0,0.6,0.85,1.3847109278119065e-70,0.6666666666666667,0.0,0,0.0,resonant phase-memory
3.8625,0.132,20,360,101,6,0.9400000000000001,0.1,0.82,0.0,0.0,0.45005733623847977,0.82,9.074233870640824e-103,0.7,0.0,0,0.0,resonant phase-memory
3.8625,0.132,20,360,707,4,0.9400000000000001,0.1,0.85,0.0,0.0,0.6,0.85,1.3847109278119065e-70,0.6666666666666667,0.0,0,0.0,resonant phase-memory
3.8625,0.132,20,360,707,6,0.9400000000000001,0.1,0.7899999999999999,0.0,0.0,0.41251433405961996,0.7899999999999999,4.883633208221849e-141,0.7333333333333334,0.0,0,0.0,resonant phase-memory
3.8625,0.132,20,360,1313,4,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9999999999989999,0.5,0.0,0,0.0,smooth even-lag motif memory
3.8625,0.132,20,360,1313,6,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9999999999989999,0.5,0.0,0,0.0,smooth even-lag motif memory
3.8625,0.132,20,520,101,4,0.9400000000000001,0.1,0.85,0.0,0.0,0.6,0.85,1.3847109278119065e-70,0.6666666666666667,0.0,0,0.0,resonant phase-memory
3.8625,0.132,20,520,101,6,0.9400000000000001,0.1,0.82,0.0,0.0,0.4500279593636242,0.82,9.074233870640824e-103,0.7,0.0,0,0.0,resonant phase-memory
3.8625,0.132,20,520,707,4,0.9400000000000001,0.1,0.85,0.0,0.0,0.6,0.85,1.3847109278119065e-70,0.6666666666666667,0.0,0,0.0,resonant phase-memory
3.8625,0.132,20,520,707,6,0.9400000000000001,0.1,0.7899999999999999,0.0,0.0,0.412506989840906,0.7899999999999999,4.883633208221849e-141,0.7333333333333334,0.0,0,0.0,resonant phase-memory
3.8625,0.132,20,520,1313,4,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9999999999989999,0.5,0.0,0,0.0,smooth even-lag motif memory
3.8625,0.132,20,520,1313,6,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9999999999989999,0.5,0.0,0,0.0,smooth even-lag motif memory
3.8625,0.132,20,720,101,4,0.9400000000000001,0.1,0.85,0.0,0.0,0.6,0.85,1.3847109278119065e-70,0.6666666666666667,0.0,0,0.0,resonant phase-memory
3.8625,0.132,20,720,101,6,0.9400000000000001,0.1,0.82,0.0,0.0,0.45001754473227756,0.82,9.074233870640824e-103,0.7,0.0,0,0.0,resonant phase-memory
3.8625,0.132,20,720,707,4,0.9400000000000001,0.1,0.85,0.0,0.0,0.6,0.85,1.3847109278119065e-70,0.6666666666666667,0.0,0,0.0,resonant phase-memory
3.8625,0.132,20,720,707,6,0.9400000000000001,0.1,0.7899999999999999,0.0,0.0,0.4125043861830694,0.7899999999999999,4.883633208221849e-141,0.7333333333333334,0.0,0,0.0,resonant phase-memory
3.8625,0.132,20,720,1313,4,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9999999999989999,0.5,0.0,0,0.0,smooth even-lag motif memory
3.8625,0.132,20,720,1313,6,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9999999999989999,0.5,0.0,0,0.0,smooth even-lag motif memory
3.8625,0.132,40,260,101,4,0.9156099837662339,0.13526383597973085,0.7663375270562771,0.0006539906615000482,0.0,0.5492691396921685,0.765683536394777,1.1474531642866826e-32,0.6234771825396825,0.9141457331385274,0,0.0,resonant phase-memory
3.8625,0.132,40,260,101,6,0.9156099837662339,0.13526383597973085,0.677749053030303,0.0,0.0,0.3877904108292093,0.677749053030303,6.535856311239093e-55,0.6601736111111112,0.9141457331385274,0,0.0,resonant phase-memory
3.8625,0.132,40,260,707,4,0.9400000000000001,0.1,0.865,0.0,0.0,0.625,0.865,8.941249609089966e-57,0.6499999999999999,0.0,0,0.0,resonant phase-memory
3.8625,0.132,40,260,707,6,0.9400000000000001,0.1,0.82,0.0,0.0,0.4812788300548,0.82,9.074233870640824e-103,0.7,0.0,0,0.0,resonant phase-memory
3.8625,0.132,40,260,1313,4,0.9400000000000001,0.1,0.85,0.0,0.0,0.6,0.85,1.3847109278119065e-70,0.6666666666666667,0.0,0,0.0,resonant phase-memory
3.8625,0.132,40,260,1313,6,0.9400000000000001,0.1,0.7899999999999999,0.0,0.0,0.4,0.7899999999999999,4.883633208221849e-141,0.7333333333333334,0.0,0,0.0,resonant phase-memory
3.8625,0.132,40,360,101,4,0.907150977718518,0.13965385646046174,0.7502467035652519,0.0011861116184627408,0.00021476373089276317,0.5371242903748461,0.7490605919467892,8.227587082685545e-32,0.6297785547785548,0.9269349702094991,1,0.008074557633682627,resonant phase-memory
3.8625,0.132,40,360,101,6,0.907150977718518,0.13965385646046174,0.6576712373647857,0.0,0.0,0.3700833252734274,0.6576712373647857,4.833711319749801e-54,0.6711305361305362,0.9269349702094991,1,0.007537679867089208,resonant phase-memory
3.8625,0.132,40,360,707,4,0.9400000000000001,0.1,0.865,0.0,0.0,0.625,0.865,8.941249609089966e-57,0.6499999999999999,0.0,0,0.0,resonant phase-memory
3.8625,0.132,40,360,707,6,0.9400000000000001,0.1,0.82,0.0,0.0,0.48125716702981,0.82,9.074233870640824e-103,0.7,0.0,0,0.0,resonant phase-memory
3.8625,0.132,40,360,1313,4,0.9400000000000001,0.1,0.85,0.0,0.0,0.6,0.85,1.3847109278119065e-70,0.6666666666666667,0.0,0,0.0,resonant phase-memory
