n,horizon,motif_size,runs,score_mean,score_std,motif_even_mean,parity_mean,smooth_mean,resonance_mean,frame_even_mean,wall_entropy_mean,cluster_lifetime_mean
20,260,4,3,0.0,0.0,0.9,0.9,0.33333333333299997,0.6111111111111112,0.96,0.0,0.0
20,260,6,3,0.0,0.0,0.87,0.87,0.33333333333299997,0.6444444444444445,0.96,0.0,0.0
20,360,4,3,0.0,0.0,0.9,0.9,0.33333333333299997,0.6111111111111112,0.96,0.0,0.0
20,360,6,3,0.0,0.0,0.87,0.87,0.33333333333299997,0.6444444444444445,0.96,0.0,0.0
20,520,4,3,0.0,0.0,0.9,0.9,0.33333333333299997,0.6111111111111112,0.96,0.0,0.0
20,520,6,3,0.0,0.0,0.87,0.87,0.33333333333299997,0.6444444444444445,0.96,0.0,0.0
20,720,4,3,0.0,0.0,0.9,0.9,0.33333333333299997,0.6111111111111112,0.96,0.0,0.0
20,720,6,3,0.0,0.0,0.87,0.87,0.33333333333299997,0.6444444444444445,0.96,0.0,0.0
40,260,4,3,0.0,0.0,0.8271125090187591,0.8268945121315924,3.8248438809556085e-33,0.6467146164021164,0.9318699945887446,0.30471524437950914,0.0
40,260,6,3,0.0,0.0,0.7625830176767675,0.7625830176767675,2.178618770413031e-55,0.6978356481481481,0.9318699945887446,0.30471524437950914,0.0
40,360,4,3,0.0026915192112275423,0.004661848023393812,0.8217489011884173,0.8213535306489298,2.7425290275618484e-32,0.6488150738150739,0.9290503259061728,0.3089783234031664,0.3333333333333333
40,360,6,3,0.002512559955696403,0.004351881500329177,0.7558904124549285,0.7558904124549285,1.611237106583267e-54,0.7014879564879566,0.9290503259061728,0.3089783234031664,0.3333333333333333
40,520,4,3,0.05980772046703233,0.10359001053377702,0.8214466269397563,0.8211794723434878,2.3532289596534217e-35,0.6564182833627278,0.9274634305341309,0.2064787499211411,49.333333333333336
40,520,6,3,0.056271153623245036,0.09746449707597393,0.7560403324740648,0.7560403324740648,2.7935644334578294e-61,0.7119415049970605,0.9274634305341309,0.2064787499211411,49.333333333333336
40,720,4,3,0.05304376618163064,0.09187449805138805,0.8329108027266415,0.8327351722447064,1.9940736829524325e-41,0.6593245252802562,0.9311828856505008,0.15332821821023365,116.0
40,720,6,3,0.055595959893542574,0.09629502723117732,0.7720713941628997,0.7720713941628997,8.615989951485999e-73,0.7161097765576147,0.9311828856505008,0.15332821821023365,116.0
80,260,4,3,0.08299014477652931,0.07678811813276107,0.7097025838744587,0.7081170084903853,6.005656336066208e-41,0.6890104166666667,0.8863878742784993,0.49688817852675354,22.0
80,260,6,3,0.07177937194691705,0.075393918978583,0.6238681006493506,0.6238467459613294,7.120455088570737e-70,0.7360069444444445,0.8863878742784993,0.49688817852675354,22.0
80,360,4,3,0.12085450278073433,0.08730062671425709,0.7337152884078287,0.7325861419347747,2.9141372357924383e-44,0.7099630924630924,0.8948342556301226,0.42234835536981463,88.66666666666667
80,360,6,3,0.10669808960995086,0.07567666888140331,0.6554916807542815,0.6554787406024837,1.0922170487227872e-75,0.7636344211344209,0.8948342556301226,0.42234835536981463,88.66666666666667
80,520,4,3,0.002336352757588364,0.0040466816805467,0.7695495269284609,0.7689335481007267,2.6504421856867034e-55,0.7024632569077013,0.907645111906803,0.4037407794698673,0.3333333333333333
80,520,6,3,0.002216688788718466,0.0038394176066286955,0.7020351002836044,0.7020271355559696,3.2258273061600247e-94,0.7565255731922399,0.907645111906803,0.4037407794698673,0.3333333333333333
80,720,4,3,0.002273893373559266,0.003938498853998845,0.7879909839988852,0.7875935327831575,3.0567855724930552e-61,0.697789979409746,0.914015120686789,0.40217866279668485,0.3333333333333333
80,720,6,3,0.002322208677279815,0.004022183414825959,0.7259366728159949,0.7259312877162186,1.682873628868932e-104,0.7523297491039426,0.914015120686789,0.40217866279668485,0.3333333333333333
