sigma,motif_size,partition,runs,parity_mean,parity_sd,parity_sem,motif_even_mean,motif_odd_mean,retention
0.0,4,fixed_half,12,0.8132481663698251,0.01679995064124637,0.004849728012548009,0.8133072720757989,5.910570597388722e-05,1.0
0.0,4,median,12,0.9965056229062615,0.002731021964665239,0.0007883781332311281,0.996515767221346,1.014431508447488e-05,1.0
0.0,6,fixed_half,12,0.7551065106350121,0.020219271566652864,0.005836800940912589,0.755110623443485,4.112808472794366e-06,1.0
0.0,6,median,12,0.995149997126695,0.0037729865965224194,0.0010891674135755343,0.9951508061413064,8.090146114184369e-07,1.0
0.001,4,fixed_half,12,0.7364508404016181,0.033381163745569126,0.009636311937183655,0.7364947019342581,4.386153264004226e-05,0.9055671698455655
0.001,4,median,12,0.9967373237152198,0.0028102777288973968,0.000811257301638261,0.9967441293131682,6.805597948523172e-06,1.0002325132981011
0.001,6,fixed_half,12,0.6468857665244249,0.040284459511808486,0.011629121771650604,0.6468881511155123,2.3845910875829306e-06,0.8566814845503342
0.001,6,median,12,0.9954959713692473,0.0038025415001869014,0.0010976991793688155,0.9954959713692473,0.0,1.000347660396474
0.003,4,fixed_half,12,0.746692815146421,0.032109080719014485,0.009269093198277217,0.7472359287694831,0.0005431136230620204,0.918161080497121
0.003,4,median,12,0.9865982489141499,0.005845886374026514,0.0016875620358480867,0.9866114865745857,1.3237660435917733e-05,0.9900578845072472
0.003,6,fixed_half,12,0.6496390833055039,0.04193592935088997,0.012105860049726726,0.6496553758681815,1.6292562677507583e-05,0.8603277473520727
0.003,6,median,12,0.9805393391884093,0.008486935630495017,0.0024499672854306617,0.9805393391884093,0.0,0.9853181349741534
0.01,4,fixed_half,12,0.3785654210593791,0.011617861902947103,0.003353787848537204,0.38602650115020026,0.007461080090821221,0.4654980321065074
0.01,4,median,12,0.7899898129092318,0.026474173967268238,0.007642435733287651,0.7923373305426559,0.002347517633424128,0.7927600153476945
0.01,6,fixed_half,12,0.24158092286193847,0.00965684987488615,0.0027876924373946613,0.24237575136053077,0.0007948284985922577,0.31992959861884823
0.01,6,median,12,0.7138951934514295,0.033570286818357796,0.00969090706567591,0.7141725627118732,0.00027736926044367327,0.7173744616516757
0.03,4,fixed_half,12,0.0007829768297272291,0.0006504774930104064,0.00018777667784567552,0.1315347469734928,0.13076095548865732,0.0009627772457480954
0.03,4,median,12,0.0017284797215461549,0.0008020964726651302,0.00023154530720463108,0.06315803372500495,0.06142955400345879,0.0017345408614003858
0.03,6,fixed_half,12,0.000422763414897857,0.0003400993081518614,9.817821355634133e-05,0.04838232050434146,0.04799545604666642,0.0005598725596238485
0.03,6,median,12,0.0006186992343183653,0.0003172856815189501,9.159248681748986e-05,0.015895816719030474,0.01527711748471211,0.0006217145516803907
0.05,4,fixed_half,12,0.0002827434137628639,0.00039162398187792506,0.00011305210567916658,0.13111470832235603,0.13099926795892086,0.00034767175070922463
0.05,4,median,12,0.00021677622947936215,0.00027857746405533806,8.041838693125636e-05,0.06310834941109437,0.06297881242892078,0.00021753638363539236
0.05,6,fixed_half,12,0.00012948472802823177,0.00023552962213608085,6.799154537119857e-05,0.04831285053251905,0.04827884921894716,0.00017147875988956932
0.05,6,median,12,0.000144122569998239,0.00011541426575260908,3.3317228700295924e-05,0.015895725061455902,0.015786907969056112,0.0001448249715262677
