r,epsilon,n,horizon,seed,motif_size,frame_even,motif_even,motif_odd,parity,wall_entropy,max_cluster_lifetime,atlas_score,motif_entropy,transition_entropy,motif_repeat_rate
3.8625,0.132,160,2880,17,4,0.9116260617143537,0.796156721213696,9.806941156591316e-05,0.7960586518021301,0.3005897549864382,3,0.007087760119831334,0.5949953580708084,0.5382936791184264,9.76901701979854e-05
3.8625,0.132,160,2880,17,6,0.9116260617143537,0.740498396181386,4.053495429738904e-06,0.7404943426859563,0.3005897549864382,3,0.007087760119831334,0.5657719187784997,0.5158474094613087,2.1708926710663426e-06
3.8625,0.132,160,2880,42,4,0.9217123200286069,0.815657951518889,1.1739779803583238e-05,0.8156462117390854,0.2054130501901856,2,0.004278652377383186,0.5876095117273163,0.5159013570466179,6.5126780131990274e-06
3.8625,0.132,160,2880,42,6,0.9217123200286069,0.7557505123854538,0.0,0.7557505123854538,0.2054130501901856,2,0.004278652377383186,0.5878103990007424,0.5405802334213246,0.0
3.8625,0.132,160,2880,73,4,0.9150799218788246,0.7901871830817203,7.626911918067928e-06,0.7901795561698023,0.20896905569793914,1,0.0021944891091566316,0.6137368719048134,0.5433725011899817,8.68357068426537e-06
3.8625,0.132,160,2880,73,6,0.9150799218788246,0.7257341809320718,0.0,0.7257341809320718,0.20896905569793914,1,0.0021944891091566316,0.5861528566228875,0.5429903041925378,0.0
3.8625,0.132,160,2880,101,4,0.9156250123111157,0.8049267214997003,0.0,0.8049267214997003,0.069793400016137,2,0.003954778901680612,0.6741469518895289,0.6007927420359274,0.0
3.8625,0.132,160,2880,101,6,0.9156250123111157,0.7505059155120106,0.0,0.7505059155120106,0.069793400016137,2,0.003954778901680612,0.6778937930348061,0.6604177655420265,0.0
3.8625,0.132,160,2880,137,4,0.9231227121628386,0.8180975167151641,0.0,0.8180975167151641,0.023450511323838935,1,0.0018574297894918938,0.6602063415441303,0.5927704135999823,0.0
3.8625,0.132,160,2880,137,6,0.9231227121628386,0.7618337743033013,0.0,0.7618337743033013,0.023450511323838935,1,0.0018574297894918938,0.6645301341880901,0.650096480192787,0.0
3.8625,0.132,160,2880,173,4,0.9025000000000001,0.7675000000000001,0.0,0.7675000000000001,2.426862877714591e-33,2,0.003909583333333333,0.814737740608821,0.7624967446426762,0.0
3.8625,0.132,160,2880,173,6,0.9025000000000001,0.7,0.0,0.7,2.426862877714591e-33,2,0.003909583333333333,0.7807819192861748,0.7954503982297477,0.0
3.8625,0.132,160,2880,211,4,0.9169307175538141,0.7990571820411867,7.184629119765154e-05,0.7989853357499891,0.20760605211683733,3,0.0065355179831683525,0.5804382948472763,0.5222751023686031,1.5196248697464398e-05
3.8625,0.132,160,2880,211,6,0.9169307175538141,0.7363432475947396,1.4037267945598407e-06,0.736341843867945,0.20760605211683733,3,0.0065355179831683525,0.5447882351197965,0.5037747802368485,0.0
3.8625,0.132,160,2880,257,4,0.9362486249686113,0.8461487156232661,8.756567425569176e-07,0.8461478399665235,0.022528293926375512,1,0.001770277610432996,0.6207509762557307,0.5235416143741216,2.1708926710663426e-06
3.8625,0.132,160,2880,257,6,0.9362486249686113,0.7898382184995432,0.0,0.7898382184995432,0.022528293926375512,1,0.001770277610432996,0.6281379662975355,0.5924232239478391,0.0
3.8625,0.132,160,2880,307,4,0.9230356543173294,0.8121994344220598,0.0,0.8121994344220598,0.03714498793386609,1,0.0018784253008900832,0.5842527644559806,0.544151986671002,0.0
3.8625,0.132,160,2880,307,6,0.9230356543173294,0.7520986433980246,0.0,0.7520986433980246,0.03714498793386609,1,0.0018784253008900832,0.5969839337484771,0.5940543708008776,0.0
3.8625,0.132,160,2880,359,4,0.9021659034389742,0.771290755831978,1.1105560225152325e-05,0.7712796502717529,0.14625204816998716,1,0.0021911038495833896,0.6174419825351111,0.5709293780500162,2.3879819381729767e-05
3.8625,0.132,160,2880,359,6,0.9021659034389742,0.7067505871033253,0.0,0.7067505871033253,0.14625204816998716,1,0.0021911038495833896,0.5854709131935665,0.5593447249229774,2.1708926710663426e-06
3.8625,0.132,160,2880,401,4,0.924070742279665,0.8175570464664086,2.184809586133865e-05,0.8175351983705472,0.5122272409904635,0,0.0,0.570186974952295,0.5020201015085792,1.736714136853074e-05
3.8625,0.132,160,2880,401,6,0.924070742279665,0.7590181236323047,9.158277170394276e-07,0.7590172078045877,0.5122272409904635,0,0.0,0.530879578922301,0.4739893106075168,0.0
3.8625,0.132,160,2880,457,4,0.9534980989576247,0.8832137925501824,9.905697472959695e-06,0.8832038868527095,0.4728005031978427,0,0.0,0.4951384694795272,0.40468854688573275,8.68357068426537e-06
3.8625,0.132,160,2880,457,6,0.9534980989576247,0.8402788907639603,0.0,0.8402788907639603,0.4728005031978427,0,0.0,0.4741555769991218,0.4160307865843628,0.0
3.8625,0.132,240,2880,17,4,0.9049103683833785,0.7767543195396718,3.85294201257702e-05,0.7767157901195461,0.28494941723691336,1,0.002391460236802551,0.6082397425411691,0.5531697903452649,2.7497973833507006e-05
3.8625,0.132,240,2880,17,6,0.9049103683833785,0.7167051966549142,3.080714725816389e-07,0.7167048885834416,0.28494941723691336,1,0.002391460236802551,0.5731334656234383,0.5235086214064046,1.447261780710895e-06
3.8625,0.132,240,2880,42,4,0.9211385088062402,0.812170108248601,2.918855808523059e-07,0.8121698163630202,0.10323937230747449,2,0.003980421685681131,0.5852885572183416,0.547516068462857,2.89452356142179e-06
3.8625,0.132,240,2880,42,6,0.9211385088062402,0.7558086221844728,0.0,0.7558086221844728,0.10323937230747449,2,0.003980421685681131,0.5977239112237825,0.5938722879130066,0.0
3.8625,0.132,240,2880,73,4,0.9252770463903952,0.8206671840790462,5.0667154702286254e-05,0.8206165169243439,0.3479008911337219,0,0.0,0.5827539479863112,0.5064754162881213,4.052332985990506e-05
3.8625,0.132,240,2880,73,6,0.9252770463903952,0.7604587441111978,3.1387319522912743e-07,0.7604584302380026,0.3479008911337219,0,0.0,0.5512354126245222,0.5005424422913418,1.447261780710895e-06
