r,epsilon,runs,atlas_score_mean,atlas_score_std,motif_even_mean,motif_odd_mean,frame_even_mean,parity_mean,smooth_mean,resonance_mean,wall_entropy_mean,cluster_lifetime_mean
3.855,0.122,4,0.009758240191158722,0.011693113917345753,0.7160735263560364,6.915006547722029e-05,0.912537939714855,0.7160043762905591,1.5559809959681853e-56,0.7085246541093315,0.5910386211998626,1.5
3.855,0.1245,4,0.0,0.0,0.7887881634494538,0.0,0.9206533385968869,0.7887881634494538,3.461777319529766e-71,0.7264815963606286,0.14346257883679697,0.0
3.855,0.127,4,0.0858538174648943,0.0777316306658848,0.6819905245124499,0.0005000073655912603,0.9000949975763485,0.6814905171468587,5.193698682571004e-17,0.6669405594405595,0.52675952388553,17.5
3.855,0.1295,4,0.0031093665371716784,0.003592089424436544,0.6865074502950006,0.0003407213392463514,0.8989289338014136,0.6861667289557543,1.2837710122991965e-63,0.704165985224453,0.537830901925865,0.5
3.855,0.132,4,0.020644109744649843,0.007000225761545742,0.6057763377415595,0.001136894955158063,0.8729456299748639,0.6046394427864015,8.770541835702323e-31,0.6423285603285603,0.7270206012143069,4.0
3.855,0.1345,4,0.020753141626761607,0.013036981988581676,0.5995839829693157,0.0012108847118248599,0.8799392442235183,0.5983730982574909,1.3386530460950354e-19,0.6853324326882795,0.798214742035265,3.5
3.855,0.137,4,0.014807191637638908,0.019299548429494492,0.6759536177028617,0.0005686321611009482,0.9154421683826925,0.6753849855417607,9.056571337832448e-05,0.5532713451423128,0.8679870255732587,3.0
3.8575,0.122,4,0.0,0.0,0.8211576090240404,2.9748129905239096e-05,0.944388100474794,0.8211278608941353,1.0335057960593315e-16,0.6565165613955937,0.5336417084864987,0.0
3.8575,0.1245,4,0.008412922735270943,0.01012519397909289,0.6985251509243444,0.00017318502671413372,0.8926913429312622,0.6983519658976303,1.6148874015974082e-86,0.7727079170829171,0.287745406873515,1.5
3.8575,0.127,4,0.01804001096180039,0.004772462564962924,0.6429873510226334,8.354526661507992e-05,0.8807808560726909,0.6429038057560182,2.459830670524325e-66,0.7546932234432234,0.44397976177746645,3.0
3.8575,0.1295,4,0.06687114939006308,0.08480336013865812,0.7052457384685208,0.00042119486152261806,0.901960877160474,0.7048245436069982,5.873024477238055e-39,0.6898969941348974,0.29299780087585897,27.0
3.8575,0.132,4,0.0,0.0,0.7771831238318133,7.526792725101293e-05,0.9257414091285059,0.7771078559045623,3.403155466667024e-52,0.7059583779795473,0.493211189940825,0.0
3.8575,0.1345,4,0.015462336160429128,0.013590193525863907,0.5580538845395197,0.0012670614071476501,0.8652059607059608,0.556786823132372,1.6008362649092644e-28,0.6837832574883069,0.6371210428293143,3.0
3.8575,0.137,4,0.031144712432970234,0.021406647418651475,0.5997790818052915,0.0027799234778225603,0.8806787835820094,0.5969991583274689,0.0033972718227429526,0.5539937466818904,0.7834932039684517,8.5
3.86,0.122,4,0.012620448300852908,0.020934039703698046,0.5646797053752699,0.0019123446330788678,0.8636392854457371,0.562767360742191,2.4278444040534597e-22,0.636056651847313,0.7400312368205655,7.0
3.86,0.1245,4,0.022386339151393028,0.020481264075199488,0.7224463073888477,0.0007162581553323811,0.9037769889720495,0.7217300492335154,3.53623988268085e-65,0.7145956127206128,0.26225917914560715,3.5
3.86,0.127,4,0.0067387361603871935,0.007985989505368572,0.7243045966130643,0.0005392402104432658,0.9056192814242209,0.7237653564026211,1.6148874015974082e-86,0.7323572261072262,0.3722432487943568,1.0
3.86,0.1295,4,0.0,0.0,0.7961835526704478,4.0865103374504855e-05,0.9245448966356224,0.7961426875670733,7.89455296679335e-55,0.6930848005041553,0.9266086857805182,0.0
3.86,0.132,4,0.07851067903723777,0.09310743543808672,0.7132958956366214,3.927729772191673e-05,0.9058419874816044,0.7132566183388995,2.8037444161873883e-20,0.7084003496503497,0.5197246382116861,67.5
3.86,0.1345,4,0.006043759399137623,0.0013877054259298879,0.6369036459172548,3.7313432835820897e-06,0.880457705265165,0.6368999145739712,5.420215915823912e-180,0.8668065268065268,0.3126923036358593,1.0
3.86,0.137,4,0.01205150475633833,0.01514012094847471,0.69550002769408,0.0012895718084416253,0.905458352635268,0.6942104558856385,0.0016332782601984328,0.5855172381382059,0.81821755996288,2.5
3.8625,0.122,4,0.013421779525897164,0.007629387894156333,0.6457579662441053,4.9162084315265776e-05,0.8877596578488716,0.64570880415979,1.0953779408458533e-54,0.7679662004662005,0.6450592250722876,2.0
3.8625,0.1245,4,0.010313772906722238,0.011921755080846206,0.7144076939525528,6.276800023770658e-05,0.9016815608786375,0.7143449259523151,4.52089903888946e-59,0.7216744973776223,0.36916817278027136,1.5
3.8625,0.127,4,0.009807090798084454,0.011489632966788194,0.751400750794904,0.0008307367888354333,0.9085522536938868,0.7505700140060686,2.2353124022982548e-57,0.6915515734265734,0.2320132281473852,1.5
3.8625,0.1295,4,0.009868917118174223,0.011400978026021611,0.7466088312728938,2.742864624247185e-05,0.915341688889068,0.7465814026266513,1.3491237798671903e-47,0.7244549200799202,0.44683980229249365,1.5
3.8625,0.132,4,0.08898592304867908,0.10284899432482648,0.7734174048397838,0.00011070595758299457,0.9220039107397979,0.7733066988822008,5.6246258225749104e-21,0.6741870629370629,0.33741170384154967,30.5
3.8625,0.1345,4,0.018946154340274322,0.021969490888322833,0.6810504771606082,0.0004746538293403631,0.9008482604425144,0.6805758233312679,0.2763408448060223,0.7061309308970598,0.4868791729449655,3.0
3.8625,0.137,4,0.012914978781176041,0.015778229449411117,0.7184112446693092,0.00034330486325271633,0.9185341929575801,0.7180679398060565,0.0001061907367253353,0.6397642773892773,0.6911219700411244,2.0
3.865,0.122,4,0.012322422299710256,0.007221884395760093,0.6921507429902087,0.0,0.9123120409496418,0.6921507429902087,2.572581975131237e-81,0.746793414918415,0.38209583082321474,2.0
3.865,0.1245,4,0.008860109447910658,0.010971221096931409,0.6604443737546056,3.554595443833464e-05,0.8958666761665753,0.6604088278001673,2.317043951164258e-12,0.7907598651348651,0.510095758769551,1.5
3.865,0.127,4,0.0875056843357082,0.09393455332902582,0.7072487285060369,0.00026647353592833354,0.8919930111890797,0.7069822549701087,2.53732202807504e-44,0.7379731206293707,0.3419687477679578,48.0
3.865,0.1295,4,0.04067261011186933,0.047117411150419994,0.7566056592936633,0.0023491713998432923,0.9081646211651252,0.75425648789382,9.121963158149108e-09,0.6524811993561994,0.7453153443462758,5.5
3.865,0.132,4,0.024250901616726363,0.02843568778113149,0.7235766149173407,0.0001950137699331261,0.9159795983586307,0.7233816011474076,3.2655090591915007e-42,0.683732987442665,0.7425574620219617,3.5
