r,epsilon,n,horizon,seed,motif_size,frame_even,motif_even,parity,wall_entropy,cluster_lifetime,atlas_score,motif_repeat_rate,transition_entropy
3.8625,0.132,320,720,17,4,0.9137540230881431,0.7905882571480994,0.7903125256232374,0.2839617370948877,3,0.0069598865022113664,0.00026947148817802505,0.8504986859522188
3.8625,0.132,320,720,17,6,0.9137540230881431,0.7277765690144848,0.7277586042142314,0.2839617370948877,3,0.0069598865022113664,1.303894297635605e-05,0.8672466436630154
3.8625,0.132,320,1440,17,4,0.9173464641210456,0.8018934165028446,0.8017527987439769,0.2603476076743621,2,0.004511255585623404,0.00014767199444058374,0.8468516840909636
3.8625,0.132,320,1440,17,6,0.9173464641210456,0.7421347338719682,0.7421257380592235,0.2603476076743621,2,0.004511255585623404,8.686587908269631e-06,0.8654293630663055
3.8625,0.132,320,2880,17,4,0.9199088827967945,0.8094873161646792,0.8094199943199688,0.21252338753578498,2,0.004327130678496753,7.381035081625564e-05,0.8447520499043114
3.8625,0.132,320,2880,17,6,0.9199088827967945,0.7515829586635336,0.7515786585219454,0.21252338753578498,2,0.004327130678496753,4.341785342132685e-06,0.8645333082551974
3.8625,0.132,320,720,42,4,0.923613474291893,0.8129272067008765,0.8129263074203009,0.2390803931040054,1,0.0021751917005802123,8.692628650904034e-06,0.8301193373420387
3.8625,0.132,320,720,42,6,0.923613474291893,0.7533314851733645,0.7533314851733645,0.2390803931040054,1,0.0021751917005802123,0.0,0.8503140067077879
3.8625,0.132,320,1440,42,4,0.9238662733624438,0.8137424806642268,0.8137420389681137,0.1766754523276438,1,0.0020804435101004657,4.343293954134816e-06,0.8299134571101683
3.8625,0.132,320,1440,42,6,0.9238662733624438,0.7544468376642277,0.7544468376642277,0.1766754523276438,1,0.0020804435101004657,0.0,0.8500640924234252
3.8625,0.132,320,2880,42,4,0.9239699620509642,0.8140767438036735,0.8140765248894878,0.13500638954484678,1,0.002017734365302067,2.1708926710663426e-06,0.8298106491083247
3.8625,0.132,320,2880,42,6,0.9239699620509642,0.7549042921976562,0.7549042921976562,0.13500638954484678,1,0.002017734365302067,0.0,0.8499393905715361
3.8625,0.132,320,720,73,4,0.9180908087709991,0.7971980742814431,0.7970124175936841,0.3847599665947193,3,0.007315898520650405,0.00014777468706536856,0.8146816200792296
3.8625,0.132,320,720,73,6,0.9180908087709991,0.7298579418604147,0.7298560735875912,0.3847599665947193,3,0.007315898520650405,8.692628650904034e-06,0.8383509570602649
3.8625,0.132,320,1440,73,4,0.9246448268675428,0.8162072577689777,0.8161229944909958,0.36810774209843283,0,0.0,7.383599722029187e-05,0.8102574831162183
3.8625,0.132,320,1440,73,6,0.9246448268675428,0.7550044753432156,0.7550035757716447,0.36810774209843283,0,0.0,4.343293954134816e-06,0.8334488038924311
3.8625,0.132,320,2880,73,4,0.9273161420325791,0.8241680625968124,0.8241276719665295,0.3550032854482417,0,0.0,3.690517540812782e-05,0.808083282036687
3.8625,0.132,320,2880,73,6,0.9273161420325791,0.7655838193628912,0.7655833776323063,0.3550032854482417,0,0.0,2.1708926710663426e-06,0.8310729037601119
3.8625,0.132,320,720,101,4,0.9240030937788493,0.8144340511644762,0.8144139604397005,0.28992474351479935,1,0.0022477819037645098,2.60778859527121e-05,0.8377702160839595
3.8625,0.132,320,720,101,6,0.9240030937788493,0.7594660434092714,0.7594651441286958,0.28992474351479935,1,0.0022477819037645098,0.0,0.8675773240040007
