r,epsilon,n,horizon,seed,motif_size,frame_even,frame_odd,motif_even,motif_odd,comp_even,parity,wall_spectral_entropy,max_cluster_lifetime,atlas_score
3.8625,0,20,360,101,4,0.5183695806881291,0.5190922880561362,0.07058860091521382,0.07544007121560563,0.05415436512412318,0.0,0.9260925740054637,3,0.0
3.8625,0,20,360,101,6,0.5183695806881291,0.5190922880561362,0.017502789549160517,0.021370760642141697,0.011510204177542888,0.0,0.9260925740054637,3,0.0
3.8625,0,20,360,707,4,0.5243597598637921,0.5166284496125548,0.0760013165597843,0.07481226847010472,0.05230905452074808,0.0011890480896795813,0.9173234558754918,4,0.0
3.8625,0,20,360,707,6,0.5243597598637921,0.5166284496125548,0.02062354580902968,0.021831127980782843,0.012531986830373926,0.0,0.9173234558754918,4,0.0
3.8625,0,20,360,1313,4,0.5159503413253413,0.5161047235666414,0.07198708415240673,0.07124457987428688,0.055134146767211276,0.0007425042781198515,0.9171489677488175,5,0.0
3.8625,0,20,360,1313,6,0.5159503413253413,0.5161047235666414,0.018601563087450184,0.01901544943850772,0.012298679143437208,0.0,0.9171489677488175,5,0.0
3.8625,0,20,720,101,4,0.5248893087773462,0.5171255888553901,0.07523897970184258,0.07133470034040046,0.05137608911157108,0.003904279361442123,0.9289846537285835,9,0.0
3.8625,0,20,720,101,6,0.5248893087773462,0.5171255888553901,0.020390444344208065,0.020261661724066855,0.011025940632284658,0.0001287826201412101,0.9289846537285835,9,0.0
3.8625,0,20,720,707,4,0.5232772752157341,0.523655191014036,0.07393674844401474,0.07713780015351349,0.05147868972792804,0.0,0.913747328043145,6,0.0
3.8625,0,20,720,707,6,0.5232772752157341,0.523655191014036,0.01864119936926285,0.021780439918710738,0.011608990820422105,0.0,0.913747328043145,6,0.0
3.8625,0,20,720,1313,4,0.5176607288741977,0.5189064009115663,0.07062127340713839,0.07173931751527249,0.05378584649768754,0.0,0.9233423589608772,6,0.0
3.8625,0,20,720,1313,6,0.5176607288741977,0.5189064009115663,0.01823519328200403,0.019212125662536352,0.012084416954875063,0.0,0.9233423589608772,6,0.0
3.8625,0,30,360,101,4,0.5185574322630775,0.5152109973511366,0.07297590715735877,0.07327186017280896,0.052514936676226996,0.0,0.9316271380584991,7,0.0
