n,horizon,motif_size,runs,parity_mean,score_mean,motif_even_mean,wall_entropy_mean
20,360,4,3,0.0006438507892664777,0.0,0.07285900054246829,0.9201883325432577
20,360,6,3,0.0,0.0,0.018909299481880127,0.9201883325432577
20,720,4,3,0.0013014264538140409,0.0,0.0732656671843319,0.922024780244202
20,720,6,3,4.2927540047070036e-05,0.0,0.019088945665158317,0.922024780244202
30,360,4,3,0.0009118206574804805,0.0,0.0744273769838286,0.9231836157288947
30,360,6,3,0.0006973743906504593,0.0,0.020274436435726757,0.9231836157288947
30,720,4,3,0.002355631909140015,0.0,0.07523373786645147,0.9242808839401201
30,720,6,3,0.0005159764571477168,0.0,0.020329260664328903,0.9242808839401201
40,360,4,3,0.0011001689082029975,0.0,0.07453673331596718,0.9126602054493661
40,360,6,3,0.00014605422830087783,0.0,0.020377613314105255,0.9126602054493661
40,720,4,3,0.00243239802649343,0.0,0.07514368234634715,0.9237113216597841
40,720,6,3,0.0008090922928013777,0.0,0.020271813596763683,0.9237113216597841
60,360,4,3,0.00010508239794395265,0.0,0.07404680258510904,0.9059804316442945
60,360,6,3,0.0001381269397125913,0.0,0.01999180762487214,0.9059804316442945
60,720,4,3,0.00206736851022217,0.0,0.07512324969635278,0.918836406767118
60,720,6,3,0.00044150303412455555,0.0,0.020300816821361114,0.918836406767118
80,360,4,3,0.0,0.0,0.07319913716435894,0.908093131040601
80,360,6,3,1.033482278853711e-05,0.0,0.019481996498125532,0.908093131040601
80,720,4,3,0.0017100420531939258,0.0,0.07467655700060316,0.9188162512859416
80,720,6,3,0.00027343564445192134,0.0,0.0200403023307258,0.9188162512859416
120,360,4,3,0.0008848275044151763,0.0,0.07367958885499208,0.911884538078878
120,360,6,3,0.000553454245116968,0.0,0.019824116183995214,0.911884538078878
120,720,4,3,0.001639322997377744,0.0,0.07454573155616147,0.9225924049477476
120,720,6,3,0.00027567606836644806,0.0,0.020063141232181947,0.9225924049477476
160,360,4,3,0.001253163844551768,0.0,0.07409879051839736,0.9148433127646154
160,360,6,3,0.0006738754435414371,0.0,0.020102127655051042,0.9148433127646154
160,720,4,3,0.0014748206254772828,0.0,0.07453676766366799,0.9206227291942467
160,720,6,3,0.00022638031202094322,0.0,0.020169683915307778,0.9206227291942467
240,360,4,3,0.0014273247179691962,0.0,0.07391674068538988,0.9179208718435042
240,360,6,3,0.0007086700671873209,0.0,0.02009185029799949,0.9179208718435042
240,720,4,3,0.0015735103655645695,0.0,0.07447765359572572,0.9212798569871481
240,720,6,3,0.0005389411263412811,0.0,0.02029341539548016,0.9212798569871481
