r,epsilon,score_mean,parity_mean,local_score_mean,local_score_std,local_parity_mean,local_parity_std,positive_runs,neighborhood_runs
3.84,0.1,0.0127550358497855,0.6113623720553689,0.0103215751237206,0.003441433162303261,0.6306812303890059,0.02732099146499402,2,2
3.84,0.11,0.0078881143976557,0.650000088722643,0.0080642855900088,0.00460519263683017,0.6730630423586398,0.07590699733755349,3,3
3.84,0.12,0.0035497065225852,0.7578266662979077,0.00571891046012045,0.0030677176280154705,0.7039133775102754,0.07624490419560699,2,2
3.84,0.13,0.0155802484971487,0.6887972468892332,0.0155802484971487,,0.6887972468892332,,1,1
3.84,0.14,0.0124010679405423,0.6008269905878204,0.00897258090762215,0.004848612860375969,0.5496936495460506,0.07231346439071967,2,2
3.84,0.15,0.005544093874702,0.4985603085042808,0.00897258090762215,0.004848612860375969,0.5496936495460506,0.07231346439071967,2,2
3.84,0.16,0.0007486988736125,0.2442763426478977,0.0007486988736125,,0.2442763426478977,,1,1
3.85,0.1,0.0076689904763504,0.4992279110072887,0.012378381952639274,0.011336207302544641,0.5377832895817191,0.12566073702978173,4,4
3.85,0.11,0.0082875294803253,0.6329480266366336,0.011940120150433916,0.0088497134446465,0.6005670605618022,0.13850821135859662,6,6
3.85,0.12,0.0096936565189201,0.75112597897896,0.014900187098902248,0.009678235967620592,0.681852788639518,0.05518271847827764,4,4
3.85,0.13,0.001859583158319,0.7581783614200518,0.025400499407745452,0.033291883030628064,0.7318658306234855,0.03721153791286366,2,2
3.85,0.14,0.0112143370117599,0.6364886456286271,0.010420091433474575,0.003388832276131946,0.6070381545207825,0.04887011166558632,4,4
3.85,0.15,0.0077476837870032,0.6033942772220693,0.010420091433474575,0.003388832276131946,0.6070381545207825,0.04887011166558632,4,4
3.85,0.16,0.0016697703007189,0.3105472210067309,0.00258103076543655,0.0012887169080581101,0.321902441078575,0.016058706229333135,2,2
3.86,0.1,0.0043709820306441,0.3767632978054527,0.013003824121571398,0.011065120999008766,0.5304617124193839,0.13030120117004385,6,6
3.86,0.11,0.0291860258232373,0.6421939228775013,0.01213588940068169,0.008889175865386501,0.5900933350270532,0.1377665201449167,9,9
3.86,0.12,0.0124335365731263,0.7011432260649769,0.015577177656853883,0.009055496174830773,0.6758030796982402,0.044423538152613795,6,6
3.86,0.13,0.0489414156571719,0.7055532998269194,0.017919630359360967,0.02687126612237952,0.7384360128326645,0.028667946555442015,3,3
3.86,0.14,0.0148887770872474,0.648684199199038,0.01212101763907285,0.005416635872851767,0.6107209681129998,0.04815157404322135,6,6
3.86,0.15,0.0078295678478878,0.5395854960333955,0.01212101763907285,0.005416635872851767,0.6107209681129998,0.04815157404322135,6,6
3.86,0.16,0.0034922912301542,0.3332576611504191,0.0026489314119785665,0.0009188183324030379,0.32997944892823394,0.01801819053874077,3,3
3.8625,0.1,0.0037199661580174,0.3800303282412963,0.015971927756176882,0.013311192464576876,0.5150960351542504,0.1389126069093275,6,6
3.8625,0.11,0.0247894507608539,0.6516067879481308,0.013847839282371887,0.011072385279216444,0.559336438360861,0.1332062889628688,9,9
3.8625,0.12,0.0090728667846604,0.6758005356832375,0.01880554725307585,0.010373750553112186,0.6445662621862635,0.04589726651707169,6,6
3.8625,0.13,0.002957892262592,0.7515763772510224,0.0178515013887547,0.026932532950703577,0.7351935540428278,0.025716736215730476,3,3
3.8625,0.14,0.0217489992179534,0.6642669459896839,0.016547797428648234,0.012659014169715857,0.609499562426515,0.07732204050656707,6,6
3.8625,0.15,0.0092967408825854,0.5719062446051854,0.016547797428648234,0.012659014169715857,0.609499562426515,0.07732204050656707,6,6
3.8625,0.16,0.0027847327050626,0.3461334646275518,0.0028117631270281663,0.0006674235394927501,0.3386266181565214,0.006698843729974857,3,3
3.87,0.1,0.0037063218342304,0.4098367460834194,0.014442961265891799,0.012772939870432687,0.48029180481871386,0.13071070957149722,6,6
3.87,0.11,0.0300588199300782,0.6301451279697023,0.015156265972566989,0.012499291334321563,0.528044110437359,0.12868487161571368,9,9
3.87,0.12,0.007292583646499,0.5665079725740317,0.0212303151752022,0.010796137275140292,0.6029712190769863,0.07654903204977076,6,6
3.87,0.13,0.0016551962465002,0.7484509850505415,0.010637269902002033,0.014443933801673475,0.7349794850038022,0.026086839219408988,3,3
3.87,0.14,0.0395786999873252,0.7136566043703793,0.014645912213796068,0.013760325794502502,0.6198172715881917,0.08020561815395955,6,6
3.87,0.15,0.0059439995488902,0.5188978843614083,0.014645912213796068,0.013760325794502502,0.6198172715881917,0.08020561815395955,6,6
3.87,0.16,0.0021582654458677,0.3364887286915933,0.0022547707791294,0.0004889056862101141,0.3528526840496357,0.02056404510951053,3,3
3.88,0.1,0.0015982147096419,0.3447026051495981,0.014537087669119875,0.014067362422719795,0.46252842818071394,0.12215169620185558,4,4
