r,epsilon,seed,n,horizon,motif_size,frame_even,motif_even,parity,wall_entropy,cluster_lifetime,score
3.84,0.1,101,80,360,4,0.8643063544318584,0.5755328416543135,0.5728869312238182,0.8426305887857184,4,0.008667953211650934
3.84,0.1,707,80,360,4,0.9108638307257259,0.6940274928364647,0.693196738572649,0.8328096181826818,6,0.018906446414991195
3.84,0.1,1313,80,360,4,0.8670507932927288,0.5695722207899627,0.5680034463696397,0.9016758980412952,5,0.010690707922714482
3.84,0.11,101,80,360,4,0.9054767631561986,0.7265370355451001,0.7264789511449105,0.7698120310086582,2,0.006309756518727795
3.84,0.11,707,80,360,4,0.8652101344555982,0.6165181864506462,0.6161942871221924,0.7572789673961623,4,0.010533157458212886
3.84,0.11,1313,80,360,4,0.8628614483634645,0.6074365372530696,0.6073270279008265,0.5604548726129552,3,0.0068214292160265165
3.84,0.12,101,80,360,4,0.8896378842931263,0.7235528228491938,0.7226820347607091,0.3219728714543332,3,0.007722061535356281
3.84,0.12,707,80,360,4,0.9377580811325771,0.8419834416255787,0.8419834416255787,0.668586262059101,0,0.0
3.84,0.12,1313,80,360,4,0.8846997778766932,0.7090107328827088,0.7088145225074357,0.5068732342007636,1,0.002927058032399344
3.84,0.13,101,80,360,4,0.8771525030748821,0.623847156371854,0.6215721622354669,0.8468342676034619,6,0.016495280506018416
3.84,0.13,707,80,360,4,0.8794961318923011,0.6575599361995532,0.6554324611203892,0.733461075975801,7,0.021168901178989726
3.84,0.13,1313,80,360,4,0.924795812554381,0.7894266120304426,0.7893871173118434,0.8188466557186596,3,0.00907656380643797
3.84,0.14,101,80,360,4,0.8612925389462689,0.582005897328478,0.5748377677993399,0.8914674813570851,5,0.011493589487156213
3.84,0.14,707,80,360,4,0.8786306534527301,0.6231201196317124,0.6169709179237787,0.8151266812255665,4,0.010639625908136403
3.84,0.14,1313,80,360,4,0.8756670485092863,0.6184760266615106,0.6106722860403425,0.7401844890603937,6,0.015069988426334446
3.84,0.15,101,80,360,4,0.823092700813971,0.5008386403582976,0.4699304627300501,0.34998718392341455,3,0.002999466765378316
3.84,0.15,707,80,360,4,0.7982915775420816,0.4284373949303385,0.39783669773634517,0.7999422580451985,3,0.0020232556928581054
3.84,0.15,1313,80,360,4,0.8792851835664335,0.6449215206836174,0.6279137650464472,0.4104805860942242,5,0.011609559165869698
3.84,0.16,101,80,360,4,0.85698725451296,0.6237135178329736,0.15478969783875524,0.6776141221213201,7,0.0
3.84,0.16,707,80,360,4,0.8066374057729904,0.49305282049939303,0.3009094052936439,0.38289650843178646,3,0.0011517369048253748
3.84,0.16,1313,80,360,4,0.8343432233089491,0.5578553467701654,0.27712992481129417,0.42148400560578525,3,0.0010943597160121702
3.85,0.1,101,80,360,4,0.8446313014942047,0.5348320459782153,0.5299488167912473,0.740296833741755,4,0.006646512782682822
3.85,0.1,707,80,360,4,0.8436754106108945,0.49986453717653323,0.4973392448654526,0.6866688876379491,4,0.005039780083470147
3.85,0.1,1313,80,360,4,0.8351475896415412,0.4734268038748886,0.4703956713651664,0.8724745069885157,10,0.011320678562898378
3.85,0.11,101,80,360,4,0.9221840610666217,0.7454928935312,0.7450377387976528,0.7287553642416175,3,0.00875618453131467
3.85,0.11,707,80,360,4,0.8423352883675465,0.5182021194531277,0.517775345417639,0.33445722872082156,2,0.002388121114664653
3.85,0.11,1313,80,360,4,0.886529968015855,0.6365087968147444,0.636030995694609,0.7595952685743206,5,0.01371828279499683
3.85,0.12,101,80,360,4,0.9129105143848089,0.7799761589217235,0.7799761589217235,0.18006988985585257,0,0.0
3.85,0.12,707,80,360,4,0.9084582233962275,0.7578360866284253,0.7578360866284253,0.26206763446256126,3,0.006982519512429277
3.85,0.12,1313,80,360,4,0.8915620624335343,0.7176405380573728,0.7155656913867313,0.6832117542245891,7,0.022098450044331204
3.85,0.13,101,80,360,4,0.9023852209618338,0.7591350536224528,0.7589191181017673,0.31757922475149775,1,0.002463647808131109
3.85,0.13,707,80,360,4,0.8868219307574146,0.7057688336529062,0.7053745846797934,0.6301472284363978,1,0.003115101666826079
3.85,0.13,1313,80,360,4,0.9208326171476374,0.8102501534084195,0.810241381478595,0.4782859983391764,0,0.0
3.85,0.14,101,80,360,4,0.8952427342482787,0.6595254255153449,0.6556601558482918,0.8631915269531467,3,0.009257205868454714
3.85,0.14,707,80,360,4,0.8895894431509351,0.6468648876325288,0.6432036888947226,0.7576393247808791,6,0.017037656999846638
3.85,0.14,1313,80,360,4,0.8801760972562385,0.6159478720204528,0.6106020921428666,0.7328486022252897,3,0.007348148166978366
3.85,0.15,101,80,360,4,0.8582132952732751,0.5809485370140612,0.562237392699651,0.7289209468230361,4,0.00824650466835649
3.85,0.15,707,80,360,4,0.852047444658836,0.5674925612022386,0.5493384410611384,0.7051915183609138,3,0.0057281153647330925
3.85,0.15,1313,80,360,4,0.9043609883060487,0.7082059044785859,0.6986069979054185,0.7213282043765304,3,0.009268431327920308
3.85,0.16,101,80,360,4,0.8741440155946204,0.6474469159872386,0.2706519192723509,0.5661276659363808,4,0.0017177947686126747
3.85,0.16,707,80,360,4,0.7956404578284618,0.4406524815909897,0.3497217618321039,0.62876164614271,3,0.0015267436662225649
3.85,0.16,1313,80,360,4,0.8522151848487534,0.582844138892022,0.311267981915738,0.5484603817041099,3,0.0017647724673214682
3.86,0.1,101,80,360,4,0.7740036225535217,0.3684990241613225,0.3537933066355368,0.8174926991747041,8,0.002672147336128592
3.86,0.1,707,80,360,4,0.809494219993716,0.43523963670737864,0.4274490686744864,0.7613061220284623,10,0.007736102031651722
3.86,0.1,1313,80,360,4,0.7714851787996949,0.36024242894202574,0.34904751810633505,0.8541460238132744,9,0.0027046967241521284
3.86,0.11,101,80,360,4,0.8515224835648223,0.59818178310265,0.5914045936018055,0.7239368712108915,41,0.05985545151355373
3.86,0.11,707,80,360,4,0.9086635991696476,0.7230805669464944,0.7210126482815608,0.87074157028957,3,0.009839123906121001
3.86,0.11,1313,80,360,4,0.8782235612170087,0.616115430436499,0.6141645267491376,0.7841909189561528,7,0.017863502050037196
3.86,0.12,101,80,360,4,0.916414541607586,0.7466875785504818,0.7464717944071267,0.6272881472478259,5,0.014114757149877411
3.86,0.12,707,80,360,4,0.9000161654541694,0.6966930020584254,0.6965977780048354,0.5370319525741338,4,0.011257251355278887
3.86,0.12,1313,80,360,4,0.8863674598251212,0.6606893623849268,0.6603601057829688,0.3407012355351892,5,0.011928601214222616
3.86,0.13,101,80,360,4,0.8600073548763065,0.6475664060401963,0.6466782010679964,0.25629383418736873,1,0.0023407398396732776
3.86,0.13,707,80,360,4,0.9148910101994779,0.7803254521016617,0.7798425367181597,0.5154994596206484,25,0.06665562369271762
3.86,0.13,1313,80,360,4,0.8795994709255798,0.6914087115841148,0.690139161694602,0.6259518782022646,59,0.07782788343912488
3.86,0.14,101,80,360,4,0.9105370258102112,0.7292601961210832,0.7272591389642455,0.7254042266256022,5,0.015164030752131394
3.86,0.14,707,80,360,4,0.8498282184885007,0.5422113681009851,0.5398248021296889,0.6625100973299636,7,0.01166816643633865
3.86,0.14,1313,80,360,4,0.8989686850447939,0.6807398450004297,0.6789686565031795,0.7032266901974615,6,0.01783413407327217
3.86,0.15,101,80,360,4,0.8560821552439496,0.5600380711358535,0.5472595919245802,0.7764977491193191,3,0.00568622775617757
3.86,0.15,707,80,360,4,0.8433315570518192,0.5374787948946215,0.5230356026425175,0.7788850282356395,6,0.010092230406371569
3.86,0.15,1313,80,360,4,0.8543870553169949,0.5639122574334268,0.5484612935330888,0.7661507747046866,4,0.007710245381114431
