r,epsilon,runs,score_mean,score_std,parity_mean,motif_even_mean,wall_entropy_mean,cluster_lifetime_mean
3.84,0.1,3,0.012755035849785537,0.005422432398064109,0.6113623720553689,0.6130441850935803,0.8590387016698985,5.0
3.84,0.11,3,0.007888114397655731,0.0023049168816773853,0.650000088722643,0.6501639197496053,0.6958486236725919,3.0
3.84,0.12,3,0.003549706522585208,0.003898503167332983,0.7578266662979077,0.7581823324524937,0.49914412257139923,1.3333333333333333
3.84,0.13,3,0.015580248497148704,0.006097878193752732,0.6887972468892332,0.6902779015339499,0.7997139997659741,5.333333333333333
3.84,0.14,3,0.012401067940542354,0.002350460777844124,0.6008269905878204,0.6078673478739004,0.8155928838810151,5.0
3.84,0.15,3,0.00554409387470204,0.005275476178820016,0.49856030850428085,0.5247325186574178,0.5201366760209457,3.6666666666666665
3.84,0.16,3,0.000748698873612515,0.0006490266080527924,0.24427634264789777,0.5582072283675107,0.49399821205296396,4.333333333333333
3.85,0.1,3,0.007668990476350449,0.0032629000755090352,0.49922791100728875,0.5027077956765457,0.76648007612274,6.0
3.85,0.11,3,0.008287529480325384,0.005679601138568645,0.6329480266366336,0.633401269933024,0.6076026205122532,3.3333333333333335
3.85,0.12,3,0.00969365651892016,0.011295931634505572,0.75112597897896,0.7518175945358405,0.375116426181001,3.3333333333333335
3.85,0.13,3,0.0018595831583190627,0.001643056655909974,0.7581783614200518,0.7583846802279263,0.47533748384235724,0.6666666666666666
3.85,0.14,3,0.011214337011759905,0.005132681276840535,0.6364886456286271,0.6407793950561088,0.7845598179864385,4.0
3.85,0.15,3,0.007747683787003297,0.001822107566406286,0.6033942772220693,0.6188823342316286,0.7184802231868268,3.3333333333333335
3.85,0.16,3,0.0016697703007189028,0.0001260721605887092,0.31054722100673093,0.5569811788234168,0.5811165645944002,3.3333333333333335
3.86,0.1,3,0.004370982030644147,0.002914324850038357,0.37676329780545276,0.3879936966035757,0.8109816150054803,9.0
3.86,0.11,3,0.029186025823237306,0.02686183008060919,0.6421939228775013,0.6457925934952145,0.7929564534855381,17.0
3.86,0.12,3,0.012433536573126305,0.0014941735605492538,0.7011432260649769,0.7013566476646114,0.5016737784523829,4.666666666666667
3.86,0.13,3,0.04894141565717192,0.040742141413357254,0.7055532998269194,0.706433523241991,0.46591505733676053,28.333333333333332
3.86,0.14,3,0.014888777087247404,0.003092185741502593,0.648684199199038,0.6507371364074993,0.6970470047176759,6.0
3.86,0.15,3,0.007829567847887858,0.002205423593481943,0.5395854960333955,0.5538097078213006,0.773844517353215,4.333333333333333
3.86,0.16,3,0.003492291230154236,0.0022872565500359782,0.33325766115041916,0.4909833367237601,0.74323866636813,6.0
3.8625,0.1,3,0.0037199661580174168,0.002897200876499811,0.3800303282412963,0.3931764481038675,0.7442788216723987,7.0
3.8625,0.11,3,0.024789450760853943,0.011082975946360525,0.6516067879481308,0.6557624502513616,0.8007253793398125,8.666666666666666
3.8625,0.12,3,0.009072866784660495,0.0027140329832972846,0.6758005356832375,0.6772563607427519,0.5870306181442083,3.3333333333333335
3.8625,0.13,3,0.002957892262592006,0.0011300023998947447,0.7515763772510224,0.7516181347774089,0.17426324020374925,1.3333333333333333
3.8625,0.14,3,0.021748999217953497,0.010196227270760017,0.6642669459896839,0.6657510389476116,0.7984560051931074,7.666666666666667
3.8625,0.15,3,0.009296740882585483,0.003234524827093869,0.5719062446051854,0.5861148433779482,0.7320725354560484,4.333333333333333
3.8625,0.16,3,0.0027847327050626765,0.001350776725348455,0.34613346462755185,0.5008694087050941,0.5747469279927114,4.333333333333333
3.87,0.1,3,0.00370632183423042,0.0017708933126144855,0.4098367460834194,0.41812718509089475,0.7183474614087769,5.666666666666667
3.87,0.11,3,0.03005881993007827,0.022945025519312788,0.6301451279697023,0.6343308769523487,0.8385049783677174,10.0
3.87,0.12,3,0.007292583646499031,0.002818580025344809,0.5665079725740317,0.5685897642903691,0.5898535872194585,4.0
3.87,0.13,3,0.0016551962465002467,0.001472678960471193,0.7484509850505415,0.7485141778584318,0.299001559812313,0.6666666666666666
3.87,0.14,3,0.03957869998732523,0.031095251957463745,0.7136566043703793,0.7147773957673151,0.7449470208562077,25.0
3.87,0.15,3,0.005943999548890238,0.0033494462449699686,0.5188978843614083,0.5303894441132344,0.7213700314464959,3.6666666666666665
3.87,0.16,3,0.002158265445867773,0.0011677578788106052,0.33648872869159335,0.47625337146052876,0.662537800923619,4.0
3.88,0.1,3,0.0015982147096419614,0.0010414768480688753,0.3447026051495981,0.35725842627354726,0.7866825760948091,5.666666666666667
3.88,0.11,3,0.022784994202529,0.025438078171262996,0.465429233520136,0.4860054784485228,0.8126209887290224,13.333333333333334
3.88,0.12,3,0.03338317572659275,0.037895166751292036,0.6283376567666789,0.6310078346272903,0.8025534321643429,11.666666666666666
3.88,0.13,3,0.02729872119691393,0.025598473264079834,0.7049110927098425,0.7062000906239817,0.7235111099357607,8.333333333333334
3.88,0.14,3,0.003583273960559349,0.001562205393449312,0.6915987341182964,0.6917398090820469,0.42755583404968994,1.3333333333333333
3.88,0.15,3,0.007723759685462998,0.0041413817969156805,0.558577216084197,0.5666338842609004,0.6306117085715525,4.0
3.88,0.16,3,0.0018213141864579154,0.00022411028412766228,0.3759358588297619,0.40702029808229406,0.6348716121409695,4.0
3.89,0.1,3,0.0011744623223826208,0.0005465437679816484,0.32357312720717574,0.3419446870333967,0.8642905898460729,6.333333333333333
3.89,0.11,3,0.014600082913550706,0.00616523155693862,0.5166329421604056,0.5263609611154975,0.7222422455981033,9.0
3.89,0.12,3,0.027866846858681706,0.020374520790071675,0.648969428286335,0.6573656203227776,0.7476715614834267,17.666666666666668
3.89,0.13,3,0.009321446202896882,0.004556381471906081,0.661922231988517,0.6632168758660694,0.6220175263548212,4.0
3.89,0.14,3,0.02145495137857119,0.028240313708326647,0.7080588162857149,0.7091646316273333,0.4778857858637176,52.333333333333336
3.89,0.15,3,0.015117736548850597,0.012145118217317502,0.5957525940249087,0.5985720596048217,0.5248375312171116,6.0
3.89,0.16,3,0.00274695854479993,0.0003857288633393389,0.42096008199379603,0.44505950081504525,0.7537282662869608,4.0
