r,epsilon,n,horizon,seed,motif_size,topology,parity,frame_even,motif_even,motif_odd,motif_repeat_rate,motif_shannon_entropy,dominant_motif_frequency,transition_shannon_entropy,dominant_transition_frequency
3.8625,0.132,320,1440,17,4,local,0.8017527987439769,0.9173464641210456,0.8018934165028446,0.00014061775886781047,0.00014767199444058374,0.5906080273442271,0.31542317708333334,0.5293110664727729,0.267783617095205
3.8625,0.132,320,1440,17,4,rewired,0.731875,0.915625,0.731875,0.0,0.0,0.982927492277123,0.08984375,0.9096390567677043,0.042966035441278666
3.8625,0.132,320,1440,17,6,local,0.7421257380592235,0.9173464641210456,0.7421347338719682,8.995812744577169e-06,8.686587908269631e-06,0.5500403849609432,0.22881944444444444,0.4897314641222358,0.1920496004169562
3.8625,0.132,320,1440,17,6,rewired,0.6465625,0.915625,0.6465625,0.0,0.0,0.9766878936384696,0.0328125,0.9449133137453315,0.013286136205698401
3.8625,0.132,320,1440,42,4,local,0.8137420389681137,0.9238662733624438,0.8137424806642268,4.41696113074205e-07,4.343293954134816e-06,0.5867223037784924,0.3263259548611111,0.5321249132070738,0.27940844336344683
3.8625,0.132,320,1440,42,4,rewired,0.7333313573398808,0.9145859072856319,0.7333313573398808,0.0,0.0,0.9841865112701909,0.09098958333333333,0.9095556516086002,0.04181506254343294
3.8625,0.132,320,1440,42,6,local,0.7544468376642277,0.9238662733624438,0.7544468376642277,0.0,0.0,0.5779487790401439,0.24187717013888888,0.5610525700156317,0.20745309242529533
3.8625,0.132,320,1440,42,6,rewired,0.6482796889218405,0.9145859072856319,0.6482796889218405,0.0,0.0,0.9792458947582642,0.033467881944444444,0.9271178862629806,0.013229673384294649
3.8625,0.132,320,1440,73,4,local,0.8161229944909958,0.9246448268675428,0.8162072577689777,8.426327798199595e-05,7.383599722029187e-05,0.5749025089944254,0.3359722222222222,0.5078588195602447,0.29106150104239054
3.8625,0.132,320,1440,73,4,rewired,0.7315889051365314,0.9197153120278478,0.7315889051365314,0.0,0.0,0.9859321611724365,0.09249782986111112,0.9057314470392935,0.043650104239054896
3.8625,0.132,320,1440,73,6,local,0.7550035757716447,0.9246448268675428,0.7550044753432156,8.995715709496629e-07,4.343293954134816e-06,0.5370764024122828,0.25193793402777775,0.4775746062082488,0.216204829742877
3.8625,0.132,320,1440,73,6,rewired,0.6481716544608662,0.9197153120278478,0.6481716544608662,0.0,0.0,0.9787736013929383,0.030416666666666668,0.9301441224982239,0.01245873870743572
3.8625,0.132,320,1440,101,4,local,0.8191696270718911,0.9256349611395145,0.8191789102321885,9.283160297358377e-06,1.3029881862404447e-05,0.5691997829754781,0.32861545138888887,0.5083491765688024,0.28068971507991664
3.8625,0.132,320,1440,101,4,rewired,0.6995313367925927,0.9052422928977168,0.6996175105584446,8.617376585182756e-05,5.863446838082001e-05,0.9757044001620796,0.14840711805555556,0.9133862579684773,0.054584346768589295
3.8625,0.132,320,1440,101,6,local,0.7661365563897397,0.9256349611395145,0.7661369980858528,4.41696113074205e-07,0.0,0.5664468313718228,0.239609375,0.5240857769200096,0.20572228978457263
3.8625,0.132,320,1440,101,6,rewired,0.6120091988197743,0.9052422928977168,0.6120091988197743,0.0,0.0,0.9723298938192958,0.05890625,0.9145982873766686,0.012354499652536483
3.8625,0.132,320,1440,137,4,local,0.8237760612855478,0.9264103759192845,0.8239616504246143,0.00018558913906655748,4.777623349548298e-05,0.5657945868082677,0.3382118055555556,0.49963057881246487,0.29458608408617093
3.8625,0.132,320,1440,137,4,rewired,0.7433131502429742,0.9222204633431421,0.7433131502429742,0.0,0.0,0.9852126052879465,0.10784722222222222,0.8953893464591405,0.04328526754690758
3.8625,0.132,320,1440,137,6,local,0.769505230252492,0.9264103759192845,0.7695355011253768,3.0270872884903518e-05,4.343293954134816e-06,0.5208302017402006,0.2580381944444444,0.4631427155262601,0.22600981584433635
3.8625,0.132,320,1440,137,6,rewired,0.662952271484144,0.9222204633431421,0.662952271484144,0.0,0.0,0.980565247720245,0.031443142361111114,0.9094006645696057,0.011870222376650452
3.8625,0.132,320,1440,173,4,local,0.7928125,0.9128125,0.7928125,0.0,0.0,0.7892076304277128,0.30859375,0.7288481431258372,0.259375
3.8625,0.132,320,1440,173,4,rewired,0.7436344979574776,0.9234533936786358,0.7436435372110533,9.039253575668756e-06,8.686587908269631e-06,0.9807781268950535,0.09268663194444444,0.8851768117227531,0.06561631341209173
3.8625,0.132,320,1440,173,6,local,0.7309374999999999,0.9128125,0.7309374999999999,0.0,0.0,0.7532029953247713,0.22109375,0.7436783276119545,0.1859342425295344
3.8625,0.132,320,1440,173,6,rewired,0.6566650037395473,0.9234533936786358,0.6566650037395473,0.0,0.0,0.9754469932133065,0.033229166666666664,0.8912566204400965,0.022013985406532315
3.8625,0.132,320,1440,211,4,local,0.7945416110903947,0.9157306636085213,0.7946551598379447,0.00011354874754995793,2.6059763724808894e-05,0.5962301389703908,0.31222222222222223,0.5364176962124263,0.26080828700486447
3.8625,0.132,320,1440,211,4,rewired,0.7192969702100799,0.9124395134744553,0.7192969702100799,0.0,0.0,0.982995852419142,0.09345052083333333,0.9086630428977419,0.039495743571924945
3.8625,0.132,320,1440,211,6,local,0.7305889076074068,0.9157306636085213,0.730595854212625,6.946605218128518e-06,0.0,0.5744644833340438,0.21798177083333334,0.5162820209996147,0.18055072967338429
3.8625,0.132,320,1440,211,6,rewired,0.6296441520719507,0.9124395134744553,0.6296441520719507,0.0,0.0,0.9798972295827068,0.03194444444444444,0.9142180343069182,0.009991747741487143
3.8625,0.132,320,1440,257,4,local,0.804157723284606,0.9184493718655009,0.8042371449233763,7.942163877031579e-05,6.297776233495482e-05,0.5870663789083491,0.32752604166666666,0.5241195358709972,0.2822011813759555
3.8625,0.132,320,1440,257,4,rewired,0.7531683842082642,0.9247954019359297,0.7531755781013276,7.193893063458281e-06,4.343293954134816e-06,0.9861188232316607,0.09336154513888889,0.8864477721304735,0.04474895760945101
3.8625,0.132,320,1440,257,6,local,0.7443844346103229,0.9184493718655009,0.7443862337534648,1.7991431418993258e-06,8.686587908269631e-06,0.5511755513483606,0.24624565972222223,0.4861755649161601,0.2128995830437804
3.8625,0.132,320,1440,257,6,rewired,0.6723492341770405,0.9247954019359297,0.6723492341770405,0.0,0.0,0.9789455525930807,0.0348046875,0.8903588836692343,0.013811674774148715
3.8625,0.132,320,1440,307,4,local,0.8421745698493672,0.9357834330453496,0.8422032671615526,2.869731218540832e-05,1.3029881862404447e-05,0.5576516790564289,0.34933159722222223,0.47717336088735174,0.3052857887421821
3.8625,0.132,320,1440,307,4,rewired,0.746077153050345,0.9246839212303399,0.7461240029282799,4.684987793474836e-05,1.5201528839471855e-05,0.9865987183814631,0.12239800347222222,0.8866113346268476,0.046610059068797775
3.8625,0.132,320,1440,307,6,local,0.7882352819039562,0.9357834330453496,0.7882352819039562,0.0,0.0,0.5464765229850799,0.26416232638888887,0.490520373260813,0.2288112404447533
3.8625,0.132,320,1440,307,6,rewired,0.6547614935705004,0.9246839212303399,0.6547614935705004,0.0,0.0,0.9807833587083827,0.04206380208333333,0.8904368058372103,0.011685632383599723
3.8625,0.132,320,1440,359,4,local,0.790000405205561,0.9112345082597569,0.7900461661798499,4.5760974288902826e-05,1.3029881862404447e-05,0.6169735484524397,0.30158420138888886,0.5473068305320192,0.251869788047255
3.8625,0.132,320,1440,359,4,rewired,0.7358954534651807,0.9156478113211218,0.7366796860938265,0.0007842326286457751,0.0007861362056984017,0.9851661818166431,0.09621527777777777,0.9066310726633963,0.039580437804030574
3.8625,0.132,320,1440,359,6,local,0.7282042246835548,0.9112345082597569,0.7282042246835548,0.0,0.0,0.6046927613034463,0.2072634548611111,0.5520502359145829,0.17012030924252952
