n,horizon,motif_size,runs,parity_coupled,parity_null,parity_difference,parity_pooled_sd,parity_effect_size,score_coupled,score_null,score_difference,score_pooled_sd,score_effect_size
20,360,4,3,0.9,0.0006438507892664334,0.8993561492107336,0.061238716341147456,14.686071213521489,0.0,0.0,0.0,0.0,
20,360,6,3,0.87,0.0,0.87,0.08031189202104508,10.832766830745609,0.0,0.0,0.0,0.0,
20,720,4,3,0.9,0.0013014264538140333,0.898698573546186,0.06125798369373604,14.670717502542983,0.0,0.0,0.0,0.0,
20,720,6,3,0.87,4.292754004706667e-05,0.8699570724599529,0.0803119092299551,10.832229999277272,0.0,0.0,0.0,0.0,
30,360,4,3,0.7934944509648094,0.0009118206574804667,0.7925826303073289,0.05634612065939136,14.066321177609359,0.0,0.0,0.0,0.0,
30,360,6,3,0.7205921242374752,0.0006973743906504333,0.7198947498468248,0.06914199721002848,10.411830419940632,0.0,0.0,0.0,0.0,
30,720,4,3,0.8351967162989351,0.0023556319091399664,0.8328410843897951,0.040499911565118715,20.564022295473222,0.0,0.0,0.0,0.0,
30,720,6,3,0.7742326055275344,0.0005159764571476666,0.7737166290703867,0.053462175512085354,14.472224926490034,0.0,0.0,0.0,0.0,
40,360,4,3,0.8213535306489298,0.0011001689082029667,0.8202533617407268,0.04460707821928777,18.388412657479442,0.0011282769843378667,0.0,0.0011282769843378667,0.0013818514500769704,0.8164965809277261
40,360,6,3,0.7558904124549285,0.00014605422830086666,0.7557443582266277,0.061075030749291936,12.374031563387945,0.0010145661065835334,0.0,0.0010145661065835334,0.0012425846357259148,0.816496580927726
40,720,4,3,0.8327351722447064,0.0024323980264934,0.830302774218213,0.030869170856575312,26.89747573966191,0.02160752048726383,0.0,0.02160752048726383,0.026463699900265068,0.816496580927726
40,720,6,3,0.7720713941628999,0.0008090922928013668,0.7712623018700986,0.041705594211517386,18.493017938037372,0.02160752048726383,0.0,0.02160752048726383,0.026463699900265068,0.816496580927726
60,360,4,3,0.7772851385171444,0.00010508239794393333,0.7771800561192005,0.0006181775854413403,1257.2116401864398,0.003040311669836534,0.0,0.003040311669836534,0.0018817751012765052,1.6156615462571131
60,360,6,3,0.7068929095844418,0.00013812693971256666,0.7067547826447292,0.002507307971289407,281.8779307279408,0.003040311669836534,0.0,0.003040311669836534,0.0018817751012765052,1.6156615462571131
