r,epsilon,n,horizon,seed,sigma,motif_size,motif_even,motif_odd,comp_even,parity
3.8625,0.132,320,1440,17,0.0,4,0.8018934165028446,0.00014061775886781047,1.1534525431143846e-05,0.8017527987439769
3.8625,0.132,320,1440,17,0.0,6,0.7421347338719682,8.995812744577169e-06,0.0,0.7421257380592235
3.8625,0.132,320,1440,42,0.0,4,0.8137424806642268,4.41696113074205e-07,0.0,0.8137420389681137
3.8625,0.132,320,1440,42,0.0,6,0.7544468376642277,0.0,0.0,0.7544468376642277
3.8625,0.132,320,1440,73,0.0,4,0.8162072577689777,8.426327798199595e-05,2.1083854863418492e-05,0.8161229944909958
3.8625,0.132,320,1440,73,0.0,6,0.7550044753432156,8.995715709496629e-07,0.0,0.7550035757716447
3.8625,0.132,320,1440,101,0.0,4,0.8191789102321885,9.283160297358377e-06,0.0,0.8191696270718911
3.8625,0.132,320,1440,101,0.0,6,0.7661369980858528,4.41696113074205e-07,0.0,0.7661365563897397
3.8625,0.132,320,1440,137,0.0,4,0.8239616504246143,0.00018558913906655748,6.526139018476659e-05,0.8237760612855478
3.8625,0.132,320,1440,137,0.0,6,0.7695355011253768,3.0270872884903518e-05,7.306167615718027e-06,0.769505230252492
3.8625,0.132,320,1440,173,0.0,4,0.7928125,0.0,0.0,0.7928125
3.8625,0.132,320,1440,173,0.0,6,0.7309374999999999,0.0,0.0,0.7309374999999999
3.8625,0.132,320,1440,211,0.0,4,0.7946551598379447,0.00011354874754995793,1.9161213186829215e-05,0.7945416110903947
3.8625,0.132,320,1440,211,0.0,6,0.730595854212625,6.946605218128518e-06,0.0,0.7305889076074068
3.8625,0.132,320,1440,257,0.0,4,0.8042371449233763,7.942163877031579e-05,1.0300273074105672e-05,0.804157723284606
3.8625,0.132,320,1440,257,0.0,6,0.7443862337534648,1.7991431418993258e-06,0.0,0.7443844346103229
3.8625,0.132,320,1440,307,0.0,4,0.8422032671615526,2.869731218540832e-05,4.332741552724163e-06,0.8421745698493672
3.8625,0.132,320,1440,307,0.0,6,0.7882352819039562,0.0,0.0,0.7882352819039562
3.8625,0.132,320,1440,359,0.0,4,0.7900461661798499,4.5760974288902826e-05,1.716753612950518e-05,0.790000405205561
3.8625,0.132,320,1440,359,0.0,6,0.7282042246835548,0.0,0.0,0.7282042246835548
3.8625,0.132,320,1440,401,0.0,4,0.8288239635969463,8.406527502685869e-06,0.0,0.8288155570694437
3.8625,0.132,320,1440,401,0.0,6,0.7729723191138285,0.0,0.0,0.7729723191138285
3.8625,0.132,320,1440,457,0.0,4,0.8319253476170662,1.3238239062579455e-05,3.363933076147475e-06,0.8319121093780035
3.8625,0.132,320,1440,457,0.0,6,0.7787375215637493,0.0,0.0,0.7787375215637493
3.8625,0.132,320,1440,17,0.001,4,0.8014251676707638,0.00013817652359111122,1.2000943341591606e-05,0.8012869911471726
3.8625,0.132,320,1440,17,0.001,6,0.7415169892396489,8.50174159833211e-06,0.0,0.7415084874980507
3.8625,0.132,320,1440,42,0.001,4,0.8091334166092891,4.41696113074205e-07,0.0,0.8091329749131759
3.8625,0.132,320,1440,42,0.001,6,0.7477119952115208,0.0,0.0,0.7477119952115208
3.8625,0.132,320,1440,73,0.001,4,0.8119200495978962,8.519643861097407e-05,2.1046240515801738e-05,0.8118348531592853
3.8625,0.132,320,1440,73,0.001,6,0.7487704605138699,1.3574470288251207e-06,0.0,0.7487691030668411
3.8625,0.132,320,1440,101,0.001,4,0.8066180002063366,9.283160297358377e-06,0.0,0.8066087170460392
3.8625,0.132,320,1440,101,0.001,6,0.748752676819968,4.41696113074205e-07,0.0,0.7487522351238549
3.8625,0.132,320,1440,137,0.001,4,0.8173500501135649,0.0001884639347629398,6.57654224428311e-05,0.817161586178802
3.8625,0.132,320,1440,137,0.001,6,0.7598786636866786,3.118662380065443e-05,7.306167615718027e-06,0.7598474770628779
3.8625,0.132,320,1440,173,0.001,4,0.788458798351478,0.0,0.0,0.788458798351478
3.8625,0.132,320,1440,173,0.001,6,0.7245898524149542,0.0,0.0,0.7245898524149542
3.8625,0.132,320,1440,211,0.001,4,0.7897644426179513,0.00011556984922794493,1.9161213186829215e-05,0.7896488727687234
3.8625,0.132,320,1440,211,0.001,6,0.7244563263771686,8.417107915564864e-06,0.0,0.7244479092692531
3.8625,0.132,320,1440,257,0.001,4,0.7999555038619108,7.846969216619526e-05,1.0300273074105672e-05,0.7998770341697446
3.8625,0.132,320,1440,257,0.001,6,0.7390824750366618,1.7991431418993258e-06,0.0,0.7390806758935199
3.8625,0.132,320,1440,307,0.001,4,0.834117159536772,2.7655248688953733e-05,4.8172376767551715e-06,0.834089504288083
3.8625,0.132,320,1440,307,0.001,6,0.7763835891202167,0.0,0.0,0.7763835891202167
3.8625,0.132,320,1440,359,0.001,4,0.7807820773731678,4.476836339291029e-05,1.7146358303536084e-05,0.7807373090097749
3.8625,0.132,320,1440,359,0.001,6,0.7151514181783839,0.0,0.0,0.7151514181783839
3.8625,0.132,320,1440,401,0.001,4,0.8208550361030387,8.848223615760075e-06,0.0,0.8208461878794229
3.8625,0.132,320,1440,401,0.001,6,0.7613354717432279,0.0,0.0,0.7613354717432279
3.8625,0.132,320,1440,457,0.001,4,0.819065211066515,1.2796542949505248e-05,2.4297966643466827e-06,0.8190524145235655
3.8625,0.132,320,1440,457,0.001,6,0.7603884819428604,0.0,0.0,0.7603884819428604
3.8625,0.132,320,1440,17,0.003,4,0.7781593979987462,0.0001324490534436459,1.2000943341591606e-05,0.7780269489453026
3.8625,0.132,320,1440,17,0.003,6,0.7094222290174634,7.091919536336134e-06,0.0,0.7094151370979271
3.8625,0.132,320,1440,42,0.003,4,0.7872825125414324,4.41696113074205e-07,0.0,0.7872820708453193
3.8625,0.132,320,1440,42,0.003,6,0.7172820338381702,0.0,0.0,0.7172820338381702
3.8625,0.132,320,1440,73,0.003,4,0.7870144556941006,8.573904779162289e-05,2.0558644779384878e-05,0.7869287166463089
3.8625,0.132,320,1440,73,0.003,6,0.7143247520431287,1.8153224867005787e-06,0.0,0.7143229367206421
3.8625,0.132,320,1440,101,0.003,4,0.780767483079632,9.685738289354173e-06,0.0,0.7807577973413427
