sigma,motif_size,runs,parity_mean,parity_sd,parity_sem,motif_even_mean,motif_odd_mean,retention
0.0,4,12,0.8132481663698251,0.01679995064124637,0.004849728012548009,0.8133072720757989,5.910570597388722e-05,1.0
0.0,6,12,0.7551065106350121,0.020219271566652864,0.005836800940912589,0.755110623443485,4.112808472794366e-06,1.0
0.001,4,12,0.8065612702862723,0.015426621618993885,0.00445328207220631,0.8066204094257237,5.913913945139394e-05,0.9917775454528207
0.001,6,12,0.7456638913771302,0.017879676146320897,0.00516141791805085,0.7456682000237632,4.308646633195838e-06,0.987494983654768
0.003,4,12,0.781903289995745,0.01595480049946658,0.004605754181616903,0.7819615915186873,5.830152294231817e-05,0.9614571816202214
0.003,6,12,0.7117312770371523,0.018584586621582414,0.005364908044374263,0.7117352547514323,3.97771427976667e-06,0.942557463103605
0.01,4,12,0.7079429838293082,0.01859408002187965,0.005367648552982829,0.7080061381335199,6.315430421178205e-05,0.8705128558597581
0.01,6,12,0.6077544190421521,0.022492899530663284,0.0064931407994418275,0.6077586872890247,4.2682468726617596e-06,0.8048591959974716
0.03,4,12,0.4835668938470112,0.007519152859660674,0.0021705924638015174,0.48391974795693554,0.0003528541099243761,0.5946117235106176
0.03,6,12,0.33902522792975903,0.0074706257772915105,0.0021565839017671055,0.33903650986263395,1.1281932874876401e-05,0.4489766981940778
0.05,4,12,0.36635933221040934,0.0014601878848365868,0.00042151993418891684,0.3690554504198462,0.002696118209436853,0.45048897416610617
0.05,6,12,0.224336027918787,0.0013634171955211442,0.0003935846424259486,0.22446845104051683,0.00013242312172980509,0.29709189996273516
