r,epsilon,n,horizon,seed,motif_size,frame_even,motif_even,motif_odd,comp_even,parity,wall_entropy,max_cluster_lifetime,atlas_score,motif_entropy
3.84,0.1,320,1440,17,4,0.8921904724905859,0.6503836320098618,0.001958515030859874,0.0006362946951320127,0.648425116979002,0.7457729128919544,13,0.03717504382755696,0.6277621110718523
3.84,0.1,320,1440,17,6,0.8921904724905859,0.5289544155432852,9.99555588322479e-05,5.789329537203037e-06,0.5288544599844529,0.7457729128919544,13,0.018324551026269797,0.5814579305123528
3.84,0.1,320,1440,42,4,0.8918296638904734,0.6503232553790096,0.0019701446877070043,0.0006960280918481974,0.6483531106913026,0.7290660076206751,18,0.051078101263231965,0.6246455076148483
3.84,0.1,320,1440,42,6,0.8918296638904734,0.5284447699432786,0.00013425990095105843,4.066850122326638e-05,0.5283105100423275,0.7290660076206751,18,0.025092747505890953,0.5777938840617033
3.84,0.1,320,1440,73,4,0.8821564437291322,0.6229210648763871,0.0021780079544394195,0.000831689394601395,0.6207430569219476,0.876697636760097,7,0.01913672969581705,0.6598116141991401
3.84,0.1,320,1440,73,6,0.8821564437291322,0.4959848465015074,0.0001428025040622427,7.26325710786664e-05,0.4958420439974452,0.876697636760097,7,0.008475001376055492,0.6194714544094504
3.84,0.1,320,1440,101,4,0.906813564275142,0.6932439129874829,0.0014850609205466928,0.0005375973412536652,0.6917588520669362,0.702402658727946,25,0.07464492333793163,0.5839560930548373
3.84,0.1,320,1440,101,6,0.906813564275142,0.5820037490686982,6.448878587671757e-05,1.6526856743274554e-05,0.5819392602828215,0.702402658727946,25,0.04630074022938511,0.5323788254568323
3.84,0.1,320,1440,137,4,0.9062696862012997,0.687109635115893,0.0012809738615300775,0.0003782888188040037,0.6858286612543629,0.8718549844826122,12,0.038475014562349696,0.5910553878636233
3.84,0.1,320,1440,137,6,0.9062696862012997,0.5737455737096793,3.7365983640187964e-05,4.446266797635067e-06,0.573708207726039,0.8718549844826122,12,0.023054667633568934,0.5445937726315132
3.84,0.1,320,1440,173,4,0.8851772244492517,0.6320709129447322,0.0022634021274990706,0.0008600891504574853,0.6298075108172331,0.7777467910087864,27,0.06766661293602703,0.643315764047651
3.84,0.1,320,1440,173,6,0.8851772244492517,0.5085731573175579,0.0001353462703162248,2.0634211251015412e-05,0.5084378110472417,0.7777467910087864,27,0.03152558331978758,0.60124824758119
3.84,0.132,320,1440,17,4,0.8904544952753322,0.672101682031953,0.0016620169893038542,9.704501685122774e-07,0.6704396650426491,0.6622188773227601,9,0.026324849619219753,0.7763823439065887
3.84,0.132,320,1440,17,6,0.8904544952753322,0.5621353675592239,6.854980373541459e-05,0.0,0.5620668177554885,0.6622188773227601,9,0.015240560388363826,0.760406171597195
3.84,0.132,320,1440,42,4,0.884327707692931,0.6482860882630386,0.0019938752826174134,4.527537388095286e-06,0.6462922129804212,0.7243697908275518,10,0.028690027676225877,0.8080770349498189
3.84,0.132,320,1440,42,6,0.884327707692931,0.5339783840739473,9.918350304421962e-05,0.0,0.5338792005709031,0.7243697908275518,10,0.014801729546181154,0.8122375142360171
3.84,0.132,320,1440,73,4,0.8878193517396797,0.6652930780392646,0.0019915440805071917,0.0,0.6633015339587575,0.682348752844147,11,0.03221973429726612,0.8152418290109833
3.84,0.132,320,1440,73,6,0.8878193517396797,0.5599064422553289,9.934690486888759e-05,0.0,0.55980709535046,0.682348752844147,11,0.01871547489622312,0.8095830078403827
3.84,0.132,320,1440,101,4,0.9072590896938195,0.7135359846902473,0.0018138395835059448,0.0,0.7117221451067414,0.3564090067202497,3,0.007456142615480572,0.7761944030174764
3.84,0.132,320,1440,101,6,0.9072590896938195,0.62183205568415,4.594906983962812e-05,0.0,0.6217861066143103,0.3564090067202497,3,0.005687972121170425,0.7653527283793299
3.84,0.132,320,1440,137,4,0.9074262856533364,0.7313515735351401,0.0014541291759204277,0.0,0.7298974443592197,0.37184977289233007,5,0.012541457068433834,0.7961227745186178
3.84,0.132,320,1440,137,6,0.9074262856533364,0.6415553650214724,8.036498299208869e-05,0.0,0.6414750000384802,0.37184977289233007,5,0.010591735263874781,0.7678771197673284
3.84,0.132,320,1440,173,4,0.899716684127607,0.7010250000165428,0.0013502637499107598,0.00012206021903560094,0.699674736266632,0.6150439987167253,15,0.044479868195184326,0.7508143363388353
3.84,0.132,320,1440,173,6,0.899716684127607,0.6026251496495434,7.860846499258376e-05,4.4964028776978415e-07,0.6025465411845508,0.6150439987167253,15,0.030564409230483137,0.7125084970954262
3.84,0.164,320,1440,17,4,0.8727392783473679,0.6774621636360757,0.26794212899304065,0.0,0.40952003464303505,0.1192415240303906,3,0.0031130776986564167,0.6336490670543822
3.84,0.164,320,1440,17,6,0.8727392783473679,0.5782976143482446,0.15352382721017252,0.0,0.424773787138072,0.1192415240303906,3,0.0025064789041662244,0.6396101297208083
3.84,0.164,320,1440,42,4,0.8904468930726122,0.7279311448316641,0.36600821932063576,0.00023464878515624295,0.36192292551102834,0.6026238782940068,7,0.0076422623789233046,0.5076736079016861
3.84,0.164,320,1440,42,6,0.8904468930726122,0.6406634888997849,0.2354065465183562,1.4011555351138606e-05,0.4052569423814286,0.6026238782940068,7,0.008318870172732407,0.48016984629781695
3.84,0.164,320,1440,73,4,0.8856619886929746,0.714509334009458,0.325125939217133,5.067545626474266e-06,0.38938339479232503,0.21210264643375623,5,0.005094028289115902,0.5331801305514741
3.84,0.164,320,1440,73,6,0.8856619886929746,0.6218639548969674,0.200236266428753,0.0,0.4216276884682144,0.21210264643375623,5,0.004852298327774088,0.5201446956617495
3.84,0.164,320,1440,101,4,0.8757788761228145,0.6780398557006848,0.2773538661172551,1.824301277895028e-05,0.4006859895834297,0.72099096229552,5,0.0071439246573812695,0.565636870939944
3.84,0.164,320,1440,101,6,0.8757788761228145,0.5780744032756774,0.14711272531408964,0.0,0.43096167796158774,0.72099096229552,5,0.006156839899953529,0.5501064007683222
3.84,0.164,320,1440,137,4,0.8831251483183609,0.7072369474583291,0.31827832724663613,9.680902211771945e-05,0.388958620211693,0.19915367797985048,3,0.0030458776047997747,0.5398856188855166
3.84,0.164,320,1440,137,6,0.8831251483183609,0.6136547437716725,0.19552623157181995,3.922357304506722e-06,0.4181285121998526,0.19915367797985048,3,0.00279322672930991,0.5113528643603702
3.84,0.164,320,1440,173,4,0.8816868272066974,0.6994002814382407,0.3141045877256343,8.818765286285961e-05,0.3852956937126064,0.27607503764482916,3,0.003157934410565624,0.5472706861198133
3.84,0.164,320,1440,173,6,0.8816868272066974,0.6046403557593496,0.1811196762118839,1.1996726909785811e-05,0.4235206795474657,0.27607503764482916,3,0.002948691082308888,0.5231808835379731
3.8625,0.1,320,1440,17,4,0.8098474115407424,0.4319009450432052,0.0067789907088436855,0.0024644963382524677,0.4251219543343615,0.7860210252533337,10,0.007578892155339395,0.693450683235175
3.8625,0.1,320,1440,17,6,0.8098474115407424,0.2889373314608175,0.0008163772675448703,0.00020184202144010654,0.28812095419327266,0.7860210252533337,10,0.00017454783133223254,0.6505500868887796
3.8625,0.1,320,1440,42,4,0.8322808871149041,0.48374856205006483,0.004066598259891719,0.0015739123822184624,0.47968196379017314,0.716994838256523,7,0.008054755433878026,0.6461645263406425
3.8625,0.1,320,1440,42,6,0.8322808871149041,0.3438474652789834,0.0005084331068624662,0.00013295501465994988,0.3433390321721209,0.716994838256523,7,0.0012936043702877775,0.5947515655776167
3.8625,0.1,320,1440,73,4,0.8032959125785671,0.4189682304544318,0.0075249237266162925,0.0031060918617462434,0.41144330672781554,0.8188575722746139,7,0.004709575826745293,0.7033563554484072
3.8625,0.1,320,1440,73,6,0.8032959125785671,0.2752930657922991,0.0010120563794596134,0.00031165869237385083,0.2742810094128395,0.8188575722746139,7,0.0,0.6635594778550887
3.8625,0.1,320,1440,101,4,0.8199628312435744,0.45063123601535765,0.00490752836969772,0.0019124053559180301,0.44572370764565994,0.7709624298651034,8,0.007190408455990414,0.6680985442535279
3.8625,0.1,320,1440,101,6,0.8199628312435744,0.3073379530458976,0.0004893838525170006,0.0001181457429805745,0.3068485691933806,0.7709624298651034,8,0.0005009364910289161,0.619042294561258
