r,epsilon,n,horizon,seed,sigma,motif_size,quantile,threshold,motif_even,motif_odd,comp_even,parity
3.8625,0.132,320,1440,17,0.0,4,0.25,0.46593183279037476,0.40911670721790505,0.016450579424644795,1.773423921656432e-05,0.39266612779326027
3.8625,0.132,320,1440,17,0.0,4,0.5,0.729271411895752,0.9935411045648899,0.0,2.248201438848921e-06,0.9935411045648899
3.8625,0.132,320,1440,17,0.0,4,0.75,0.8858336210250854,0.40304375964105443,0.0013274122961369806,1.468886451757483e-05,0.40171634734491746
3.8625,0.132,320,1440,17,0.0,6,0.25,0.46593183279037476,0.3910809813682383,0.006303744534316315,9.704501685122774e-07,0.384777236833922
3.8625,0.132,320,1440,17,0.0,6,0.5,0.729271411895752,0.9910104768748204,0.0,0.0,0.9910104768748204
3.8625,0.132,320,1440,17,0.0,6,0.75,0.8858336210250854,0.3884814416613852,0.0002121954502987901,5.040322580645161e-07,0.38826924621108644
3.8625,0.132,320,1440,42,0.0,4,0.25,0.4659266173839569,0.40307232753953093,0.004517741057833306,0.0,0.3985545864816976
3.8625,0.132,320,1440,42,0.0,4,0.5,0.7262175679206848,0.9995893643637255,0.0,0.0,0.9995893643637255
3.8625,0.132,320,1440,42,0.0,4,0.75,0.8858351111412048,0.40138718941512164,0.0022969284694869894,0.0,0.39909026094563466
3.8625,0.132,320,1440,42,0.0,6,0.25,0.4659266173839569,0.398977113050744,0.0014844775649394393,0.0,0.3974926354858046
3.8625,0.132,320,1440,42,0.0,6,0.5,0.7262175679206848,0.9994095594105639,0.0,0.0,0.9994095594105639
3.8625,0.132,320,1440,42,0.0,6,0.75,0.8858351111412048,0.39905713078348,1.2444963728765112e-05,0.0,0.3990446858197512
3.8625,0.132,320,1440,73,0.0,4,0.25,0.46593204140663147,0.4045148862974711,0.01793940932492776,1.9463749867025102e-05,0.38657547697254335
3.8625,0.132,320,1440,73,0.0,4,0.5,0.721723735332489,0.9914543932020244,2.954612476285305e-05,2.5385803006775533e-05,0.9914248470772616
