sigma,motif_size,quantile,runs,parity_mean,parity_sd,parity_sem,threshold_mean,threshold_sd
0.0,4,0.25,12,0.3948452343703319,0.004983424826502407,0.001438590832533714,0.4659210989872615,1.943545538219513e-05
0.0,4,0.5,12,0.9965056229062615,0.002731021964665239,0.0007883781332311281,0.7199970185756683,0.01254708407551774
0.0,4,0.75,12,0.4013976481702078,0.0038995218667952428,0.0011256949997525327,0.8858348876237869,2.845075464670736e-06
0.0,6,0.25,12,0.39106097437799353,0.006296234165994371,0.0018175662453088846,0.4659210989872615,1.943545538219513e-05
0.0,6,0.5,12,0.995149997126695,0.0037729865965224194,0.0010891674135755343,0.7199970185756683,0.01254708407551774
0.0,6,0.75,12,0.39528617907070834,0.003983978681470161,0.0011500755820962637,0.8858348876237869,2.845075464670736e-06
0.001,4,0.25,12,0.31349864085939405,0.015588449984004644,0.004499997897257049,0.4657786811391513,7.172786608079202e-05
0.001,4,0.5,12,0.9960360210480553,0.003470968368799284,0.0010019822610374716,0.7243171681960424,0.004812479420389927
0.001,4,0.75,12,0.31507980397688057,0.015704937000400692,0.004533624802393727,0.8858211735884348,1.0427261755410927e-05
0.001,6,0.25,12,0.2713593075322563,0.021765592535539006,0.006283185354732577,0.4657786811391513,7.172786608079202e-05
0.001,6,0.5,12,0.9945624960725205,0.004688388143697817,0.0013534210784146919,0.7243171681960424,0.004812479420389927
0.001,6,0.75,12,0.27275847937618414,0.021978495429005793,0.006344645126159727,0.8858211735884348,1.0427261755410927e-05
0.003,4,0.25,12,0.2091717788759069,0.0028638927986981695,0.0008267346391293095,0.4653567274411519,0.00021886742199171442
0.003,4,0.5,12,0.9803069190962014,0.006449723988249743,0.001861874940407388,0.7305742055177689,0.0021469670462576297
0.003,4,0.75,12,0.21318900738242366,0.002965538568029098,0.0008560772452719086,0.8856859356164932,1.4474529481327524e-05
0.003,6,0.25,12,0.1244893126372993,0.0018457946475968741,0.0005328350183294128,0.4653567274411519,0.00021886742199171442
0.003,6,0.5,12,0.9721389192371338,0.009048761063380175,0.0026121523178875743,0.7305742055177689,0.0021469670462576297
0.003,6,0.75,12,0.12663318779094024,0.0018466486315706757,0.0005330815422679918,0.8856859356164932,1.4474529481327524e-05
0.01,4,0.25,12,0.15928310999568074,0.004229857132148308,0.0012210545769397421,0.46833763271570206,0.00023217588345938187
0.01,4,0.5,12,0.8026110768345035,0.030302650638670554,0.008747621751697814,0.7290694365898768,0.0005454886024944277
0.01,4,0.75,12,0.16457249075969896,0.0033565868428039785,0.0009689631586256165,0.8841243932644526,3.9459727346971785e-05
0.01,6,0.25,12,0.0927026506251666,0.002550222227473967,0.000736185744762731,0.46833763271570206,0.00023217588345938187
0.01,6,0.5,12,0.7306057555572778,0.04074414818426246,0.011761822461042968,0.7290694365898768,0.0005454886024944277
0.01,6,0.75,12,0.09594243777910999,0.002052601462289179,0.0005925350033958385,0.8841243932644526,3.9459727346971785e-05
