n,motif_size,seed,local_parity,rewired_parity,parity_drop
640,4,17,0.8108913544817404,0.7185494926285486,0.09234186185319182
640,4,42,0.8338623834774245,0.7319525602509126,0.10190982322651188
640,4,73,0.8047709450022169,0.7334698554402427,0.07130108956197423
640,4,101,0.7998813517951705,0.7274653514663159,0.07241600032885465
640,4,137,0.7983702014256253,0.6997363322541137,0.09863386917151162
640,4,173,0.796851733828981,0.7318324335085429,0.06501930032043812
640,4,211,0.8157158122945902,0.757526337697636,0.05818947459695423
640,4,257,0.8120973700174096,0.7292172513719385,0.08288011864547107
640,6,17,0.7523984993722777,0.6334726057802229,0.11892589359205474
640,6,42,0.7805326892326587,0.6445572978305003,0.13597539140215842
640,6,73,0.7467183782534013,0.6485774917737185,0.09814088647968278
640,6,101,0.746992009824217,0.6425644890882246,0.10442752073599237
640,6,137,0.7400340517561242,0.6112988053760052,0.12873524638011902
640,6,173,0.7373028178072283,0.6468562799507191,0.09044653785650913
640,6,211,0.760705382418938,0.6746620333626392,0.08604334905629885
640,6,257,0.7554900022909843,0.6382050532817418,0.11728494900924247
960,4,17,0.8048125172183591,0.733617919383543,0.07119459783481608
960,4,42,0.827346939654027,0.748808775593524,0.07853816406050296
960,4,73,0.8016390089521949,0.6976622121042604,0.10397679684793448
960,4,101,0.8039212277703032,0.7442741841223046,0.059647043647998554
960,4,137,0.7912202797636679,0.7056411281001179,0.08557915166355001
960,4,173,0.792626551597657,0.7355176370562706,0.057108914541386446
960,4,211,0.8123452769448257,0.7181406957811638,0.09420458116366193
960,4,257,0.8131220020308686,0.758305394057151,0.05481660797371757
960,6,17,0.7460209423634158,0.6434368699615155,0.10258407240190026
960,6,42,0.7712333972352843,0.664508315015735,0.10672508221954924
960,6,73,0.745360869789808,0.6112454695558028,0.13411540023400514
960,6,101,0.7489740605880996,0.6620996534219887,0.08687440716611083
960,6,137,0.7315926735163609,0.6169617716443607,0.1146309018720002
960,6,173,0.7337760603324645,0.6513461210714463,0.08242993926101816
960,6,211,0.7556962222886477,0.631172125897867,0.12452409639078077
960,6,257,0.7583531652059274,0.6743674468268843,0.08398571837904312
