r,epsilon,n,horizon,seed,motif_size,topology,motif_even,motif_odd,comp_even,parity
3.8625,0.132,640,2880,17,4,local,0.8109296452873258,3.829080558542553e-05,6.740631399859577e-06,0.8108913544817404
3.8625,0.132,640,2880,17,4,rewired,0.7185494926285486,0.0,0.0004687500000000001,0.7185494926285486
3.8625,0.132,640,2880,17,6,local,0.752399650600668,1.1512283904229612e-06,1.1446886446886447e-07,0.7523984993722777
3.8625,0.132,640,2880,17,6,rewired,0.6334726057802229,0.0,0.0,0.6334726057802229
3.8625,0.132,640,2880,42,4,local,0.8338669487435165,4.565266092037892e-06,1.1242462171295078e-06,0.8338623834774245
3.8625,0.132,640,2880,42,4,rewired,0.7319883395024489,3.57792515362529e-05,1.7364571009655586e-05,0.7319525602509126
3.8625,0.132,640,2880,42,6,local,0.7805326892326587,0.0,0.0,0.7805326892326587
3.8625,0.132,640,2880,42,6,rewired,0.6445572978305003,0.0,0.0,0.6445572978305003
3.8625,0.132,640,2880,73,4,local,0.8047912461754517,2.030117323481143e-05,5.0077260548657585e-06,0.8047709450022169
3.8625,0.132,640,2880,73,4,rewired,0.7334721293621652,2.273921922566875e-06,6.874283710261622e-07,0.7334698554402427
3.8625,0.132,640,2880,73,6,local,0.7467184896616009,1.1140819964349376e-07,0.0,0.7467183782534013
3.8625,0.132,640,2880,73,6,rewired,0.6485774917737185,0.0,0.0,0.6485774917737185
3.8625,0.132,640,2880,101,4,local,0.7998971290571724,1.577726200181957e-05,3.881510700398607e-06,0.7998813517951705
3.8625,0.132,640,2880,101,4,rewired,0.7274657992666101,4.478002943247168e-07,1.8251700479897823e-05,0.7274653514663159
3.8625,0.132,640,2880,101,6,local,0.7469921192813098,1.094570928196147e-07,0.0,0.746992009824217
3.8625,0.132,640,2880,101,6,rewired,0.6425644890882246,0.0,0.0,0.6425644890882246
3.8625,0.132,640,2880,137,4,local,0.7984139181008144,4.3716675189148935e-05,1.5415684330772053e-05,0.7983702014256253
3.8625,0.132,640,2880,137,4,rewired,0.700162753014332,0.0004264207602183147,0.0,0.6997363322541137
3.8625,0.132,640,2880,137,6,local,0.7400413410283408,7.28927221662522e-06,1.7201722488762969e-06,0.7400340517561242
3.8625,0.132,640,2880,137,6,rewired,0.6112988053760052,0.0,0.0,0.6112988053760052
3.8625,0.132,640,2880,173,4,local,0.796856222540431,4.488711449967075e-06,3.52030247999546e-07,0.796851733828981
3.8625,0.132,640,2880,173,4,rewired,0.7318324335085429,0.0,0.0004687500000000001,0.7318324335085429
3.8625,0.132,640,2880,173,6,local,0.7373029272643211,1.094570928196147e-07,0.0,0.7373028178072283
3.8625,0.132,640,2880,173,6,rewired,0.6468562799507191,0.0,0.0,0.6468562799507191
