n,motif_size,360,720,parity_change_360_to_720
20,4,0.9,0.9,0.0
20,6,0.87,0.87,0.0
30,4,0.7934944509648094,0.8351967162989351,0.04170226533412569
30,6,0.720592124237475,0.7742326055275344,0.05364048129005938
40,4,0.8213535306489298,0.8327351722447064,0.011381641595776593
40,6,0.7558904124549285,0.7720713941628997,0.01618098170797122
60,4,0.7772851385171444,0.7934544893058743,0.01616935078872983
60,6,0.7068929095844418,0.7298334622905257,0.02294055270608386
80,4,0.7325861419347747,0.7875935327831575,0.0550073908483828
80,6,0.6554787406024837,0.7259312877162186,0.07045254711373494
120,4,0.7314086772847558,0.7634656558112538,0.032056978526498026
120,6,0.6547404020710472,0.6963631530585266,0.04162275098747936
160,4,0.7347022154305316,0.7494826422276616,0.014780426797129986
160,6,0.6593048753328813,0.6791949911580848,0.019890115825203503
240,4,0.7493953155713382,0.7738755005981557,0.02448018502681748
240,6,0.672457909539906,0.7053673466637216,0.032909437123815555
