r,epsilon,n,horizon,seed,motif_size,frame_even,frame_odd,motif_even,motif_odd,comp_even,parity,wall_spectral_entropy,max_cluster_lifetime,atlas_score
3.8625,0.132,20,360,101,4,0.94,0.1,0.85,0.0,0.0,0.85,0.0,0,0.0
3.8625,0.132,20,360,101,6,0.94,0.1,0.82,0.0,0.0,0.82,0.0,0,0.0
3.8625,0.132,20,360,707,4,0.94,0.1,0.85,0.0,0.0,0.85,0.0,0,0.0
3.8625,0.132,20,360,707,6,0.94,0.1,0.7899999999999999,0.0,0.0,0.7899999999999999,0.0,0,0.0
3.8625,0.132,20,360,1313,4,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0
3.8625,0.132,20,360,1313,6,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0
3.8625,0.132,20,720,101,4,0.94,0.1,0.85,0.0,0.0,0.85,0.0,0,0.0
3.8625,0.132,20,720,101,6,0.94,0.1,0.82,0.0,0.0,0.82,0.0,0,0.0
3.8625,0.132,20,720,707,4,0.94,0.1,0.85,0.0,0.0,0.85,0.0,0,0.0
3.8625,0.132,20,720,707,6,0.94,0.1,0.7899999999999999,0.0,0.0,0.7899999999999999,0.0,0,0.0
3.8625,0.132,20,720,1313,4,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0
3.8625,0.132,20,720,1313,6,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0
3.8625,0.132,30,360,101,4,0.9109825792487084,0.14872424906619,0.7763591063953966,0.0,0.0,0.7763591063953966,0.2455251147036774,0,0.0
3.8625,0.132,30,360,101,6,0.9109825792487084,0.14872424906619,0.6942153281306507,0.0,0.0,0.6942153281306507,0.2455251147036774,0,0.0
3.8625,0.132,30,360,707,4,0.901821185087314,0.1169555302936549,0.7275729078269402,0.0037863321696117,0.0003838356983518,0.7237865756573284,0.5697506635483217,0,0.0
3.8625,0.132,30,360,707,6,0.901821185087314,0.1169555302936549,0.6392442100909843,0.0005319318862019,2.150537634408602e-05,0.6387122782047824,0.5697506635483217,0,0.0
