n,horizon,motif_size,runs,score_mean,score_std,parity_mean,motif_even_mean,frame_even_mean,wall_entropy_mean,cluster_lifetime_mean
20,360,4,3,0.0,0.0,0.9,0.9,0.96,0.0,0.0
20,360,6,3,0.0,0.0,0.87,0.87,0.96,0.0,0.0
20,720,4,3,0.0,0.0,0.9,0.9,0.96,0.0,0.0
20,720,6,3,0.0,0.0,0.87,0.87,0.96,0.0,0.0
30,360,4,3,0.0,0.0,0.7934944509648094,0.7947565616880133,0.9238806990500539,0.5614266153826697,0.0
30,360,6,3,0.0,0.0,0.720592124237475,0.720769434866209,0.9238806990500539,0.5614266153826697,0.0
30,720,4,3,0.0,0.0,0.8351967162989351,0.8356880024348396,0.9363690685354747,0.5279395016774212,0.0
30,720,6,3,0.0,0.0,0.7742326055275344,0.7743020951865875,0.9363690685354747,0.5279395016774212,0.0
40,360,4,3,0.0011282769843378743,0.001954233061883793,0.8213535306489298,0.8217489011884173,0.9290503259061728,0.3089783234031664,0.3333333333333333
40,360,6,3,0.001014566106583557,0.0017572800442400619,0.7558904124549285,0.7558904124549285,0.9290503259061728,0.3089783234031664,0.3333333333333333
40,720,4,3,0.02160752048726385,0.037425323309526415,0.8327351722447064,0.8329108027266415,0.9311828856505008,0.15332821821023365,116.0
40,720,6,3,0.02160752048726385,0.037425323309526415,0.7720713941628997,0.7720713941628997,0.9311828856505008,0.15332821821023365,116.0
60,360,4,3,0.0030403116698365508,0.0026612318695612516,0.7772851385171444,0.7773674358795327,0.9125599162635454,0.4224836735210346,1.3333333333333333
60,360,6,3,0.0030403116698365508,0.0026612318695612516,0.7068929095844418,0.7068929095844418,0.9125599162635454,0.4224836735210346,1.3333333333333333
60,720,4,3,0.02697782669458935,0.03924162938422875,0.7934544893058743,0.7935469614486895,0.9159719757455761,0.35337419888652283,43.666666666666664
60,720,6,3,0.02697782669458935,0.03924162938422875,0.7298334622905257,0.7298351849434112,0.9159719757455761,0.35337419888652283,43.666666666666664
80,360,4,3,0.04706837907327613,0.03380787741632796,0.7325861419347747,0.7337152884078287,0.8948342556301226,0.42234835536981463,88.66666666666667
80,360,6,3,0.03994322586610519,0.028571501851169676,0.6554787406024837,0.6554916807542815,0.8948342556301226,0.42234835536981463,88.66666666666667
80,720,4,3,0.0008764148139367736,0.001517994986244516,0.7875935327831575,0.7879909839988852,0.914015120686789,0.40217866279668485,0.3333333333333333
80,720,6,3,0.0008528378459513245,0.0014771584798052933,0.7259312877162186,0.7259366728159949,0.914015120686789,0.40217866279668485,0.3333333333333333
120,360,4,3,0.03138104872875203,0.03660531750812559,0.7314086772847558,0.7318943876464038,0.8932109378450104,0.5630283815348951,19.0
120,360,6,3,0.028049182334814435,0.033881546714046945,0.6547404020710472,0.6547404020710472,0.8932109378450104,0.5630283815348951,19.0
120,720,4,3,0.005342018103912321,0.0027286436106117203,0.7634656558112538,0.7637025713289427,0.9040358405466516,0.4511357636917717,2.0
120,720,6,3,0.005184851442848655,0.0027501128679681738,0.6963631530585266,0.6963631530585266,0.9040358405466516,0.4511357636917717,2.0
