r,epsilon,seed,n,horizon,motif_size,frame_even,frame_odd,motif_even,motif_odd,comp_even,parity,wall_spectral_entropy,max_cluster_lifetime,atlas_score
3.8575,0.127,101,80,360,4,0.8960587008757372,0.1640069785484704,0.7169078309123671,0.0005274627471314807,0.0,0.7163803681652356,0.8568870896797386,0,0.0
3.8575,0.127,707,80,360,4,0.9285325890507343,0.10986076833297335,0.8356617542403832,1.623461639172558e-05,0.0,0.8356455196239915,0.4412152174588058,0,0.0
3.8575,0.127,1313,80,360,4,0.9043340733527225,0.13282227223964785,0.7591750796246763,0.00010320179617032418,0.0,0.759071877828506,0.2915446359618892,171,0.0601626245414964
3.8575,0.1295,101,80,360,4,0.884463972687259,0.17421034789364753,0.6975544019152891,0.00024231304560899588,0.0,0.6973120888696801,0.6730522442647255,1,0.003192020986606953
3.8575,0.1295,707,80,360,4,0.8880680292489768,0.1683835570206097,0.723748420430376,0.00038065684310106097,0.0,0.723367763587275,0.5665483966426252,108,0.07491115765296595
3.8575,0.1295,1313,80,360,4,0.9175730865236913,0.13710120288930605,0.7945259706691159,7.462686567164179e-06,0.0,0.7945185079825487,0.1935524088082841,0,0.0
3.8575,0.132,101,80,360,4,0.936522655268119,0.1053138913428312,0.8447492530990515,0.0,0.0,0.8447492530990515,0.4478379412871825,0,0.0
3.8575,0.132,707,80,360,4,0.9014312077371553,0.14657872319679746,0.7249587134975239,0.0012616314313678558,0.00012893188800446867,0.7236970820661561,0.670341040423795,6,0.018225227053786736
3.8575,0.132,1313,80,360,4,0.9061243512871536,0.13826507180242703,0.751745261794657,0.0008775996751878821,0.0,0.7508676621194691,0.546624652234524,3,0.00838617638097489
3.8575,0.1345,101,80,360,4,0.8693911396063614,0.18366220996949217,0.6388415442084797,0.0038943899357230236,7.529835755642208e-05,0.6349471542727567,0.8371075488776769,7,0.02110854088826492
3.8575,0.1345,707,80,360,4,0.8835435094139731,0.1840125225926232,0.6907157340307541,0.00028829857752991244,0.0,0.6904274354532243,0.5458762356708218,1,0.0029374158665317596
3.8575,0.1345,1313,80,360,4,0.897307817686346,0.1521440348857825,0.6980581636105829,0.001628694923132589,0.0,0.6964294686874504,0.8433976381248024,3,0.010033418046102647
3.8575,0.137,101,80,360,4,0.8968370320875361,0.15529416341179475,0.7066688679264285,0.0012444327548621309,0.0,0.7054244351715664,0.8661371293328881,3,0.010206473627641785
3.8575,0.137,707,80,360,4,0.8691716369987539,0.1757217833484234,0.6554036387000097,0.0036947876324787956,0.0012099557028992514,0.651708851067531,0.6091698887371126,23,0.06680321830637131
3.8575,0.137,1313,80,360,4,0.9348555847714113,0.10351985229701632,0.8264614876051368,7.462686567164179e-06,0.0,0.8264540249185697,0.7324456695455213,0,0.0
3.86,0.127,101,80,360,4,0.9158478272399643,0.12915295869485172,0.7959591216914805,0.00020716359086100523,0.0,0.7957519581006195,0.45476215820205973,1,0.002564610380022472
3.86,0.127,707,80,360,4,0.9131123743527978,0.14313747027433915,0.7974821289261813,0.0,0.0,0.7974821289261813,0.1972614207943771,2,0.0043824003391220116
3.86,0.127,1313,80,360,4,0.8941047197090544,0.161008663415969,0.7415868634054117,5.48572924849437e-05,1.6129032258064517e-05,0.7415320061129268,0.4234761443145632,1,0.002704623345052267
3.86,0.1295,101,80,360,4,0.9089027335231972,0.14432013400139457,0.7642775844786934,0.00013815347161772926,1.7679900744416874e-05,0.7641394310070757,0.41159595328608745,1,0.00255816820683714
3.86,0.1295,707,80,360,4,0.8913372808307283,0.18106611813130175,0.7409586750614976,0.0,0.0,0.7409586750614976,0.15400998344791608,0,0.0
3.86,0.1295,1313,80,360,4,0.917709007390459,0.13662309194588446,0.7928225113260394,0.0,0.0,0.7928225113260394,0.19674287576312458,1,0.002156156787614486
3.86,0.132,101,80,360,4,0.8821720037355119,0.1785437836509438,0.6986980647041131,0.00041778701868788943,0.0,0.6982802776854252,0.6458194927474935,6,0.01906308559871764
3.86,0.132,707,80,360,4,0.9026527044863737,0.1613264614249054,0.7704498242013363,7.442163294480654e-05,0.0,0.7703754025683915,0.41839263049133407,0,0.0
3.86,0.132,1313,80,360,4,0.93625,0.10625716702980999,0.8425,0.0,0.0,0.8425,0.16104477175644444,0,0.0
3.86,0.1345,101,80,360,4,0.8893670410570612,0.17414148030131382,0.6931780292959727,0.0010225010656893796,0.0,0.6921555282302834,0.6228324118475566,3,0.009084448368574407
3.86,0.1345,707,80,360,4,0.8899412870395732,0.17834457336780546,0.7249609338913774,0.00012440053665338215,0.0,0.724836533354724,0.5307151609137624,2,0.0058383621473465
3.86,0.1345,1313,80,360,4,0.9063605502360543,0.13387855630697137,0.7603632404222123,0.0036979228647845254,0.0033610629961436413,0.7566653175574277,0.8239972337694018,11,0.035543196635720455
3.86,0.137,101,80,360,4,0.9251144300927567,0.1155650227202349,0.789260743456812,0.000566954680106725,0.0,0.7886937887767053,0.8580131981513187,8,0.024640791987077876
3.86,0.137,707,80,360,4,0.8586831634427401,0.2032018352527119,0.5968264868532005,0.0027137479191681863,0.0002649996173181657,0.5941127389340323,0.8641017203327315,9,0.02269427199907769
3.86,0.137,1313,80,360,4,0.9028548135332409,0.14648828471131287,0.7534529866974424,0.00039177162487820844,0.0,0.7530612150725642,0.7553721428760884,3,0.009477693546444364
3.8625,0.127,101,80,360,4,0.901452271183118,0.13185736827399175,0.7376579527663196,0.0020772586110872284,0.0005095474082369245,0.7355806941552324,0.6755175424300107,8,0.02436508958753682
3.8625,0.127,707,80,360,4,0.9286995192307692,0.11874283297019002,0.8272126838215549,0.0,0.0,0.8272126838215549,0.154199156312914,1,0.0020120906558176244
3.8625,0.127,1313,80,360,4,0.8814264498941917,0.1895525568690149,0.6929874359511456,0.0008262179128536034,0.0,0.692161218038292,0.5196335820970609,1,0.0029288605096780733
3.8625,0.1295,101,80,360,4,0.9047912428633195,0.14108679482243353,0.7462052388136058,0.00020959727255794513,1.1904761904761905e-05,0.7459956415410478,0.4220180149759607,3,0.007829934367188788
3.8625,0.1295,707,80,360,4,0.8938502126233981,0.16705708798333857,0.7407295112481604,0.000675770152663402,0.00021463331695186538,0.740053741095497,0.6718751135576266,2,0.006230771014689171
3.8625,0.1295,1313,80,360,4,0.9369447801862115,0.09842317221535353,0.8295990634029948,0.0005428414408291061,0.0,0.8290562219621658,0.818585944587176,1,0.002894967821073912
3.8625,0.132,101,80,360,4,0.8976107543330325,0.15500018589229866,0.7473319922684842,0.0002304630264132863,5.148883374689827e-05,0.747101529242071,0.46559458702024353,3,0.008228327406430778
