r,epsilon,score_mean,score_std,motif_even_mean,parity_mean,frame_even_mean,wall_entropy_mean
3.8575,0.127,0.0200542081804988,0.03473490747418733,0.7705815549258089,0.7703659218725777,0.9096417877597314,0.5298823143668112
3.8575,0.1295,0.026034392879857635,0.04235859830670812,0.7386095976715937,0.7383994534798347,0.896701696153309,0.47771768323854497
3.8575,0.132,0.008870467811587209,0.009122260078118985,0.7738177427970774,0.7731046657615589,0.914692738097476,0.5549345446485004
3.8575,0.1345,0.011359791600299776,0.009157887105813183,0.6758718139499389,0.6739346861378105,0.8834141555688935,0.7421271408911004
3.8575,0.137,0.0256698973113377,0.03598618621135465,0.7295113314105249,0.7278624370525556,0.9002880846192337,0.7359175625385074
3.86,0.127,0.0032172113547322503,0.0010115087417326364,0.7783427046743578,0.7782553643799092,0.9076883071006056,0.3584999077703334
3.86,0.1295,0.0015714416648172087,0.0013756725536038592,0.7660195902887436,0.7659735391315375,0.9059830072481282,0.25411627083237603
3.86,0.132,0.0063543618662392125,0.011006077602004507,0.7705492963018165,0.7703852267512722,0.9070249027406284,0.408418964998424
3.86,0.1345,0.016822002383880454,0.016294066545839828,0.7261674012031875,0.7245524597141451,0.8952229594442297,0.6591816021769069
3.86,0.137,0.018937585844199977,0.008250115558570864,0.7131800723358183,0.7119559142611006,0.895550802356246,0.8258290204533796
3.8625,0.127,0.009768680251010839,0.01264916957277449,0.7526193575130068,0.7516515320050264,0.9038594134360264,0.4497834269466619
3.8625,0.1295,0.005651891067650624,0.0025178959862612992,0.7721779378215871,0.7717018681995702,0.9118620785576431,0.6374930243735878
3.8625,0.132,0.04706837907327613,0.03380787741632796,0.7337152884078287,0.7325861419347747,0.8948342556301226,0.42234835536981463
3.8625,0.1345,0.01261192541443828,0.006208234679422388,0.7176850249325047,0.7170739158123199,0.8920298359794328,0.6707382348802201
3.8625,0.137,0.016725773225912347,0.015234449609629773,0.718574874889895,0.717837178208741,0.8998559215761838,0.7483311944914522
3.865,0.127,0.0007852293500988059,0.0013600571299654213,0.7787884780430142,0.7787141191772319,0.9117980398857415,0.46165460218741505
3.865,0.1295,0.0030328950405065537,0.003305305935380572,0.7555788037567271,0.754535685688661,0.9024247340361251,0.35722407058071365
3.865,0.132,0.0019776190154226925,0.0034253366127264427,0.782491452543872,0.782279841192698,0.9112913292464704,0.24239324996677233
3.865,0.1345,0.040310495247024715,0.035284362899664835,0.7328653327519256,0.7319975484834487,0.9008542828699079,0.5880237514497145
3.865,0.137,0.019660531623258527,0.018007111616868673,0.7488103224620363,0.7482120228370114,0.9108049226758904,0.719647501729724
3.8675,0.127,0.005744575656842325,0.00294900702434659,0.7500723080123283,0.7498420318876189,0.9051563860646522,0.5583451125603053
3.8675,0.1295,0.0015457489424360257,0.0013782702325822772,0.8074092880685623,0.8071024281425,0.9219843845670459,0.2512492305955769
3.8675,0.132,0.003692487736209555,0.003199690810664211,0.7585592870950735,0.7580218388620187,0.9047028209245952,0.5009548163074112
3.8675,0.1345,0.0026842024957107156,0.002687235248992577,0.7629237725200427,0.7625916191675349,0.906774679453611,0.5074706217259145
3.8675,0.137,0.011679903340055822,0.011254052711727731,0.7450043737064908,0.7433016109581162,0.9042927012503625,0.805927902480481
