r,epsilon,n,horizon,seed,motif_size,topology,frame_even,frame_odd,motif_even,motif_odd,comp_even,parity,wall_entropy,cluster_lifetime,atlas_score
3.8625,0.132,320,1440,17,4,local,0.9173464641210456,0.13500558276874192,0.8018934165028446,0.00014061775886781047,1.1534525431143846e-05,0.8017527987439769,0.2603476076743621,2,0.004511255585623404
3.8625,0.132,320,1440,17,4,rewired,0.915625,0.14062643831391672,0.731875,0.0,0.0009375000000000002,0.731875,0.10693843941115116,1,0.0020342388563592017
3.8625,0.132,320,1440,17,6,local,0.9173464641210456,0.13500558276874192,0.7421347338719682,8.995812744577169e-06,0.0,0.7421257380592235,0.2603476076743621,2,0.004511255585623404
3.8625,0.132,320,1440,17,6,rewired,0.915625,0.14062643831391672,0.6465625,0.0,0.0,0.6465625,0.10693843941115116,1,0.0017618560645512218
3.8625,0.132,320,1440,42,4,local,0.9238662733624438,0.12673976051492886,0.8137424806642268,4.41696113074205e-07,0.0,0.8137420389681137,0.1766754523276438,1,0.0020804435101004657
3.8625,0.132,320,1440,42,4,rewired,0.9145859072856319,0.14132896495816752,0.7333313573398808,0.0,0.001063807386765983,0.7333313573398808,0.08545897588093491,2,0.004016997838378366
3.8625,0.132,320,1440,42,6,local,0.9238662733624438,0.12673976051492886,0.7544468376642277,0.0,0.0,0.7544468376642277,0.1766754523276438,1,0.0020804435101004657
3.8625,0.132,320,1440,42,6,rewired,0.9145859072856319,0.14132896495816752,0.6482796889218405,0.0,0.0,0.6482796889218405,0.08545897588093491,2,0.0035088647082112522
3.8625,0.132,320,1440,73,4,local,0.9246448268675428,0.12222305977804951,0.8162072577689777,8.426327798199595e-05,2.1083854863418492e-05,0.8161229944909958,0.36810774209843283,0,0.0
3.8625,0.132,320,1440,73,4,rewired,0.9197153120278478,0.1333882176140829,0.7315889051365314,0.0,0.0009375000000000002,0.7315889051365314,0.07769447060946913,1,0.001961567285341832
3.8625,0.132,320,1440,73,6,local,0.9246448268675428,0.12222305977804951,0.7550044753432156,8.995715709496629e-07,0.0,0.7550035757716447,0.36810774209843283,0,0.0
3.8625,0.132,320,1440,73,6,rewired,0.9197153120278478,0.1333882176140829,0.6481716544608662,0.0,0.0,0.6481716544608662,0.07769447060946913,1,0.001712521923475797
3.8625,0.132,320,1440,101,4,local,0.9256349611395145,0.12318398510811768,0.8191789102321885,9.283160297358377e-06,0.0,0.8191696270718911,0.23106327980014837,1,0.0021478345558240152
3.8625,0.132,320,1440,101,4,rewired,0.9052422928977168,0.15465731080144493,0.6996175105584446,8.617376585182756e-05,0.0,0.6995313367925927,0.18560975949548902,5,0.011146752848249902
3.8625,0.132,320,1440,101,6,local,0.9256349611395145,0.12318398510811768,0.7661369980858528,4.41696113074205e-07,0.0,0.7661365563897397,0.23106327980014837,1,0.0021478345558240152
3.8625,0.132,320,1440,101,6,rewired,0.9052422928977168,0.15465731080144493,0.6120091988197743,0.0,0.0,0.6120091988197743,0.18560975949548902,5,0.008074939633133292
3.8625,0.132,320,1440,137,4,local,0.9264103759192845,0.12115749342990494,0.8239616504246143,0.00018558913906655748,6.526139018476659e-05,0.8237760612855478,0.18194696839482555,1,0.002069528479933003
3.8625,0.132,320,1440,137,4,rewired,0.9222204633431421,0.12787916825935083,0.7433131502429742,0.0,0.0,0.7433131502429742,0.0556776811321136,2,0.0038230741447514895
3.8625,0.132,320,1440,137,6,local,0.9264103759192845,0.12115749342990494,0.7695355011253768,3.0270872884903518e-05,7.306167615718027e-06,0.769505230252492,0.18194696839482555,1,0.002069528479933003
3.8625,0.132,320,1440,137,6,rewired,0.9222204633431421,0.12787916825935083,0.662952271484144,0.0,0.0,0.662952271484144,0.0556776811321136,2,0.003485845066154486
3.8625,0.132,320,1440,173,4,local,0.9128125,0.1453136985949306,0.7928125,0.0,0.0,0.7928125,0.11931925373449763,2,0.0041459920082731186
3.8625,0.132,320,1440,173,4,rewired,0.9234533936786358,0.124888592297944,0.7436435372110533,9.039253575668756e-06,0.0,0.7436344979574776,0.376741653777043,7,0.0166701382499732
3.8625,0.132,320,1440,173,6,local,0.9128125,0.1453136985949306,0.7309374999999999,0.0,0.0,0.7309374999999999,0.11931925373449763,2,0.0041459920082731186
3.8625,0.132,320,1440,173,6,rewired,0.9234533936786358,0.124888592297944,0.6566650037395473,0.0,0.0,0.6566650037395473,0.376741653777043,7,0.01495013734824982
3.8625,0.132,320,1440,211,4,local,0.9157306636085213,0.13851267134113338,0.7946551598379447,0.00011354874754995793,1.9161213186829215e-05,0.7945416110903947,0.5794061806020491,39,0.06890841363010276
3.8625,0.132,320,1440,211,4,rewired,0.9124395134744553,0.14277717604898088,0.7192969702100799,0.0,0.00011322947700077187,0.7192969702100799,0.16469715517696168,3,0.006437494002209093
3.8625,0.132,320,1440,211,6,local,0.9157306636085213,0.13851267134113338,0.730595854212625,6.946605218128518e-06,0.0,0.7305889076074068,0.5794061806020491,39,0.06890841363010276
3.8625,0.132,320,1440,211,6,rewired,0.9124395134744553,0.14277717604898088,0.6296441520719507,0.0,0.0,0.6296441520719507,0.16469715517696168,3,0.005116702977533722
3.8625,0.132,320,1440,257,4,local,0.9184493718655009,0.1339118793856799,0.8042371449233763,7.942163877031579e-05,1.0300273074105672e-05,0.804157723284606,0.29535432779317355,1,0.0023001009328454365
3.8625,0.132,320,1440,257,4,rewired,0.9247954019359297,0.12337420270324695,0.7531755781013276,7.193893063458281e-06,0.0,0.7531683842082642,0.25353779253584724,12,0.026250656333773954
3.8625,0.132,320,1440,257,6,local,0.9184493718655009,0.1339118793856799,0.7443862337534648,1.7991431418993258e-06,0.0,0.7443844346103229,0.29535432779317355,1,0.0023001009328454365
3.8625,0.132,320,1440,257,6,rewired,0.9247954019359297,0.12337420270324695,0.6723492341770405,0.0,0.0,0.6723492341770405,0.25353779253584724,12,0.024522440260002113
