treatment,bias,replicate,mean_alpha,mean_beta,mean_p_base,maladaptation,trait_env_corr
moving,-0.3,0,3.0327245960415894,1.0600587235705654,0.6050098232827695,0.1318542903341287,0.3958856484531162
moving,-0.3,1,1.83287656396126,0.809458412715899,0.7097199027909294,0.13863560951182344,0.4203106625979086
moving,-0.3,2,3.6912487090009463,1.0110354070579066,0.659238440122101,0.13385004925989152,0.36604420250638736
moving,-0.15,0,2.7458907792451357,1.173914480964213,0.6539005236153652,0.13417281514999826,0.3868663403807605
moving,-0.15,1,2.7511237239521593,1.3381167332994317,0.6630816975633061,0.13113856784463715,0.4221862191645682
moving,-0.15,2,3.499349039770555,1.2693006312111514,0.6373521428347597,0.13857157216421603,0.358796772012421
moving,0.0,0,2.4753917580339717,1.433400922984664,0.5901219089041845,0.13695897641997642,0.35894152319017386
moving,0.0,1,2.3490181895922326,1.4961272751543837,0.5360886594891097,0.13717865760666764,0.35519109420116635
moving,0.0,2,2.3128054976404657,1.4523688899384144,0.5917750415041074,0.13321183111101925,0.396092907797373
moving,0.15,0,2.763531030896817,1.3489815399347183,0.5463907654967801,0.13313687913573966,0.3906271160784322
moving,0.15,1,2.0423961623288234,1.4033164049018896,0.5150355136670488,0.1376393959509266,0.37570231123468706
moving,0.15,2,2.682414485488323,1.4083004059542183,0.5280957143334313,0.13319456149241513,0.38913794468405993
moving,0.3,0,2.799098814642229,1.3815461867957897,0.48573454839613317,0.125704742794301,0.4441212121219255
moving,0.3,1,2.1513730824446875,1.4967215142159194,0.4869001707230896,0.12441100077881198,0.42911875588149906
moving,0.3,2,2.516860729128631,1.4640689733106464,0.4725471946229477,0.1344702684652753,0.39538264142561125
static,-0.3,0,2.5366586041099026,0.9936982596667958,0.6052601952845427,0.0173513342013761,0.9286301796384068
static,-0.3,1,2.3364028130565484,0.790574811360018,0.6212506040541861,0.01647557361625594,0.9323249724814018
static,-0.3,2,2.619954494534265,1.1861656370676943,0.6479804408400385,0.0173763099448317,0.9291544224384782
static,-0.15,0,2.473539435386837,1.093359877945686,0.5352219850221984,0.01764808325896952,0.9282418295612063
static,-0.15,1,2.375882145963261,1.0616418117461177,0.6067151650359988,0.01828646552572762,0.924132203437263
static,-0.15,2,2.248421016524046,1.1247577770718549,0.5531770765209079,0.018241861934591642,0.9250564800401987
static,0.0,0,2.0962439166957525,1.2503221806054026,0.6110997124427102,0.01732475738676848,0.9287953981649432
static,0.0,1,2.264547442695659,1.3515573673480754,0.5600009604924263,0.01837609988592906,0.924644721441326
static,0.0,2,1.7857639841029536,1.1568710742074277,0.4968312151411106,0.0190816155815353,0.9217654486070558
static,0.15,0,1.9696647273024077,1.3426821813514347,0.5165148685719574,0.01759704312406972,0.9273178471910495
static,0.15,1,2.4890296845691977,1.5271031122792,0.4639938644821571,0.01777941566153822,0.9265279262787021
static,0.15,2,2.728804315908374,1.3071671578647237,0.488103112947576,0.01740542182721626,0.9281699769319107
static,0.3,0,1.8857395688366907,1.4066702236913264,0.3706355373456254,0.01739221647516804,0.9282595960571769
static,0.3,1,1.8468995838314755,1.405735386294371,0.4456461028321616,0.01664499377952326,0.9315445963769067
static,0.3,2,1.1948633945320377,1.4414784290482652,0.46395062920563956,0.0172368484835467,0.9298856364962734
