treatment,condition,phase,mean_alpha,mean_alpha,mean_beta,mean_beta,mean_p_base,mean_p_base,maladaptation,maladaptation,trait_env_corr,trait_env_corr
,,,mean,std,mean,std,mean,std,mean,std,mean,std
moving,neg_const,post,2.1998265977458846,0.0825019988985686,1.0315606748775739,0.11055635662803111,0.6975580315712443,0.05078436399835957,0.13516974756374198,0.003628034620336316,0.4012211252841835,0.027006742789691042
moving,neg_const,pre,2.54714316144281,0.0869948577423474,1.1328266514705863,0.08983919635069738,0.519053822893301,0.04170261376132645,0.14060487910768063,0.008470742393499165,0.35970475514833317,0.05063124360215303
moving,neg_to_pos,post,2.8122015874226194,0.5126502159167629,0.9876663464168219,0.3705422050282916,0.6253220209896219,0.07880528816665677,0.12788980597497912,0.0029782960443072706,0.4418848605542607,0.0176047116555151
moving,neg_to_pos,pre,3.035159653389868,0.30435485280116975,0.9200519351302114,0.2589722942047691,0.5796424721023739,0.03195082682039973,0.1314205172123385,0.008337671449233546,0.4143346358677416,0.05208545009953164
moving,pos_const,post,1.8720031221125069,0.32419478311599287,1.5150776365696632,0.052094230728193164,0.45622939603859597,0.023399736974455673,0.13132590813077114,0.0022546220883266836,0.401142442926828,0.022903273020012625
moving,pos_const,pre,1.9632657709400003,0.08336984063584799,1.463937971478105,0.02645550068353886,0.40781721673356697,0.009301920636446677,0.13617080864599365,0.011455838755609462,0.3784091006610368,0.06184069950483743
moving,pos_to_neg,post,2.479327812275398,0.5123380383826966,1.4180686462807088,0.04918506253387581,0.5395026323373088,0.04099334278265321,0.1460279109233582,0.0015768965876188188,0.33348955367076005,0.04740071780465801
moving,pos_to_neg,pre,2.515781603334501,0.4210250464441455,1.4958217969114498,0.02481911599926334,0.3571767116066687,0.0337349444545639,0.1302480401362781,0.005365805491518085,0.41447275897660685,0.034098420098641585
static,neg_const,post,2.3545509400530933,0.39028840299159945,1.1010719409113705,0.19887394522041116,0.6554916359784203,0.034925979503416284,0.015558230860116068,0.00022149911367083875,0.9368626326329079,0.0007976457140361517
static,neg_const,pre,2.3426373858973917,0.39212813326704776,1.0602032963527879,0.17359368585274512,0.5306344066642986,0.033406398724231755,0.017207856150628517,0.00047644115817581693,0.9294763513189414,0.001997160826403961
static,neg_to_pos,post,2.0763013159865844,0.6695311517054064,1.1514827427767302,0.07117662947936358,0.6016500560650573,0.018188178840996286,0.017049548331040654,0.00020121622108396306,0.9300781648347219,0.0010584137013886095
static,neg_to_pos,pre,2.5011623188353282,0.5876445807742041,1.0560482905502988,0.17592068962895246,0.5430249460532021,0.01750239867023955,0.0187580732169724,0.0002819128649041094,0.9233712220204268,0.0013199309981467467
static,pos_const,post,1.8262559276006993,0.23453483998215094,1.5117742896729875,0.07869859772829335,0.4219721319992125,0.0024038786471489004,0.01682338198405838,0.0012917098834662763,0.9309924121930852,0.005828802151561463
static,pos_const,pre,2.0325677629249443,0.08687982838325399,1.470338158682557,0.05885924094600588,0.35725029879745235,0.01527015998320742,0.01932899580053415,0.002367600688392931,0.9203766979006422,0.010209009190055733
static,pos_to_neg,post,2.043433615752462,0.3199785148285671,1.3773430697709144,0.11459185174435503,0.5212187482894562,0.029995924497589144,0.018088776475283497,0.0004942427712969439,0.9264405016363959,0.0025402025760253217
static,pos_to_neg,pre,2.0055296621786245,0.2107000253297183,1.3806238556707353,0.0881452297150486,0.35208246675749105,0.022766654636785826,0.017708446706000667,0.0013515420681964008,0.9272567653371144,0.00624305492772382
