treatment,condition,replicate,mean_alpha,mean_beta,mean_p_base,maladaptation,trait_env_corr,phase
moving,neg_const,193887049,2.483297829825259,1.0750541957215494,0.5022173285380229,0.13729437888916235,0.3575918343331985,pre
moving,neg_const,673832567,2.511902329005925,1.0870949276278181,0.48840152697393546,0.15023094585793817,0.3101630485641774,pre
moving,neg_const,1960764066,2.646229325497247,1.2363308310623915,0.5665426131679446,0.1342893125759414,0.4113593825476235,pre
moving,neg_to_pos,1356249939,2.8295699924161832,0.8058767750359399,0.5945702910307049,0.1262474838813372,0.47426472418936705,pre
moving,neg_to_pos,1736856570,3.384797642378553,1.216492129073179,0.5429599812037958,0.14103885866324345,0.3799898089049588,pre
moving,neg_to_pos,2117463201,2.891111325374868,0.7377869012815157,0.6013971440726209,0.12697520909243482,0.388749374508899,pre
moving,pos_const,253927229,1.9813766281033018,1.4918164904732523,0.3972350104262272,0.13723367156213007,0.3749765438084691,pre
moving,pos_const,634533860,2.0360915243677375,1.4608146562478912,0.4115150811171752,0.1470581767487659,0.318356169279051,pre
moving,pos_const,1114479378,1.8723291603489611,1.4391827677131714,0.4147015586572984,0.12422057762708497,0.4418945888955901,pre
moving,pos_to_neg,289374506,2.9973210800971435,1.5085157050301143,0.39356850646361907,0.1326874351077345,0.38975892178481863,pre
moving,pos_to_neg,1576306005,2.33290736540585,1.5117265178787544,0.3510130387301932,0.1240959109274816,0.4533743934622366,pre
moving,pos_to_neg,1956912636,2.217116364500509,1.4672231678254803,0.3269485896261939,0.1339607743736182,0.4002849616827654,pre
static,neg_const,365289374,1.8965451825288273,1.2176744303478841,0.5691875333559672,0.017069925273521948,0.9299958597098624,pre
static,neg_const,845234892,2.498483915634865,1.0888776880958768,0.5124668033918961,0.01773804548498445,0.9272707721980714,pre
static,neg_const,1225841523,2.632883059528482,0.8740577706146025,0.5102488832450325,0.01681559769337915,0.9311624220488902,pre
static,neg_to_pos,240720765,3.127196442747275,1.2011346869190909,0.5251753803600472,0.0188853424031855,0.9220409359531447,pre
