treatment,condition,replicate,generation,bias,population,mean_d,std_d,mean_alpha,std_alpha,mean_beta,std_beta,mean_p_base,std_p_base,maladaptation,trait_variance,trait_env_corr
static,neg_const,1225841523,0,-0.3,900,3.566666666666667,1.7130220210039462,2.439308962206087,1.4469970136986134,0.9845322881877203,0.5808596984800394,0.2576536605468567,0.14117585325335066,0.2051194209653244,0.08303913109662801,0.014547601261964702
static,neg_const,1225841523,5,-0.3,900,3.5055555555555555,1.6556208040833447,2.5021593722902127,1.461998253463787,0.9836415219295258,0.6019818335676845,0.29497389143880925,0.14673442325528496,0.13619586218367918,0.08350786663901333,0.3539943089309108
static,neg_const,1225841523,10,-0.3,900,3.267777777777778,1.5650578816259502,2.507300030481693,1.4857560827385556,0.9760033091950236,0.5771898858349335,0.3273078563502852,0.1475565493347871,0.09373583339849237,0.08702937987201367,0.5673076274156117
static,neg_const,1225841523,15,-0.3,900,3.1144444444444446,1.4541940196939265,2.5722998742940435,1.5310624000650468,0.9483903901838404,0.5755254281177747,0.35256794585363993,0.14583813265529907,0.06250127379274391,0.09109737875529192,0.7196850317320364
static,neg_const,1225841523,20,-0.3,900,2.9811111111111113,1.4386254585111942,2.5690691464603224,1.565904920330327,0.9419285101273844,0.5746193936332045,0.3765261659939956,0.14484088127951247,0.04606043506145656,0.09245142513428145,0.7984017249541291
static,neg_const,1225841523,25,-0.3,900,2.718888888888889,1.322404749306223,2.5545171614329036,1.5443544267333973,0.9447252246280997,0.5759919198676232,0.3920192600948373,0.14445396067747945,0.034079897697153846,0.09757798825248878,0.8543959944756117
static,neg_const,1225841523,30,-0.3,900,2.6277777777777778,1.2659232711325998,2.583257738051088,1.5438304329686106,0.9270293465434899,0.5709129102919867,0.4197065015030756,0.13931111025160534,0.02788710990695642,0.10083779724059219,0.8834235256772741
static,neg_const,1225841523,35,-0.3,900,2.5011111111111113,1.2396231008249101,2.6267386474114303,1.5101634886800415,0.9174888113314505,0.5589457240813099,0.4450143377151248,0.13479703928245312,0.023012080230667684,0.1039926495076208,0.9048032055831657
static,neg_const,1225841523,40,-0.3,900,2.3933333333333335,1.1627362364507074,2.583264552196223,1.5191517919456106,0.9021084407638177,0.5518323230295374,0.45908429005491613,0.13549478551994773,0.021409177357576945,0.10694761943781503,0.9114441316755266
static,neg_const,1225841523,45,-0.3,900,2.361111111111111,1.124296762370391,2.615775401255461,1.5324787612307436,0.8933624762123206,0.5420734797456707,0.4752259795124685,0.1326822418438955,0.020964176652230448,0.10981774375168799,0.9129937802842062
