r,epsilon,long_memory_score,motif_100,motif_150,motif_200,comp_100,comp_150,comp_200,frame_100,frame_150,wall_period,wall_period_power,wall_spectral_entropy,wall_ac_late_mean,mean_wall_velocity,max_cluster_lifetime,global_period
3.9,0.12,0.000599915922760267,0.43144375,0.3946466666666667,0.36272142857142853,0.0,0.0,0.0,0.8186125000000001,0.7951466666666667,780.0,0.22764544120281918,0.6750439487555485,0.10111316120721843,0.17055285713372872,21.0,720.4054054054054
3.8,0.18,0.00033662254890708067,0.28976875,0.25392,0.22472142857142857,6.874999999999999e-05,0.00011333333333333334,5e-05,0.71426875,0.6873733333333334,720.4008908685969,0.07881402573805006,0.8536691647218527,0.03278162306952319,1.1300623829266765,47.0,181.62799571271688
3.8,0.25,0.0003079986846112333,0.34489375,0.31325333333333333,0.28141428571428573,0.000125,0.00012000000000000002,0.00012857142857142858,0.73665625,0.7194333333333333,900.0,0.26227925950696096,0.7034928335261567,0.18177203755902308,1.0232254386611885,33.0,540.8108149237831
3.75,0.16,0.0002722522941775341,0.38860625,0.34947333333333336,0.31702857142857144,0.0001,0.0001,0.0001142857142857143,0.77459375,0.7544733333333333,361.2008908685969,0.1318044381067107,0.7778572759049254,0.08908702173371934,0.8342229942841733,90.0,181.60357543235529
3.85,0.25,0.00022048793273258307,0.35354375,0.34232666666666667,0.33007142857142857,0.0001,0.0001533333333333333,0.0001142857142857143,0.71733125,0.7107933333333334,405.81570438799076,0.2844622173686501,0.6669109020015161,0.07121757536283224,1.3124394618142503,24.0,361.22572716703405
3.8,0.2,9.704374999300107e-05,0.43466249999999995,0.41384,0.3868714285714286,4.375e-05,4e-05,1.4285714285714287e-05,0.76825,0.75206,181.70704225352114,0.1511286702303624,0.8072069186306183,0.05871963463388604,0.9098009693310025,351.0,361.31423337321223
3.9,0.1,8.489547765457741e-05,0.2804625,0.2606,0.24628571428571427,0.0,0.0,0.0,0.79013125,0.7777533333333333,183.08685579626825,0.12863946716442598,0.7918170727063698,0.021984097487603327,0.4116969330806601,20.0,183.08685579626825
3.75,0.25,7.39855553003598e-05,0.6802374999999999,0.4986,0.6722928571428571,3.7500000000000003e-05,3.3333333333333335e-05,3.571428571428572e-05,0.8997375,0.8171666666666667,182.0,0.3014336793831697,0.6482472240455821,0.0447061467242094,0.669114492293024,24.0,3.6
3.7,0.08,5.32385153028628e-05,0.50468125,0.30421333333333334,0.5183142857142857,7.500000000000001e-05,6.666666666666667e-05,2.142857142857143e-05,0.86808125,0.7826266666666667,182.4,0.21304251590515388,0.7398834362501745,0.03996899200227462,0.49417626712676765,89.0,2.0
3.8,0.12,5.1597560698549873e-05,0.72764375,0.57418,0.7528571428571429,0.0,0.0,0.0,0.93604375,0.8941733333333334,3.2035714285714283,0.15800246759798217,0.7735720222440727,0.007037174088073174,0.1295732437478986,896.0,3.2
3.75,0.12,4.772444629936316e-05,0.6553687499999999,0.2847,0.7222428571428571,0.0,0.0,0.0,0.91479375,0.7779466666666666,2.934124629080119,0.2601624473755818,0.6805839819364627,0.005446446687237102,0.36904697267878583,70.0,2.934124629080119
3.85,0.14,4.725210444179528e-05,0.5484375,0.4538133333333333,0.6091785714285715,0.0,0.0,0.0,0.8895937500000001,0.8699266666666666,3.2372093023255815,0.1631909810031346,0.7940645384817603,0.004321113097648111,0.22200547962546588,71.0,2.4372093023255816
3.75,0.1,4.395892922600601e-05,0.8221812500000001,0.5223066666666667,0.8305285714285715,0.0,0.0,0.0,0.95914375,0.8632799999999999,2.8,0.4157022189667757,0.5741706154357915,0.011593000650209557,0.15037877652130419,900.0,3.2
3.75,0.18,4.2804214644406936e-05,0.58424375,0.5096733333333334,0.5749357142857143,7.500000000000001e-05,4.6666666666666665e-05,2.1428571428571428e-05,0.8557375,0.8087133333333334,181.99800664451828,0.2101052307814296,0.7358797130231011,0.013719365661550093,0.7820109525254131,26.0,3.2015940884644607
3.75,0.2,3.473110561132383e-05,0.66030625,0.49215333333333333,0.64065,6.874999999999999e-05,7.999999999999999e-05,2.142857142857143e-05,0.88263125,0.7972733333333333,361.6,0.12951065167459658,0.8447317059569659,0.02935744210536124,0.7014437558486502,25.0,3.068254972239792
