date,tmax,tmin,prcp,snow,awnd
2024-01-01,39.2,24.6,0.38,0.0,10.3
2024-01-02,34.7,25.6,0.0,0.0,10.5
2024-01-03,40.1,25.0,0.0,0.0,7.5
2024-01-04,46.1,29.3,0.0,0.0,12.5
2024-01-05,33.7,25.2,0.03,0.2,9.0
2024-01-06,33.7,22.8,0.68,5.4,7.2
2024-01-07,46.3,18.0,0.24,0.0,11.1
2024-01-08,40.6,20.4,0.0,0.0,6.8
2024-01-09,31.8,14.4,0.0,0.0,9.6
2024-01-10,38.9,28.9,0.0,0.0,9.5
2024-01-11,31.8,20.7,0.0,0.0,12.8
2024-01-12,31.8,24.1,0.0,0.0,10.9
2024-01-13,36.7,14.1,0.03,0.2,9.4
2024-01-14,21.6,19.6,0.0,0.0,12.0
2024-01-15,22.9,20.9,0.0,0.0,13.7
2024-01-16,31.1,28.0,0.0,0.0,11.2
2024-01-17,27.9,25.9,0.0,0.0,9.5
2024-01-18,37.2,27.7,0.07,0.6,5.6
2024-01-19,28.7,26.7,1.12,9.0,6.3
2024-01-20,25.2,23.2,0.0,0.0,8.6
2024-01-21,45.4,23.4,0.06,0.0,7.7
2024-01-22,33.6,15.8,0.0,0.0,8.9
2024-01-23,35.7,20.5,0.32,2.6,9.7
2024-01-24,25.3,23.3,0.0,0.0,11.1
2024-01-25,31.6,29.6,0.24,1.9,9.3
2024-01-26,36.2,23.0,0.0,0.0,11.0
2024-01-27,27.5,25.5,0.0,0.0,9.7
2024-01-28,38.3,16.5,1.68,0.0,3.6
2024-01-29,31.5,19.8,0.0,0.0,6.7
2024-01-30,33.8,28.2,0.0,0.0,9.1
2024-01-31,31.7,29.7,0.0,0.0,5.9
2024-02-01,49.0,19.3,0.0,0.0,11.3
2024-02-02,36.1,26.8,0.0,0.0,14.1
2024-02-03,28.9,20.1,0.01,0.1,13.2
2024-02-04,42.2,34.4,0.09,0.0,8.9
2024-02-05,28.1,26.1,0.19,1.5,14.0
2024-02-06,38.2,26.7,0.0,0.0,9.9
2024-02-07,23.2,21.2,0.39,3.1,8.5
2024-02-08,27.8,25.8,0.0,0.0,7.7
2024-02-09,38.7,24.2,0.0,0.0,8.6
2024-02-10,42.6,32.8,0.0,0.0,8.3
2024-02-11,38.9,28.4,0.0,0.0,10.0
2024-02-12,37.0,27.2,1.32,10.6,10.0
